scaffold_number	intron_start	intron_end	toc_rep1_reads(u)	Normalized value(Rep1)	toc_rep2_reads(u)	Normalized value(Rep2)
DS571173	40035	40095	6	8.409250175	6	6.871278058
DS571174	51363	51403	5	7.007708479	12	13.74255612
DS571174	73536	73594	29	40.64470918	30	34.35639029
DS571175	5944	5999	14	19.62158374	7	8.016491067
DS571175	6563	6616	11	15.41695865	8	9.161704077
DS571175	6900	6943	6	8.409250175	6	6.871278058
DS571178	12067	12138	16	22.42466713	19	21.75904718
DS571178	43158	43204	6	8.409250175	11	12.59734311
DS571178	63312	63357	18	25.22775053	9	10.30691709
DS571178	89331	89389	7	9.810791871	12	13.74255612
DS571179	21773	21818	11	15.41695865	14	16.03298213
DS571179	59643	59693	7	9.810791871	11	12.59734311
DS571179	80079	80098	63	88.29712684	30	34.35639029
DS571182	28006	28071	6	8.409250175	8	9.161704077
DS571182	60099	60151	20	28.03083392	15	17.17819514
DS571182	60318	60382	25	35.0385424	15	17.17819514
DS571184	47859	47917	6	8.409250175	6	6.871278058
DS571187	71319	71381	11	15.41695865	7	8.016491067
DS571187	71406	71469	8	11.21233357	7	8.016491067
DS571190	1935	1988	20	28.03083392	19	21.75904718
DS571190	33439	33491	12	16.81850035	12	13.74255612
DS571190	40795	40849	22	30.83391731	28	32.06596427
DS571190	41524	41582	23	32.235459	22	25.19468621
DS571191	70619	70700	8	11.21233357	11	12.59734311
DS571192	10488	10534	12	16.81850035	12	13.74255612
DS571192	59926	59973	9	12.61387526	9	10.30691709
DS571194	69784	69845	7	9.810791871	12	13.74255612
DS571196	60651	60697	115	161.177295	137	156.8941823
DS571198	72902	72972	28	39.24316748	12	13.74255612
DS571199	6669	6732	8	11.21233357	7	8.016491067
DS571199	60063	60112	20	28.03083392	24	27.48511223
DS571201	19214	19274	10	14.01541696	8	9.161704077
DS571201	61630	61714	27	37.84162579	24	27.48511223
DS571201	69622	69686	35	49.05395936	28	32.06596427
DS571201	69954	70004	6	8.409250175	6	6.871278058
DS571202	62788	62899	5	7.007708479	9	10.30691709
DS571204	30969	31042	13	18.22004205	20	22.90426019
DS571204	37096	37151	15	21.02312544	9	10.30691709
DS571206	10334	10391	16	22.42466713	19	21.75904718
DS571206	51188	51246	12	16.81850035	20	22.90426019
DS571207	31887	31936	10	14.01541696	9	10.30691709
DS571207	32402	32448	11	15.41695865	11	12.59734311
DS571207	32577	32638	5	7.007708479	8	9.161704077
DS571208	34724	34747	6	8.409250175	9	10.30691709
DS571211	519	572	7	9.810791871	8	9.161704077
DS571211	61139	61204	18	25.22775053	16	18.32340815
DS571213	29571	29625	14	19.62158374	22	25.19468621
DS571213	44442	44501	13	18.22004205	14	16.03298213
DS571218	9524	9583	12	16.81850035	22	25.19468621
DS571218	11547	11609	9	12.61387526	13	14.88776913
DS571219	54120	54179	9	12.61387526	14	16.03298213
DS571222	21133	21186	13	18.22004205	18	20.61383417
DS571223	50592	50643	12	16.81850035	19	21.75904718
DS571224	47864	47920	8	11.21233357	8	9.161704077
DS571226	31308	31363	10	14.01541696	23	26.33989922
DS571228	46803	46858	34	47.65241766	30	34.35639029
DS571228	49986	50051	50	70.07708479	42	48.0989464
DS571231	17398	17481	20	28.03083392	27	30.92075126
DS571232	10038	10085	9	12.61387526	15	17.17819514
DS571234	36666	36689	11	15.41695865	31	35.5016033
DS571235	35358	35405	7	9.810791871	12	13.74255612
DS571235	51160	51220	20	28.03083392	30	34.35639029
DS571236	9072	9140	8	11.21233357	10	11.4521301
DS571236	9267	9327	11	15.41695865	12	13.74255612
DS571237	12955	13006	5	7.007708479	6	6.871278058
DS571238	4462	4521	33	46.25087596	28	32.06596427
DS571241	13680	13733	19	26.62929222	8	9.161704077
DS571242	38862	38912	21	29.43237561	17	19.46862116
DS571245	5566	5627	5	7.007708479	7	8.016491067
DS571245	5852	5986	11	15.41695865	8	9.161704077
DS571245	32074	32120	6	8.409250175	10	11.4521301
DS571248	16094	16150	15	21.02312544	12	13.74255612
DS571249	9002	9065	8	11.21233357	13	14.88776913
DS571249	9093	9140	10	14.01541696	17	19.46862116
DS571250	29586	29645	8	11.21233357	12	13.74255612
DS571250	29841	29909	8	11.21233357	19	21.75904718
DS571253	1290	1341	5	7.007708479	7	8.016491067
DS571254	22218	22295	14	19.62158374	18	20.61383417
DS571256	38003	38055	14	19.62158374	14	16.03298213
DS571261	19772	19823	24	33.6370007	19	21.75904718
DS571263	17099	17167	33	46.25087596	41	46.95373339
DS571266	8292	8399	14	19.62158374	12	13.74255612
DS571270	39086	39157	7	9.810791871	22	25.19468621
DS571271	27050	27092	7	9.810791871	7	8.016491067
DS571272	16944	17012	22	30.83391731	19	21.75904718
DS571273	14299	14353	12	16.81850035	12	13.74255612
DS571276	4920	4977	13	18.22004205	7	8.016491067
DS571278	31774	31819	19	26.62929222	8	9.161704077
DS571284	16207	16261	10	14.01541696	6	6.871278058
DS571286	31529	31576	10	14.01541696	6	6.871278058
DS571286	31851	31901	9	12.61387526	8	9.161704077
DS571291	12614	12685	5	7.007708479	6	6.871278058
DS571291	15559	15610	6	8.409250175	8	9.161704077
DS571292	21320	21382	9	12.61387526	18	20.61383417
DS571292	21473	21524	16	22.42466713	32	36.64681631
DS571293	20434	20497	15	21.02312544	18	20.61383417
DS571295	15009	15078	116	162.5788367	133	152.3133303
DS571303	30966	31050	7	9.810791871	6	6.871278058
DS571304	24180	24241	9	12.61387526	15	17.17819514
DS571305	12274	12326	8	11.21233357	14	16.03298213
DS571306	5805	5862	60	84.09250175	39	44.66330738
DS571306	6031	6099	43	60.26629292	36	41.22766835
DS571306	6295	6354	45	63.06937631	42	48.0989464
DS571309	28065	28116	14	19.62158374	19	21.75904718
DS571311	33278	33322	8	11.21233357	14	16.03298213
DS571311	33566	33629	9	12.61387526	14	16.03298213
DS571313	9544	9604	19	26.62929222	8	9.161704077
DS571313	26929	27042	5	7.007708479	11	12.59734311
DS571313	27872	27938	7	9.810791871	7	8.016491067
DS571314	11288	11620	5	7.007708479	11	12.59734311
DS571314	34931	34989	11	15.41695865	8	9.161704077
DS571315	5571	5705	53	74.28170988	49	56.11543747
DS571315	11215	11261	21	29.43237561	24	27.48511223
DS571318	31528	31591	7	9.810791871	8	9.161704077
DS571321	6853	6919	6	8.409250175	15	17.17819514
DS571327	13770	13825	6	8.409250175	8	9.161704077
DS571328	31949	32004	7	9.810791871	7	8.016491067
DS571330	13618	13664	10	14.01541696	11	12.59734311
DS571330	14429	14481	33	46.25087596	25	28.63032524
DS571335	13958	14008	8	11.21233357	6	6.871278058
DS571336	4402	4457	26	36.44008409	15	17.17819514
DS571336	8422	8501	55	77.08479327	45	51.53458543
DS571337	15036	15080	14	19.62158374	21	24.0494732
DS571337	15362	15413	7	9.810791871	10	11.4521301
DS571338	3581	3740	21	29.43237561	24	27.48511223
DS571347	6378	6427	7	9.810791871	7	8.016491067
DS571351	9953	10001	8	11.21233357	6	6.871278058
DS571356	17243	17319	15	21.02312544	15	17.17819514
DS571356	24389	24454	9	12.61387526	7	8.016491067
DS571361	25382	25439	10	14.01541696	30	34.35639029
DS571370	7525	7603	13	18.22004205	12	13.74255612
DS571386	11047	11115	13	18.22004205	23	26.33989922
DS571387	11035	11058	12	16.81850035	14	16.03298213
DS571388	15190	15234	7	9.810791871	6	6.871278058
DS571413	15616	15663	20	28.03083392	10	11.4521301
DS571425	11346	11413	11	15.41695865	8	9.161704077
DS571438	2573	2627	11	15.41695865	7	8.016491067
DS571447	2831	2902	33	46.25087596	27	30.92075126
DS571448	8287	8338	12	16.81850035	9	10.30691709
DS571448	8909	9008	10	14.01541696	7	8.016491067
DS571450	10119	10163	11	15.41695865	13	14.88776913
DS571451	14833	14886	11	15.41695865	8	9.161704077
DS571463	12693	12738	8	11.21233357	10	11.4521301
DS571475	389	432	8	11.21233357	11	12.59734311
DS571485	9808	9879	9	12.61387526	7	8.016491067
DS571495	3604	3655	17	23.82620883	13	14.88776913
DS571507	2487	2550	22	30.83391731	35	40.08245534
DS571507	9145	9234	5	7.007708479	13	14.88776913
DS571528	2786	2830	5	7.007708479	7	8.016491067
DS571542	6521	6581	6	8.409250175	9	10.30691709
DS571542	6715	6776	8	11.21233357	11	12.59734311
DS571558	6144	6491	30	42.04625088	26	29.77553825
DS571561	4565	4616	11	15.41695865	9	10.30691709
DS571579	4788	4846	8	11.21233357	13	14.88776913
DS571588	784	841	14	19.62158374	21	24.0494732
DS571588	1573	1631	28	39.24316748	22	25.19468621
DS571588	1736	1797	44	61.66783462	33	37.79202932
DS571643	3647	3708	7	9.810791871	7	8.016491067
DS571643	4024	4090	7	9.810791871	11	12.59734311
DS571646	4860	4916	18	25.22775053	14	16.03298213
DS571748	693	750	12	16.81850035	6	6.871278058
DS571906	205	276	6	8.409250175	7	8.016491067
DS571976	1318	1377	11	15.41695865	10	11.4521301
DS572467	721	778	15	21.02312544	20	22.90426019
DS572585	530	577	12	16.81850035	8	9.161704077
EH4254	611	675	5	7.007708479	8	9.161704077
