scaffold_number	gene_id	intron_start	intron_end	strand	motif	Annotation	unique_reads	multi_reads	overhang	annotated	novel
DS571145	NA	148161	148207	1	1	0	1	0	74	No	Yes
DS571145	EHI_151820	154993	155043	1	1	0	12	0	74	Yes	No
DS571145	EHI_151830	155422	155483	1	1	0	2	0	61	Yes	No
DS571145	EHI_151830	155698	155763	1	1	0	6	0	62	Yes	No
DS571145	NA	156173	156267	1	1	0	1	0	29	No	Yes
DS571145	EHI_151910	172951	172997	2	2	0	1	0	41	Yes	No
DS571145	NA	175780	175834	1	1	0	1	0	49	No	Yes
DS571145	NA	179706	179755	1	1	0	4	0	51	No	Yes
DS571145	NA	181638	181698	2	2	0	1	0	61	No	Yes
DS571145	NA	199365	199422	1	1	0	4	0	63	No	Yes
DS571145	NA	199365	199492	1	1	0	1	0	64	No	Yes
DS571145	NA	204589	204651	2	2	0	2	0	42	No	Yes
DS571145	NA	204608	204651	2	2	0	1	0	41	No	Yes
DS571145	EHI_152070	205626	205674	2	2	0	4	0	74	Yes	No
DS571145	NA	212469	212519	2	2	0	11	0	72	No	Yes
DS571145	EHI_152150	220421	220471	2	2	0	26	0	69	Yes	No
DS571145	NA	221256	221333	2	2	0	1	0	23	No	Yes
DS571145	NA	222371	222394	2	2	0	1	0	35	No	Yes
DS571145	EHI_152180	224178	224225	2	2	0	22	0	64	Yes	No
DS571145	EHI_152200	227484	227544	1	1	0	19	0	60	Yes	No
DS571145	NA	229142	229302	2	2	0	1	0	43	No	Yes
DS571145	NA	231517	231622	2	2	0	12	0	27	No	Yes
DS571145	NA	246159	246214	1	1	0	1	0	29	No	Yes
DS571145	NA	251110	251215	1	1	0	1	0	18	No	Yes
DS571145	NA	251110	251220	1	1	0	2	0	35	No	Yes
DS571145	NA	251195	251251	2	2	0	13	0	66	No	Yes
DS571145	EHI_152370	251201	251251	2	2	0	7	0	68	Yes	No
DS571145	NA	251587	251649	1	1	0	1	0	62	No	Yes
DS571145	EHI_152370	251635	251695	2	2	0	41	0	74	Yes	No
DS571145	EHI_152380	252297	252364	1	1	0	53	0	71	Yes	No
DS571145	EHI_152430	265439	265491	2	2	0	45	0	74	Yes	No
DS571145	NA	279258	279307	1	1	0	2	0	55	No	Yes
DS571145	EHI_152510	279258	279395	1	1	0	558	0	74	Yes	No
DS571145	NA	280621	280673	1	1	0	1	0	25	No	Yes
DS571145	NA	280643	280714	1	1	0	1	0	70	No	Yes
DS571145	NA	284631	284735	1	1	0	1	0	53	No	Yes
DS571145	EHI_152560	284674	284735	1	1	0	82	0	73	Yes	No
DS571145	NA	285738	285779	1	1	0	1	0	60	No	Yes
DS571145	NA	291227	291278	1	1	0	2	0	64	No	Yes
DS571145	EHI_152620	293698	293748	2	2	0	5	0	68	Yes	No
DS571145	EHI_152630	298372	298419	1	1	0	8	0	62	Yes	No
DS571145	EHI_152630	299313	299367	1	1	0	59	0	74	Yes	No
DS571145	NA	301382	301598	1	1	0	1	0	55	No	Yes
DS571145	EHI_152700	312213	312271	2	2	0	10	0	42	Yes	No
DS571145	NA	313305	313347	1	1	0	1	0	31	No	Yes
DS571145	NA	313305	313358	1	1	0	200	0	75	No	Yes
DS571145	NA	313907	313954	1	1	0	100	0	74	No	Yes
DS571145	NA	313907	313975	1	1	0	1	0	51	No	Yes
DS571145	EHI_152730	316968	317019	1	1	0	65	0	75	Yes	No
DS571145	EHI_152760	321329	321404	1	1	0	113	0	75	Yes	No
DS571145	EHI_152770	323896	323948	2	2	0	55	0	73	Yes	No
DS571145	EHI_152770	324658	324701	2	2	0	54	0	72	Yes	No
DS571145	EHI_152800	328049	328099	2	2	0	220	0	74	Yes	No
DS571145	NA	328422	328475	1	1	0	29	0	66	No	Yes
DS571145	EHI_152810	328788	328842	1	1	0	30	0	74	Yes	No
DS571145	NA	329138	329195	2	2	0	1	0	29	No	Yes
DS571145	NA	332476	332578	2	2	0	7	0	61	No	Yes
DS571145	EHI_152840	333174	333217	2	2	0	3	0	38	Yes	No
DS571145	EHI_152840	333368	333427	2	2	0	4	0	54	Yes	No
DS571145	EHI_152840	333732	333778	2	2	0	3	0	61	Yes	No
DS571145	EHI_152840	333951	333997	2	2	0	3	0	74	Yes	No
DS571145	EHI_152860	335521	335574	1	1	0	11	0	69	Yes	No
DS571145	EHI_152890	342264	342316	2	2	0	4	0	20	Yes	No
DS571145	EHI_152890	342520	342610	2	2	0	6	0	72	Yes	No
DS571145	NA	342700	342761	2	2	0	9	0	74	No	Yes
DS571145	NA	346729	346791	1	1	0	6	0	66	No	Yes
DS571145	EHI_152930	348095	348156	2	2	0	49	0	70	Yes	No
DS571145	EHI_152930	348286	348345	2	2	0	58	0	75	Yes	No
DS571145	EHI_152970	359932	359978	2	2	0	58	0	70	Yes	No
DS571145	NA	363778	363837	2	2	0	2	0	15	No	Yes
DS571145	EHI_153010	363786	363837	2	2	0	36	0	75	Yes	No
DS571145	EHI_153040	369691	369741	1	1	0	17	0	74	Yes	No
DS571145	EHI_153080	382950	383032	1	1	0	273	0	30	Yes	No
DS571145	NA	383172	383211	1	1	0	1	0	66	No	Yes
DS571145	NA	383245	383317	2	2	0	1	0	47	No	Yes
DS571145	EHI_153120	389184	389249	1	1	0	25	0	73	Yes	No
DS571145	NA	389512	389600	1	1	0	1	0	68	No	Yes
DS571145	EHI_153140	396427	396489	1	1	0	4	0	70	Yes	No
DS571145	EHI_153190	404666	404712	1	1	0	530	0	69	Yes	No
DS571145	EHI_153190	404808	404865	1	1	0	559	0	75	Yes	No
DS571145	EHI_153230	409904	409963	2	2	0	4	0	62	Yes	No
DS571145	EHI_153230	410653	410709	2	2	0	9	0	49	Yes	No
DS571145	EHI_153260	415287	415341	2	2	0	41	0	74	Yes	No
DS571145	EHI_153270	417120	417174	1	1	0	13	0	75	Yes	No
DS571145	EHI_153270	417321	417374	1	1	0	16	0	66	Yes	No
DS571145	EHI_153270	417792	417848	1	1	0	10	0	72	Yes	No
DS571145	EHI_153280	418504	418555	1	1	0	70	0	75	Yes	No
DS571145	EHI_153290	420868	420912	1	1	0	84	0	38	Yes	No
DS571145	EHI_153310	425736	425782	2	2	0	7	0	57	Yes	No
DS571145	EHI_153310	425914	425960	2	2	0	10	0	68	Yes	No
DS571145	EHI_153390	437057	437122	1	1	0	10	0	73	Yes	No
DS571145	EHI_153390	437990	438037	1	1	0	45	0	70	Yes	No
DS571145	EHI_153480	452425	452475	1	1	0	530	0	75	Yes	No
DS571145	EHI_153540	462097	462145	2	2	0	8	0	68	Yes	No
DS571145	EHI_153540	462212	462292	2	2	0	1	0	13	Yes	No
DS571145	EHI_153570	465766	465927	1	1	0	100	0	73	Yes	No
DS571145	NA	480589	480637	2	2	0	8	0	68	No	Yes
DS571145	EHI_153670	484211	484364	1	1	0	23	0	72	Yes	No
DS571145	NA	484211	484407	1	1	0	4	0	74	No	Yes
DS571145	NA	484315	484364	1	1	0	14	0	74	No	Yes
DS571145	EHI_153680	487056	487103	1	1	0	59	0	75	Yes	No
DS571145	NA	488190	488251	2	2	0	3	0	63	No	Yes
DS571145	NA	488832	489031	1	1	0	1	0	32	No	Yes
DS571145	EHI_153710	490123	490185	2	2	0	182	0	75	Yes	No
DS571145	NA	490137	490185	2	2	0	4	0	72	No	Yes
DS571145	NA	495285	495334	2	2	0	2	0	58	No	Yes
DS571145	EHI_153740	496222	496274	2	2	0	38	0	74	Yes	No
DS571145	NA	496569	496619	2	2	0	21	0	75	No	Yes
DS571145	EHI_153790	517035	517092	2	2	0	42	0	65	Yes	No
DS571146	NA	6449	6505	2	2	0	1	0	25	No	Yes
DS571146	NA	7083	7129	1	1	0	37	0	74	No	Yes
DS571146	EHI_148030	7261	7303	1	1	0	57	0	75	Yes	No
DS571146	NA	7489	7540	1	1	0	2	0	67	No	Yes
DS571146	EHI_148060	12768	12817	2	2	0	107	0	74	Yes	No
DS571146	NA	17335	17404	2	2	0	2	0	66	No	Yes
DS571146	NA	17356	17404	2	2	0	2	0	72	No	Yes
DS571146	EHI_148100	17360	17404	2	2	0	38	0	73	Yes	No
DS571146	NA	28446	28657	1	1	0	1	0	42	No	Yes
DS571146	EHI_148170	28771	28828	2	2	0	212	0	74	Yes	No
DS571146	EHI_148170	29234	29283	2	2	0	196	0	74	Yes	No
DS571146	NA	29428	29501	2	2	0	1	0	24	No	Yes
DS571146	EHI_148170	29447	29501	2	2	0	156	0	73	Yes	No
DS571146	EHI_148210	34794	34856	2	2	0	41	0	74	Yes	No
DS571146	EHI_148220	36655	36803	2	2	0	107	0	74	Yes	No
DS571146	NA	36707	36803	2	2	0	3	0	70	No	Yes
DS571146	NA	36883	36964	2	2	0	3	0	61	No	Yes
DS571146	EHI_148220	36888	36964	2	2	0	146	0	73	Yes	No
DS571146	EHI_148230	38491	38553	1	1	0	35	0	16	Yes	No
DS571146	EHI_148250	45236	45285	2	2	0	3	0	27	Yes	No
DS571146	NA	46385	46447	1	1	0	24	0	74	No	Yes
DS571146	NA	51081	51170	2	2	0	8	0	16	No	Yes
DS571146	NA	51910	52095	2	2	0	4	0	71	No	Yes
DS571146	NA	52904	52989	1	1	0	1	0	29	No	Yes
DS571146	EHI_148300	54579	54635	1	1	0	1	0	56	Yes	No
DS571146	NA	57937	58404	1	1	0	1	0	58	No	Yes
DS571146	EHI_148330	59147	59206	1	1	0	56	0	72	Yes	No
DS571146	EHI_148350	63029	63072	2	2	0	125	0	75	Yes	No
DS571146	EHI_148370	64639	64683	2	2	0	11	0	71	Yes	No
DS571146	EHI_148390	67039	67089	2	2	0	20	0	75	Yes	No
DS571146	NA	67042	67089	2	2	0	1	0	21	No	Yes
DS571146	NA	67902	67954	2	2	0	1	0	65	No	Yes
DS571146	EHI_148390	67906	67958	2	2	0	11	0	71	Yes	No
DS571146	NA	68438	68572	1	1	0	13	0	25	No	Yes
DS571146	EHI_148410	69585	69649	1	1	0	60	0	71	Yes	No
DS571146	EHI_148420	71525	71592	2	2	0	2	0	49	Yes	No
DS571146	EHI_148430	73148	73199	1	1	0	9	0	60	Yes	No
DS571146	NA	73433	73499	1	1	0	1	0	69	No	Yes
DS571146	NA	80989	81108	1	1	0	1	0	27	No	Yes
DS571146	NA	83521	83579	1	1	0	4	0	48	No	Yes
DS571146	EHI_148480	85649	85721	1	1	0	470	0	75	Yes	No
DS571146	EHI_148510	91843	91897	2	2	0	21	0	74	Yes	No
DS571146	EHI_148510	92207	92262	2	2	0	24	0	74	Yes	No
DS571146	NA	95513	95564	2	2	0	1	0	69	No	Yes
DS571146	EHI_148570	108722	108768	2	2	0	27	0	57	Yes	No
DS571146	NA	111630	111742	2	2	0	1	0	36	No	Yes
DS571146	NA	116522	116594	2	2	0	43	0	75	No	Yes
DS571146	NA	116522	116596	2	2	0	1	0	61	No	Yes
DS571146	NA	116712	116763	2	2	0	1	0	50	No	Yes
DS571146	EHI_148650	125008	125053	2	2	0	13	0	70	Yes	No
DS571146	EHI_148660	125954	125998	2	2	0	1	0	69	Yes	No
DS571146	NA	126836	126886	2	2	0	1	0	38	No	Yes
DS571146	NA	128098	128140	1	1	0	4	0	40	No	Yes
DS571146	EHI_148700	136882	136926	2	2	0	19	0	73	Yes	No
DS571146	EHI_148720	139493	139551	1	1	0	27	0	57	Yes	No
DS571146	NA	139609	139681	1	1	0	7	0	57	No	Yes
DS571146	EHI_148720	139609	139716	1	1	0	20	0	57	Yes	No
DS571146	EHI_148720	139775	139959	1	1	0	9	0	58	Yes	No
DS571146	EHI_148750	143243	143307	1	1	0	19	0	74	Yes	No
DS571146	EHI_148750	143412	143474	1	1	0	12	0	67	Yes	No
DS571146	NA	144868	144922	2	2	0	2	0	25	No	Yes
DS571146	NA	144880	144922	2	2	0	1	0	65	No	Yes
DS571146	NA	154811	154878	1	1	0	8	0	71	No	Yes
DS571146	NA	154823	154878	1	1	0	5	0	71	No	Yes
DS571146	EHI_148780	155168	155225	1	1	0	263	0	75	Yes	No
DS571146	NA	170605	170693	1	1	0	3	0	67	No	Yes
DS571146	NA	170620	170678	0	0	0	5	0	73	No	Yes
DS571146	EHI_148900	180451	180502	2	2	0	124	0	74	Yes	No
DS571146	EHI_148910	184294	184360	2	2	0	38	0	65	Yes	No
DS571146	EHI_148920	185032	185119	1	1	0	20	0	73	Yes	No
DS571146	EHI_148940	188686	188729	1	1	0	15	0	69	Yes	No
DS571146	EHI_148940	189080	189138	1	1	0	24	0	73	Yes	No
DS571146	NA	198423	198493	2	2	0	2	0	22	No	Yes
DS571146	NA	198612	198684	2	2	0	1	0	31	No	Yes
DS571146	EHI_148980	198853	198912	2	2	0	22	0	66	Yes	No
DS571146	NA	198867	198912	2	2	0	1	0	73	No	Yes
DS571146	EHI_148990	201723	201914	2	2	0	97	0	74	Yes	No
DS571146	EHI_149000	202298	202397	1	1	0	25	0	17	Yes	No
DS571146	NA	202322	202397	1	1	0	1	0	12	No	Yes
DS571146	EHI_149010	202997	203043	1	1	0	20	0	58	Yes	No
DS571146	NA	203102	203155	1	1	0	17	0	58	No	Yes
DS571147	EHI_044480	4035	4084	2	2	0	96	0	75	Yes	No
DS571147	NA	4760	4805	2	2	0	150	0	75	No	Yes
DS571147	NA	4877	4925	2	2	0	1	0	51	No	Yes
DS571147	NA	4880	4925	2	2	0	62	0	74	No	Yes
DS571147	EHI_044490	7585	7635	1	1	0	27	0	68	Yes	No
DS571147	EHI_044540	14371	14454	1	1	0	24	0	73	Yes	No
DS571147	NA	14371	14475	1	1	0	1	0	58	No	Yes
DS571147	EHI_044560	17611	17669	2	2	0	31	0	74	Yes	No
DS571147	EHI_044580	19842	19896	1	1	0	16	0	71	Yes	No
DS571147	NA	21814	21952	2	2	0	1	0	15	No	Yes
DS571147	EHI_044610	21888	21936	1	1	0	70	0	74	Yes	No
DS571147	NA	21888	21959	1	1	0	1	0	49	No	Yes
DS571147	EHI_044620	24102	24232	1	1	0	1	0	63	Yes	No
DS571147	NA	28244	28320	2	2	0	1	0	33	No	Yes
DS571147	NA	28867	29012	1	1	0	1	0	36	No	Yes
DS571147	NA	28891	28949	1	1	0	2	0	63	No	Yes
DS571147	NA	28891	29012	1	1	0	2	0	63	No	Yes
DS571147	NA	29946	29994	1	1	0	6	0	58	No	Yes
DS571147	NA	30058	30126	1	1	0	8	0	48	No	Yes
DS571147	NA	30588	30690	1	1	0	1	0	36	No	Yes
DS571147	NA	30644	30690	1	1	0	7	0	61	No	Yes
DS571147	EHI_044680	31425	31476	1	1	0	22	0	72	Yes	No
DS571147	NA	31425	31504	1	1	0	2	0	66	No	Yes
DS571147	NA	44336	44389	1	1	0	18	0	67	No	Yes
DS571147	EHI_044800	49686	49757	1	1	0	73	0	72	Yes	No
DS571147	NA	50157	50225	1	1	0	1	0	67	No	Yes
DS571147	EHI_044890	58796	58892	1	1	0	38	0	73	Yes	No
DS571147	EHI_044910	63934	63986	2	2	0	37	0	73	Yes	No
DS571147	NA	66916	66957	2	4	0	1	0	52	No	Yes
DS571147	EHI_045010	80458	80504	2	2	0	155	0	75	Yes	No
DS571147	NA	80458	80638	2	2	0	1	0	33	No	Yes
DS571147	EHI_045010	80590	80638	2	2	0	318	0	74	Yes	No
DS571147	NA	86624	86702	1	1	0	1	0	64	No	Yes
DS571147	NA	86741	86837	1	1	0	5	0	63	No	Yes
DS571147	NA	94465	94523	2	2	0	6	0	54	No	Yes
DS571147	NA	96582	96633	1	1	0	3	0	61	No	Yes
DS571147	EHI_045140	100822	100872	1	1	0	13	0	66	Yes	No
DS571147	EHI_045190	109095	109138	1	1	0	21	0	74	Yes	No
DS571147	NA	109307	109352	1	1	0	1	0	57	No	Yes
DS571147	EHI_045190	109307	109365	1	1	0	19	0	75	Yes	No
DS571147	EHI_045200	109953	110001	1	1	0	40	0	75	Yes	No
DS571147	NA	114033	114079	1	1	0	1	0	56	No	Yes
DS571147	EHI_045240	114033	114099	1	1	0	15	0	73	Yes	No
DS571147	EHI_045240	114220	114278	1	1	0	8	0	75	Yes	No
DS571147	NA	117625	117673	1	1	0	1	0	29	No	Yes
DS571147	EHI_045260	117625	117690	1	1	0	6	0	48	Yes	No
DS571147	EHI_045280	120193	120386	2	2	0	120	0	75	Yes	No
DS571147	EHI_045310	128913	129055	2	2	0	225	0	75	Yes	No
DS571147	NA	129517	129594	2	2	0	2	0	60	No	Yes
DS571147	NA	129532	129594	2	2	0	1	0	72	No	Yes
DS571147	NA	129550	129594	2	2	0	44	0	72	No	Yes
DS571147	EHI_045360	135510	135570	1	1	0	15	0	75	Yes	No
DS571147	EHI_045360	135730	135782	1	1	0	6	0	72	Yes	No
DS571147	NA	143095	143177	2	2	0	1	0	54	No	Yes
DS571147	EHI_045400	143134	143177	2	2	0	3	0	66	Yes	No
DS571147	NA	147828	148017	1	1	0	1	0	24	No	Yes
DS571147	EHI_045460	154195	154242	2	2	0	38	0	73	Yes	No
DS571147	EHI_045490	158993	159050	2	2	0	14	0	70	Yes	No
DS571147	EHI_045510	164460	164502	2	2	0	14	0	73	Yes	No
DS571147	NA	166071	166124	2	2	0	1	0	43	No	Yes
DS571147	NA	166683	166759	2	2	0	1	0	33	No	Yes
DS571147	EHI_045530	166700	166759	2	2	0	31	0	65	Yes	No
DS571147	NA	166709	166759	2	2	0	2	0	49	No	Yes
DS571147	NA	166718	166759	2	2	0	8	0	54	No	Yes
DS571147	NA	180276	180328	2	2	0	1	0	56	No	Yes
DS571147	EHI_045590	180276	180332	2	2	0	27	0	70	Yes	No
DS571147	NA	180404	180518	2	2	0	1	0	47	No	Yes
DS571148	EHI_011660	2702	2758	1	1	0	13	0	61	Yes	No
DS571148	NA	7015	7063	1	1	0	1	0	51	No	Yes
DS571148	NA	13930	13993	1	1	0	1	0	33	No	Yes
DS571148	EHI_011890	26006	26054	1	1	0	43	0	73	Yes	No
DS571148	EHI_011910	28304	28360	1	1	0	47	0	73	Yes	No
DS571148	EHI_011920	31964	32021	2	2	0	86	0	73	Yes	No
DS571148	EHI_011920	32123	32177	2	2	0	109	0	72	Yes	No
DS571148	NA	36600	36657	1	1	0	8	0	60	No	Yes
DS571148	EHI_011970	40883	40928	1	1	0	54	0	75	Yes	No
DS571148	EHI_011970	41963	42012	1	1	0	58	0	74	Yes	No
DS571148	NA	45064	45128	1	1	0	2	0	31	No	Yes
DS571148	EHI_012000	45064	45140	1	1	0	8	0	57	Yes	No
DS571148	NA	50558	50608	2	4	0	1	0	75	No	Yes
DS571148	NA	50664	50780	2	2	0	1	0	37	No	Yes
DS571148	NA	55288	55360	2	2	0	1	0	12	No	Yes
DS571148	NA	55312	55360	2	2	0	44	0	24	No	Yes
DS571148	NA	55955	56006	0	0	0	3	0	74	No	Yes
DS571148	EHI_012070	56835	56941	2	2	0	76	0	73	Yes	No
DS571148	NA	57342	57406	1	1	0	1	0	74	No	Yes
DS571148	NA	58269	58380	0	0	0	4	0	62	No	Yes
DS571148	EHI_012100	60689	60735	1	1	0	9	0	74	Yes	No
DS571148	NA	63903	63960	1	1	0	4	0	61	No	Yes
DS571148	NA	67058	67146	2	2	0	31	0	72	No	Yes
DS571148	NA	68826	68890	1	1	0	1	0	65	No	Yes
DS571148	NA	85903	85966	2	2	0	3	0	64	No	Yes
DS571148	NA	86384	86425	0	0	0	3	0	44	No	Yes
DS571148	NA	87413	87462	1	1	0	1	0	33	No	Yes
DS571148	NA	88310	88570	2	2	0	1	0	53	No	Yes
DS571148	EHI_012320	105139	105209	2	2	0	68	0	73	Yes	No
DS571148	EHI_012320	106438	106614	2	2	0	34	0	72	Yes	No
DS571148	NA	106567	106614	2	2	0	1	0	19	No	Yes
DS571148	EHI_012370	124585	124641	1	1	0	3	0	70	Yes	No
DS571148	EHI_012370	124921	124998	1	1	0	5	0	65	Yes	No
DS571148	EHI_012380	126127	126238	1	1	0	47	0	74	Yes	No
DS571148	EHI_012390	127527	127571	2	2	0	62	0	70	Yes	No
DS571148	EHI_012400	128019	128087	1	1	0	134	0	74	Yes	No
DS571148	NA	128019	128091	1	1	0	3	0	71	No	Yes
DS571148	NA	128325	128368	1	1	0	4	0	29	No	Yes
DS571148	NA	130200	130260	2	2	0	1	0	16	No	Yes
DS571148	NA	132687	132766	2	2	0	2	0	40	No	Yes
DS571148	EHI_012490	149949	150016	2	2	0	45	0	75	Yes	No
DS571148	NA	159187	159344	1	1	0	1	0	75	No	Yes
DS571148	EHI_012560	167937	167992	1	1	0	3	0	60	Yes	No
DS571148	EHI_012570	171679	171722	2	2	0	331	0	74	Yes	No
DS571149	NA	6752	6833	2	2	0	99	0	22	No	Yes
DS571149	NA	7823	7897	1	1	0	1	0	44	No	Yes
DS571149	NA	28143	28233	2	2	0	57	0	74	No	Yes
DS571149	NA	28308	28355	2	2	0	62	0	74	No	Yes
DS571149	EHI_050400	33571	33626	1	1	0	3	0	18	Yes	No
DS571149	NA	33750	33819	2	2	0	1	0	39	No	Yes
DS571149	NA	42080	42181	2	2	0	1	0	38	No	Yes
DS571149	NA	42856	42900	1	1	0	30	0	60	No	Yes
DS571149	NA	43199	43245	1	1	0	32	0	75	No	Yes
DS571149	NA	43199	43253	1	1	0	1	0	75	No	Yes
DS571149	EHI_050460	43199	43341	1	1	0	60	0	75	Yes	No
DS571149	NA	43199	43363	1	1	0	1	0	49	No	Yes
DS571149	NA	43294	43341	1	1	0	6	0	48	No	Yes
DS571149	NA	54771	54828	1	1	0	1	0	39	No	Yes
DS571149	NA	54916	54975	0	0	0	3	0	36	No	Yes
DS571149	NA	55073	55143	1	1	0	2	0	31	No	Yes
DS571149	EHI_050590	66976	67023	2	2	0	105	0	75	Yes	No
DS571149	NA	68336	68446	2	2	0	29	0	74	No	Yes
DS571149	NA	71297	71462	2	2	0	1	0	71	No	Yes
DS571149	EHI_050620	72142	72190	2	2	0	122	0	74	Yes	No
DS571149	NA	82485	82511	1	5	0	1	0	36	No	Yes
DS571149	EHI_050670	92453	92521	1	1	0	52	0	74	Yes	No
DS571149	EHI_050680	93799	93865	2	2	0	1	0	63	Yes	No
DS571149	EHI_050680	94429	94480	2	2	0	2	0	52	Yes	No
DS571149	NA	107774	107822	2	2	0	1	0	40	No	Yes
DS571149	EHI_050770	107974	108048	2	2	0	15	0	62	Yes	No
DS571149	NA	108002	108048	2	2	0	1	0	17	No	Yes
DS571149	EHI_050780	109743	109800	2	2	0	63	0	75	Yes	No
DS571149	NA	116181	116284	1	1	0	1	0	35	No	Yes
DS571149	NA	125962	126058	1	1	0	1	0	59	No	Yes
DS571149	NA	125962	126256	1	1	0	2	0	64	No	Yes
DS571149	EHI_050830	126211	126253	2	2	0	24	0	75	Yes	No
DS571149	EHI_050830	126502	126553	2	2	0	53	0	74	Yes	No
DS571149	NA	133799	133877	1	1	0	1	0	32	No	Yes
DS571149	EHI_050890	134899	134956	2	2	0	65	0	74	Yes	No
DS571149	NA	135121	135173	2	2	0	1	0	32	No	Yes
DS571149	NA	135560	135616	2	2	0	1	0	61	No	Yes
DS571149	EHI_050910	139266	139320	2	2	0	31	0	72	Yes	No
DS571149	EHI_050910	139708	139756	2	2	0	50	0	74	Yes	No
DS571149	NA	141686	141778	2	2	0	1	0	69	No	Yes
DS571149	EHI_050920	141711	141778	2	2	0	8	0	58	Yes	No
DS571149	NA	141724	141778	2	2	0	2	0	59	No	Yes
DS571149	NA	147067	147119	2	2	0	3	0	39	No	Yes
DS571149	NA	152842	153024	1	1	0	1	0	34	No	Yes
DS571149	EHI_050970	154860	154921	2	2	0	45	0	73	Yes	No
DS571149	EHI_050970	155225	155277	2	2	0	50	0	74	Yes	No
DS571149	EHI_050970	155578	155636	2	2	0	58	0	75	Yes	No
DS571149	EHI_050970	155733	155790	2	2	0	59	0	73	Yes	No
DS571149	EHI_051000	162147	162194	1	1	0	10	0	73	Yes	No
DS571149	NA	162725	162778	1	1	0	7	0	68	No	Yes
DS571149	NA	162849	162900	1	1	0	7	0	70	No	Yes
DS571149	EHI_051020	168458	168511	1	1	0	106	0	75	Yes	No
DS571149	NA	172382	172824	1	1	0	1	0	24	No	Yes
DS571149	EHI_051090	182680	182731	2	2	0	4	0	43	Yes	No
DS571150	NA	6705	6753	1	1	0	3	0	73	No	Yes
DS571150	EHI_067880	12861	12917	2	2	0	82	0	75	Yes	No
DS571150	EHI_067880	13002	13066	2	2	0	62	0	70	Yes	No
DS571150	EHI_067880	13212	13267	2	2	0	77	0	41	Yes	No
DS571150	EHI_067900	20635	20681	1	1	0	32	0	74	Yes	No
DS571150	EHI_067930	24545	24597	1	1	0	36	0	70	Yes	No
DS571150	NA	24545	24624	1	1	0	1	0	55	No	Yes
DS571150	EHI_067970	31685	31760	1	1	0	48	0	75	Yes	No
DS571150	NA	45062	45147	1	1	0	2	0	28	No	Yes
DS571150	EHI_068010	46550	46592	1	1	0	2	0	32	Yes	No
DS571150	EHI_068020	50928	50976	1	1	0	36	0	73	Yes	No
DS571150	NA	51785	51917	1	1	0	1	0	63	No	Yes
