scaffold_number	gene_id	intron_start	intron_end	orf_rep1_reads(u)	normalize value(Rep1)	orf_rep2_reads(u)	Normalize value(Rep2)	toc_rep1_reads(u)	Normalized value(Rep1)	toc_rep2_reads(u)	Normalized value(Rep2)	annotated	novel
DS571146	EHI_148170	28771	28828	212	308.1395349	110	193.7984496	155	217.2389629	184	210.7191938	Yes	No
DS571146	EHI_148170	29234	29283	196	284.8837209	85	149.7533474	222	311.1422565	254	290.8841044	Yes	No
DS571146	EHI_148170	29447	29501	156	226.744186	49	86.32840028	189	264.8913805	312	357.306459	Yes	No
DS571146	EHI_148210	34794	34856	41	59.59302326	23	40.52149401	58	81.28941836	58	66.42235456	Yes	No
DS571146	EHI_148220	36655	36803	107	155.5232558	73	128.6116984	144	201.8220042	146	167.2010994	Yes	No
DS571146	EHI_148220	36888	36964	146	212.2093023	85	149.7533474	128	179.3973371	183	209.5739808	Yes	No
DS571146	EHI_148230	38491	38553	35	50.87209302	49	86.32840028	60	84.09250175	84	96.19789281	Yes	No
DS571146	NA	46385	46447	24	34.88372093	33	58.13953488	42	58.86475123	56	64.13192854	No	Yes
DS571146	EHI_148330	59147	59206	56	81.39534884	28	49.33051445	89	124.7372109	103	117.95694	Yes	No
DS571146	EHI_148350	63029	63072	125	181.6860465	140	246.6525722	116	162.5788367	163	186.6697206	Yes	No
DS571146	EHI_148390	67039	67089	20	29.06976744	13	22.90345314	20	28.03083392	19	21.75904718	Yes	No
DS571146	EHI_148410	69585	69649	60	87.20930233	34	59.90133897	68	95.30483532	79	90.47182776	Yes	No
DS571146	EHI_148430	73148	73199	9	13.08139535	4	7.04721635	7	9.810791871	12	13.74255612	Yes	No
DS571146	EHI_148480	85649	85721	470	683.1395349	235	414.0239605	590	826.9096006	773	885.2496564	Yes	No
DS571146	EHI_148510	91843	91897	21	30.52325581	15	26.42706131	14	19.62158374	30	34.35639029	Yes	No
DS571146	EHI_148510	92207	92262	24	34.88372093	6	10.57082452	20	28.03083392	21	24.0494732	Yes	No
DS571146	EHI_148570	108722	108768	27	39.24418605	10	17.61804087	22	30.83391731	31	35.5016033	Yes	No
DS571146	NA	116522	116594	43	62.5	24	42.2832981	19	26.62929222	24	27.48511223	No	Yes
DS571146	EHI_148650	125008	125053	13	18.89534884	11	19.37984496	14	19.62158374	15	17.17819514	Yes	No
DS571146	EHI_148720	139493	139551	27	39.24418605	17	29.95066949	19	26.62929222	17	19.46862116	Yes	No
DS571146	EHI_148720	139609	139716	20	29.06976744	20	35.23608175	20	28.03083392	19	21.75904718	Yes	No
DS571146	EHI_148720	139775	139959	9	13.08139535	23	40.52149401	20	28.03083392	14	16.03298213	Yes	No
DS571146	EHI_148750	143243	143307	19	27.61627907	6	10.57082452	42	58.86475123	30	34.35639029	Yes	No
DS571146	EHI_148750	143412	143474	12	17.44186047	6	10.57082452	14	19.62158374	21	24.0494732	Yes	No
DS571146	EHI_148780	155168	155225	263	382.2674419	265	466.8780832	71	99.50946041	115	131.6994961	Yes	No
DS571146	EHI_148900	180451	180502	124	180.2325581	32	56.3777308	148	207.428171	184	210.7191938	Yes	No
DS571146	EHI_148910	184294	184360	38	55.23255814	25	44.04510218	31	43.44779257	28	32.06596427	Yes	No
DS571146	EHI_148920	185032	185119	20	29.06976744	7	12.33262861	21	29.43237561	15	17.17819514	Yes	No
DS571146	EHI_148940	188686	188729	15	21.80232558	5	8.809020437	24	33.6370007	20	22.90426019	Yes	No
DS571146	EHI_148940	189080	189138	24	34.88372093	7	12.33262861	20	28.03083392	19	21.75904718	Yes	No
DS571146	EHI_148980	198853	198912	22	31.97674419	4	7.04721635	10	14.01541696	20	22.90426019	Yes	No
DS571146	EHI_148990	201723	201914	97	140.9883721	12	21.14164905	111	155.5711282	160	183.2340815	Yes	No
DS571146	EHI_149000	202298	202397	25	36.3372093	28	49.33051445	14	19.62158374	43	49.24415941	Yes	No
DS571146	EHI_149010	202997	203043	20	29.06976744	25	44.04510218	37	51.85704275	54	61.84150252	Yes	No
DS571146	NA	203102	203155	17	24.70930233	22	38.75968992	29	40.64470918	36	41.22766835	No	Yes
DS571147	EHI_044480	4035	4084	96	139.5348837	160	281.888654	89	124.7372109	118	135.1351351	Yes	No
DS571147	NA	4760	4805	150	218.0232558	68	119.8026779	143	200.4204625	165	188.9601466	No	Yes
DS571147	NA	4880	4925	62	90.11627907	16	28.1888654	40	56.06166783	52	59.5510765	No	Yes
DS571147	EHI_044490	7585	7635	27	39.24418605	19	33.47427766	23	32.235459	20	22.90426019	Yes	No
DS571147	EHI_044540	14371	14454	24	34.88372093	6	10.57082452	20	28.03083392	18	20.61383417	Yes	No
DS571147	EHI_044560	17611	17669	31	45.05813953	21	36.99788584	20	28.03083392	27	30.92075126	Yes	No
DS571147	EHI_044580	19842	19896	16	23.25581395	27	47.56871036	22	30.83391731	22	25.19468621	Yes	No
DS571147	EHI_044610	21888	21936	70	101.744186	55	96.89922481	144	201.8220042	157	179.7984425	Yes	No
DS571147	EHI_044680	31425	31476	22	31.97674419	35	61.66314306	14	19.62158374	11	12.59734311	Yes	No
DS571147	NA	44336	44389	18	26.1627907	9	15.85623679	14	19.62158374	23	26.33989922	No	Yes
DS571147	EHI_044800	49686	49757	73	106.1046512	85	149.7533474	50	70.07708479	50	57.26065048	Yes	No
DS571147	EHI_044890	58796	58892	38	55.23255814	41	72.23396758	11	15.41695865	13	14.88776913	Yes	No
DS571147	EHI_044910	63934	63986	37	53.77906977	46	81.04298802	47	65.87245971	75	85.89097572	Yes	No
DS571147	EHI_045010	80458	80504	155	225.2906977	171	301.2684989	202	283.1114226	218	249.6564361	Yes	No
DS571147	EHI_045010	80590	80638	318	462.2093023	247	435.1656096	355	497.547302	385	440.9070087	Yes	No
DS571147	EHI_045140	100822	100872	13	18.89534884	20	35.23608175	20	28.03083392	21	24.0494732	Yes	No
DS571147	EHI_045190	109095	109138	21	30.52325581	26	45.80690627	49	68.6755431	31	35.5016033	Yes	No
DS571147	EHI_045190	109307	109365	19	27.61627907	19	33.47427766	42	58.86475123	31	35.5016033	Yes	No
DS571147	EHI_045200	109953	110001	40	58.13953488	82	144.4679352	64	89.69866854	61	69.85799359	Yes	No
DS571147	EHI_045240	114033	114099	15	21.80232558	5	8.809020437	11	15.41695865	11	12.59734311	Yes	No
DS571147	EHI_045240	114220	114278	8	11.62790698	9	15.85623679	7	9.810791871	14	16.03298213	Yes	No
DS571147	EHI_045280	120193	120386	120	174.4186047	108	190.2748414	106	148.5634198	127	145.4420522	Yes	No
DS571147	EHI_045310	128913	129055	225	327.0348837	152	267.7942213	347	486.3349685	401	459.2304169	Yes	No
DS571147	NA	129550	129594	44	63.95348837	44	77.51937984	86	120.5325858	124	142.0064132	No	Yes
DS571147	EHI_045360	135510	135570	15	21.80232558	8	14.0944327	16	22.42466713	30	34.35639029	Yes	No
DS571147	EHI_045360	135730	135782	6	8.720930233	7	12.33262861	8	11.21233357	14	16.03298213	Yes	No
DS571147	EHI_045460	154195	154242	38	55.23255814	32	56.3777308	43	60.26629292	85	97.34310582	Yes	No
DS571147	EHI_045490	158993	159050	14	20.34883721	9	15.85623679	8	11.21233357	12	13.74255612	Yes	No
DS571147	EHI_045510	164460	164502	14	20.34883721	10	17.61804087	35	49.05395936	29	33.21117728	Yes	No
DS571147	EHI_045530	166700	166759	31	45.05813953	5	8.809020437	10	14.01541696	11	12.59734311	Yes	No
DS571147	EHI_045590	180276	180332	27	39.24418605	23	40.52149401	9	12.61387526	14	16.03298213	Yes	No
DS571148	EHI_011660	2702	2758	13	18.89534884	7	12.33262861	31	43.44779257	33	37.79202932	Yes	No
DS571148	EHI_011890	26006	26054	43	62.5	26	45.80690627	32	44.84933427	27	30.92075126	Yes	No
DS571148	EHI_011910	28304	28360	47	68.31395349	53	93.37561663	45	63.06937631	35	40.08245534	Yes	No
DS571148	EHI_011920	31964	32021	86	125	18	31.71247357	53	74.28170988	53	60.69628951	Yes	No
DS571148	EHI_011920	32123	32177	109	158.4302326	21	36.99788584	64	89.69866854	60	68.71278058	Yes	No
DS571148	EHI_011970	40883	40928	54	78.48837209	12	21.14164905	111	155.5711282	143	163.7654604	Yes	No
DS571148	EHI_011970	41963	42012	58	84.30232558	44	77.51937984	59	82.69096006	72	82.45533669	Yes	No
DS571148	NA	55312	55360	44	63.95348837	35	61.66314306	49	68.6755431	108	123.683005	No	Yes
DS571148	EHI_012070	56835	56941	76	110.4651163	69	121.564482	82	114.9264191	98	112.2308749	Yes	No
DS571148	EHI_012100	60689	60735	9	13.08139535	6	10.57082452	11	15.41695865	7	8.016491067	Yes	No
DS571148	NA	67058	67146	31	45.05813953	26	45.80690627	76	106.5171689	65	74.43884563	No	Yes
DS571148	EHI_012320	105139	105209	68	98.8372093	87	153.2769556	45	63.06937631	51	58.40586349	Yes	No
DS571148	EHI_012320	106438	106614	34	49.41860465	8	14.0944327	61	85.49404345	63	72.14841961	Yes	No
DS571148	EHI_012380	126127	126238	47	68.31395349	37	65.18675123	72	100.9110021	102	116.811727	Yes	No
DS571148	EHI_012390	127527	127571	62	90.11627907	58	102.1846371	150	210.2312544	195	223.3165369	Yes	No
DS571148	EHI_012400	128019	128087	134	194.7674419	148	260.7470049	174	243.8682551	223	255.3825011	Yes	No
DS571148	EHI_012570	171679	171722	331	481.1046512	189	332.9809725	709	993.6930624	913	1045.579478	Yes	No
DS571149	NA	6752	6833	99	143.8953488	104	183.2276251	250	350.385424	314	359.596885	No	Yes
DS571149	NA	28143	28233	57	82.84883721	22	38.75968992	49	68.6755431	23	26.33989922	No	Yes
DS571149	NA	28308	28355	62	90.11627907	11	19.37984496	60	84.09250175	40	45.80852038	No	Yes
DS571149	NA	42856	42900	30	43.60465116	19	33.47427766	31	43.44779257	19	21.75904718	No	Yes
DS571149	NA	43199	43245	32	46.51162791	42	73.99577167	27	37.84162579	19	21.75904718	No	Yes
DS571149	EHI_050460	43199	43341	60	87.20930233	57	100.422833	38	53.25858444	40	45.80852038	Yes	No
DS571149	EHI_050590	66976	67023	105	152.6162791	132	232.5581395	70	98.10791871	111	127.1186441	Yes	No
DS571149	EHI_050620	72142	72190	122	177.3255814	173	304.7921071	129	180.7988788	127	145.4420522	Yes	No
DS571149	EHI_050670	92453	92521	52	75.58139535	28	49.33051445	59	82.69096006	54	61.84150252	Yes	No
DS571149	EHI_050770	107974	108048	15	21.80232558	18	31.71247357	17	23.82620883	15	17.17819514	Yes	No
DS571149	EHI_050780	109743	109800	63	91.56976744	60	105.7082452	53	74.28170988	62	71.0032066	Yes	No
DS571149	EHI_050830	126211	126253	24	34.88372093	30	52.85412262	22	30.83391731	16	18.32340815	Yes	No
DS571149	EHI_050830	126502	126553	53	77.03488372	34	59.90133897	49	68.6755431	57	65.27714155	Yes	No
DS571149	EHI_050890	134899	134956	65	94.47674419	48	84.56659619	48	67.2740014	67	76.72927164	Yes	No
DS571149	EHI_050910	139266	139320	31	45.05813953	42	73.99577167	11	15.41695865	15	17.17819514	Yes	No
DS571149	EHI_050910	139708	139756	50	72.6744186	39	68.71035941	29	40.64470918	46	52.67979844	Yes	No
DS571149	EHI_050970	154860	154921	45	65.40697674	26	45.80690627	38	53.25858444	45	51.53458543	Yes	No
DS571149	EHI_050970	155225	155277	50	72.6744186	22	38.75968992	39	54.66012614	55	62.98671553	Yes	No
DS571149	EHI_050970	155578	155636	58	84.30232558	8	14.0944327	39	54.66012614	62	71.0032066	Yes	No
DS571149	EHI_050970	155733	155790	59	85.75581395	10	17.61804087	42	58.86475123	58	66.42235456	Yes	No
DS571149	EHI_051000	162147	162194	10	14.53488372	7	12.33262861	8	11.21233357	13	14.88776913	Yes	No
DS571149	NA	162725	162778	7	10.1744186	9	15.85623679	7	9.810791871	14	16.03298213	No	Yes
DS571149	NA	162849	162900	7	10.1744186	4	7.04721635	9	12.61387526	7	8.016491067	No	Yes
DS571149	EHI_051020	168458	168511	106	154.0697674	136	239.6053559	46	64.47091801	80	91.61704077	Yes	No
DS571150	EHI_067880	12861	12917	82	119.1860465	52	91.61381254	101	141.5557113	121	138.5707742	Yes	No
DS571150	EHI_067880	13002	13066	62	90.11627907	54	95.13742072	79	110.721794	100	114.521301	Yes	No
DS571150	EHI_067880	13212	13267	77	111.9186047	43	75.75757576	84	117.7295025	77	88.18140174	Yes	No
DS571150	EHI_067900	20635	20681	32	46.51162791	23	40.52149401	29	40.64470918	46	52.67979844	Yes	No
DS571150	EHI_067930	24545	24597	36	52.3255814	12	21.14164905	45	63.06937631	66	75.58405863	Yes	No
DS571150	EHI_067970	31685	31760	48	69.76744186	83	146.2297393	14	19.62158374	14	16.03298213	Yes	No
DS571150	EHI_068020	50928	50976	36	52.3255814	25	44.04510218	48	67.2740014	60	68.71278058	Yes	No
DS571150	EHI_068040	53210	53259	32	46.51162791	30	52.85412262	34	47.65241766	31	35.5016033	Yes	No
DS571150	EHI_068120	67500	67589	47	68.31395349	29	51.09231853	134	187.8065872	157	179.7984425	Yes	No
DS571150	NA	68024	68078	43	62.5	37	65.18675123	31	43.44779257	36	41.22766835	No	Yes
DS571150	EHI_068230	84207	84256	81	117.7325581	55	96.89922481	124	173.7911703	136	155.7489693	Yes	No
DS571150	EHI_068230	84317	84365	388	563.9534884	220	387.5968992	395	553.6089699	536	613.8341732	Yes	No
DS571150	EHI_068310	96755	96832	15	21.80232558	14	24.66525722	16	22.42466713	13	14.88776913	Yes	No
DS571150	EHI_068330	100381	100431	17	24.70930233	12	21.14164905	31	43.44779257	49	56.11543747	Yes	No
DS571150	EHI_068350	104317	104363	14	20.34883721	5	8.809020437	14	19.62158374	12	13.74255612	Yes	No
DS571150	EHI_068410	115056	115104	50	72.6744186	16	28.1888654	57	79.88787666	27	30.92075126	Yes	No
DS571150	EHI_068480	128738	128823	444	645.3488372	419	738.1959126	519	727.4001402	843	965.4145671	Yes	No
DS571150	EHI_068570	150163	150217	188	273.255814	126	221.987315	335	469.5164681	465	532.5240495	Yes	No
DS571150	EHI_068580	150594	150651	56	81.39534884	75	132.1353066	93	130.3433777	97	111.0856619	Yes	No
DS571150	EHI_068620	156779	156824	19	27.61627907	6	10.57082452	44	61.66783462	48	54.97022446	Yes	No
DS571150	EHI_068630	158902	158962	32	46.51162791	27	47.56871036	27	37.84162579	42	48.0989464	Yes	No
DS571151	EHI_110130	5633	5716	20	29.06976744	27	47.56871036	18	25.22775053	23	26.33989922	Yes	No
DS571151	NA	6218	6344	312	453.4883721	384	676.5327696	86	120.5325858	116	132.8447091	No	Yes
DS571151	NA	29925	30004	5	7.26744186	4	7.04721635	8	11.21233357	9	10.30691709	No	Yes
DS571151	EHI_110360	51638	51695	549	797.9651163	486	856.2367865	389	545.1997197	606	693.9990838	Yes	No
DS571151	NA	53261	53303	21	30.52325581	30	52.85412262	16	22.42466713	18	20.61383417	No	Yes
DS571151	NA	53261	53325	283	411.3372093	240	422.832981	242	339.1730904	321	367.6133761	No	Yes
DS571151	NA	53746	53811	78	113.372093	126	221.987315	56	78.48633497	67	76.72927164	No	Yes
DS571151	EHI_110430	62185	62234	70	101.744186	78	137.4207188	18	25.22775053	21	24.0494732	Yes	No
DS571151	EHI_110450	72738	72785	11	15.98837209	6	10.57082452	18	25.22775053	13	14.88776913	Yes	No
DS571151	EHI_110450	73256	73301	13	18.89534884	17	29.95066949	22	30.83391731	22	25.19468621	Yes	No
DS571151	EHI_110460	73913	73964	194	281.9767442	259	456.3072586	185	259.2852137	274	313.7883646	Yes	No
DS571151	EHI_110460	74076	74137	131	190.4069767	161	283.6504581	149	208.8297127	158	180.9436555	Yes	No
DS571151	EHI_110640	119288	119348	25	36.3372093	35	61.66314306	25	35.0385424	26	29.77553825	Yes	No
DS571151	NA	150514	150566	21	30.52325581	19	33.47427766	20	28.03083392	19	21.75904718	No	Yes
DS571152	NA	3954	4029	29	42.15116279	22	38.75968992	13	18.22004205	16	18.32340815	No	Yes
DS571152	EHI_049300	4679	4753	72	104.6511628	26	45.80690627	33	46.25087596	29	33.21117728	Yes	No
DS571152	EHI_049330	11235	11295	911	1324.127907	660	1162.790698	784	1098.80869	1021	1169.262483	Yes	No
DS571152	EHI_049350	13133	13189	158	229.6511628	61	107.4700493	281	393.8332165	287	328.6761338	Yes	No
DS571152	EHI_049360	14695	14741	56	81.39534884	65	114.5172657	84	117.7295025	110	125.9734311	Yes	No
DS571152	NA	31294	31350	115	167.1511628	142	250.1761804	34	47.65241766	45	51.53458543	No	Yes
DS571152	EHI_049450	35396	35447	97	140.9883721	109	192.0366455	73	102.3125438	73	83.6005497	Yes	No
DS571152	EHI_049530	53274	53340	28	40.69767442	33	58.13953488	47	65.87245971	58	66.42235456	Yes	No
DS571152	EHI_049570	57372	57434	48	69.76744186	10	17.61804087	49	68.6755431	53	60.69628951	Yes	No
DS571152	NA	67021	67076	101	146.8023256	12	21.14164905	66	92.50175193	83	95.0526798	No	Yes
DS571152	EHI_049640	75090	75140	47	68.31395349	69	121.564482	20	28.03083392	19	21.75904718	Yes	No
DS571152	EHI_049660	82866	82922	103	149.7093023	171	301.2684989	129	180.7988788	133	152.3133303	Yes	No
DS571152	EHI_049830	127800	127873	49	71.22093023	15	26.42706131	41	57.46320953	50	57.26065048	Yes	No
DS571152	EHI_049840	129381	129437	21	30.52325581	20	35.23608175	11	15.41695865	16	18.32340815	Yes	No
DS571152	NA	135346	135397	88	127.9069767	99	174.4186047	79	110.721794	187	214.1548328	No	Yes
DS571152	NA	148753	148799	200	290.6976744	142	250.1761804	97	135.9495445	138	158.0393953	No	Yes
DS571152	NA	149196	149245	11	15.98837209	20	35.23608175	17	23.82620883	17	19.46862116	No	Yes
DS571152	EHI_049970	152631	152740	90	130.8139535	45	79.28118393	122	170.9880869	114	130.5542831	Yes	No
DS571153	EHI_022910	31901	31957	33	47.96511628	28	49.33051445	71	99.50946041	75	85.89097572	Yes	No
DS571153	EHI_022930	33620	33686	52	75.58139535	44	77.51937984	149	208.8297127	159	182.0888685	Yes	No
DS571153	EHI_023000	52293	52345	90	130.8139535	62	109.2318534	71	99.50946041	108	123.683005	Yes	No
DS571153	EHI_023120	73407	73462	63	91.56976744	12	21.14164905	47	65.87245971	54	61.84150252	Yes	No
DS571153	EHI_023180	87373	87422	123	178.7790698	147	258.9852008	153	214.4358795	133	152.3133303	Yes	No
DS571153	EHI_023240	95457	95507	45	65.40697674	7	12.33262861	30	42.04625088	67	76.72927164	Yes	No
DS571153	NA	118777	118918	39	56.68604651	58	102.1846371	12	16.81850035	29	33.21117728	No	Yes
DS571153	NA	125478	125527	41	59.59302326	33	58.13953488	13	18.22004205	19	21.75904718	No	Yes
DS571153	NA	125478	125542	235	341.5697674	212	373.5024665	181	253.679047	245	280.5771874	No	Yes
DS571153	EHI_023410	133712	133760	419	609.0116279	498	877.3784355	350	490.5395936	434	497.0224462	Yes	No
DS571154	EHI_178480	20827	20962	89	129.3604651	130	229.0345314	39	54.66012614	53	60.69628951	Yes	No
DS571154	EHI_178630	56222	56273	33	47.96511628	21	36.99788584	31	43.44779257	37	42.37288136	Yes	No
DS571154	EHI_178630	56333	56385	42	61.04651163	34	59.90133897	49	68.6755431	58	66.42235456	Yes	No
DS571154	EHI_178630	56844	56896	45	65.40697674	46	81.04298802	25	35.0385424	34	38.93724233	Yes	No
DS571154	EHI_178640	57881	57934	110	159.8837209	169	297.7448908	115	161.177295	148	169.4915254	Yes	No
DS571154	EHI_178680	62054	62107	46	66.86046512	32	56.3777308	95	133.1464611	106	121.392579	Yes	No
DS571154	EHI_178740	79510	79556	265	385.1744186	321	565.5391121	458	641.9060967	514	588.6394869	Yes	No
DS571154	EHI_178770	83621	83679	90	130.8139535	31	54.61592671	160	224.2466713	132	151.1681173	Yes	No
