scaffold_number	gene_id	intron_start	intron_end	toc_rep1_reads(u)	Normalized value(Rep1)	toc_rep2_reads(u)	Normalized value(Rep2)	annotated	novel
DS571150	EHI_068420	119220	119271	14	19.62158374	14	16.03298213	Yes	No
DS571151	NA	29795	29860	9	12.61387526	10	11.4521301	No	Yes
DS571151	EHI_110550	94326	94387	13	18.22004205	12	13.74255612	Yes	No
DS571151	EHI_110700	131024	131075	10	14.01541696	8	9.161704077	Yes	No
DS571151	EHI_110700	131354	131415	11	15.41695865	15	17.17819514	Yes	No
DS571151	EHI_110790	152663	152759	40	56.06166783	45	51.53458543	Yes	No
DS571152	EHI_049640	72176	72227	53	74.28170988	60	68.71278058	Yes	No
DS571152	EHI_049640	72510	72562	37	51.85704275	20	22.90426019	Yes	No
DS571152	EHI_049750	107257	107311	16	22.42466713	19	21.75904718	Yes	No
DS571153	EHI_023010	52755	52889	14	19.62158374	12	13.74255612	Yes	No
DS571153	EHI_023010	53090	53160	22	30.83391731	16	18.32340815	Yes	No
DS571153	NA	77935	77986	12	16.81850035	16	18.32340815	No	Yes
DS571153	NA	87826	87870	11	15.41695865	7	8.016491067	No	Yes
DS571153	EHI_023310	108432	108496	9	12.61387526	17	19.46862116	Yes	No
DS571153	EHI_023390	130302	130355	9	12.61387526	6	6.871278058	Yes	No
DS571154	EHI_178780	84089	84269	20	28.03083392	13	14.88776913	Yes	No
DS571154	EHI_178980	122283	122329	9	12.61387526	12	13.74255612	Yes	No
DS571156	EHI_182500	11587	11643	24	33.6370007	24	27.48511223	Yes	No
DS571156	EHI_182580	21354	21395	8	11.21233357	9	10.30691709	Yes	No
DS571156	EHI_183110	103842	103899	6	8.409250175	11	12.59734311	Yes	No
DS571156	EHI_183170	116928	116987	6	8.409250175	6	6.871278058	Yes	No
DS571156	EHI_183290	148341	148384	17	23.82620883	7	8.016491067	Yes	No
DS571157	EHI_196960	25826	25884	6	8.409250175	13	14.88776913	Yes	No
DS571159	NA	8007	8090	6	8.409250175	6	6.871278058	No	Yes
DS571159	EHI_186810	45849	45895	10	14.01541696	7	8.016491067	Yes	No
DS571159	EHI_186860	53022	53077	35	49.05395936	44	50.38937242	Yes	No
DS571159	EHI_186860	53557	53637	16	22.42466713	29	33.21117728	Yes	No
DS571161	EHI_141930	63913	64013	15	21.02312544	12	13.74255612	Yes	No
DS571161	NA	89566	89611	10	14.01541696	9	10.30691709	No	Yes
DS571162	EHI_155710	111752	111813	30	42.04625088	33	37.79202932	Yes	No
DS571163	EHI_096480	55584	55639	18	25.22775053	17	19.46862116	Yes	No
DS571163	EHI_096490	58164	58216	5	7.007708479	6	6.871278058	Yes	No
DS571163	NA	97331	97449	8	11.21233357	11	12.59734311	No	Yes
DS571163	EHI_096760	114131	114171	5	7.007708479	7	8.016491067	Yes	No
DS571164	NA	15716	15782	5	7.007708479	8	9.161704077	No	Yes
DS571164	EHI_069140	21616	21671	18	25.22775053	28	32.06596427	Yes	No
DS571164	EHI_069140	21725	21784	15	21.02312544	21	24.0494732	Yes	No
DS571164	EHI_069140	22269	22324	11	15.41695865	19	21.75904718	Yes	No
DS571164	EHI_069210	41663	41713	8	11.21233357	13	14.88776913	Yes	No
DS571164	EHI_069440	92777	92880	23	32.235459	24	27.48511223	Yes	No
DS571164	EHI_069620	125381	125445	35	49.05395936	38	43.51809437	Yes	No
DS571165	EHI_198970	81178	81225	12	16.81850035	12	13.74255612	Yes	No
DS571165	EHI_199065	104514	104562	24	33.6370007	35	40.08245534	Yes	No
DS571165	EHI_199090	107850	107909	6	8.409250175	7	8.016491067	Yes	No
DS571166	EHI_127230	67716	67774	8	11.21233357	9	10.30691709	Yes	No
DS571166	EHI_127390	95637	95692	23	32.235459	25	28.63032524	Yes	No
DS571166	NA	101914	101971	10	14.01541696	7	8.016491067	No	Yes
DS571166	EHI_127420	102760	102804	25	35.0385424	30	34.35639029	Yes	No
DS571168	EHI_013140	76079	76125	6	8.409250175	6	6.871278058	Yes	No
DS571168	EHI_013210	91611	91671	8	11.21233357	6	6.871278058	Yes	No
DS571169	EHI_098530	94551	94601	5	7.007708479	6	6.871278058	Yes	No
DS571169	EHI_098590	106607	106675	7	9.810791871	7	8.016491067	Yes	No
DS571170	EHI_130970	48113	48158	15	21.02312544	26	29.77553825	Yes	No
DS571170	NA	93320	93381	15	21.02312544	10	11.4521301	No	Yes
DS571170	NA	93434	93482	18	25.22775053	13	14.88776913	No	Yes
DS571170	EHI_131220	93758	93808	14	19.62158374	18	20.61383417	Yes	No
DS571171	EHI_073300	4302	4348	15	21.02312544	15	17.17819514	Yes	No
DS571173	EHI_087590	40035	40095	6	8.409250175	6	6.871278058	Yes	No
DS571174	NA	51363	51403	5	7.007708479	12	13.74255612	No	Yes
DS571174	NA	73536	73594	29	40.64470918	30	34.35639029	No	Yes
DS571175	EHI_176980	5944	5999	14	19.62158374	7	8.016491067	Yes	No
DS571175	NA	6563	6616	11	15.41695865	8	9.161704077	No	Yes
DS571175	NA	6900	6943	6	8.409250175	6	6.871278058	No	Yes
DS571178	NA	12067	12138	16	22.42466713	19	21.75904718	No	Yes
DS571178	NA	43158	43204	6	8.409250175	11	12.59734311	No	Yes
DS571178	EHI_008070	63312	63357	18	25.22775053	9	10.30691709	Yes	No
DS571178	NA	89331	89389	7	9.810791871	12	13.74255612	No	Yes
DS571179	EHI_093780	21773	21818	11	15.41695865	14	16.03298213	Yes	No
DS571179	NA	59643	59693	7	9.810791871	11	12.59734311	No	Yes
DS571179	NA	80079	80098	63	88.29712684	30	34.35639029	No	Yes
DS571182	EHI_010500	28006	28071	6	8.409250175	8	9.161704077	Yes	No
DS571182	EHI_010630	60099	60151	20	28.03083392	15	17.17819514	Yes	No
DS571182	EHI_010630	60318	60382	25	35.0385424	15	17.17819514	Yes	No
DS571184	NA	47859	47917	6	8.409250175	6	6.871278058	No	Yes
DS571187	NA	71319	71381	11	15.41695865	7	8.016491067	No	Yes
DS571187	NA	71406	71469	8	11.21233357	7	8.016491067	No	Yes
DS571190	NA	1935	1988	20	28.03083392	19	21.75904718	No	Yes
DS571190	EHI_038840	33439	33491	12	16.81850035	12	13.74255612	Yes	No
DS571190	EHI_038890	40795	40849	22	30.83391731	28	32.06596427	Yes	No
DS571190	EHI_038890	41524	41582	23	32.235459	22	25.19468621	Yes	No
DS571191	EHI_194590	70619	70700	8	11.21233357	11	12.59734311	Yes	No
DS571192	EHI_065500	10488	10534	12	16.81850035	12	13.74255612	Yes	No
DS571192	NA	59926	59973	9	12.61387526	9	10.30691709	No	Yes
DS571194	EHI_021530	69784	69845	7	9.810791871	12	13.74255612	Yes	No
DS571196	EHI_064660	60651	60697	115	161.177295	137	156.8941823	Yes	No
DS571198	NA	72902	72972	28	39.24316748	12	13.74255612	No	Yes
DS571199	EHI_008350	6669	6732	8	11.21233357	7	8.016491067	Yes	No
DS571199	EHI_008750	60063	60112	20	28.03083392	24	27.48511223	Yes	No
DS571201	EHI_100260	19214	19274	10	14.01541696	8	9.161704077	Yes	No
DS571201	EHI_100440	61630	61714	27	37.84162579	24	27.48511223	Yes	No
DS571201	EHI_100500	69622	69686	35	49.05395936	28	32.06596427	Yes	No
DS571201	EHI_100500	69954	70004	6	8.409250175	6	6.871278058	Yes	No
DS571202	NA	62788	62899	5	7.007708479	9	10.30691709	No	Yes
DS571204	EHI_105190	30969	31042	13	18.22004205	20	22.90426019	Yes	No
DS571204	EHI_105230	37096	37151	15	21.02312544	9	10.30691709	Yes	No
DS571206	EHI_188010	10334	10391	16	22.42466713	19	21.75904718	Yes	No
DS571206	EHI_188210	51188	51246	12	16.81850035	20	22.90426019	Yes	No
DS571207	EHI_169940	31887	31936	10	14.01541696	9	10.30691709	Yes	No
DS571207	EHI_169940	32402	32448	11	15.41695865	11	12.59734311	Yes	No
DS571207	EHI_169940	32577	32638	5	7.007708479	8	9.161704077	Yes	No
DS571208	NA	34724	34747	6	8.409250175	9	10.30691709	No	Yes
DS571211	NA	519	572	7	9.810791871	8	9.161704077	No	Yes
DS571211	NA	61139	61204	18	25.22775053	16	18.32340815	No	Yes
DS571213	EHI_062660	29571	29625	14	19.62158374	22	25.19468621	Yes	No
DS571213	NA	44442	44501	13	18.22004205	14	16.03298213	No	Yes
DS571218	EHI_150110	9524	9583	12	16.81850035	22	25.19468621	Yes	No
DS571218	EHI_150130	11547	11609	9	12.61387526	13	14.88776913	Yes	No
DS571219	EHI_169320	54120	54179	9	12.61387526	14	16.03298213	Yes	No
DS571222	EHI_136330	21133	21186	13	18.22004205	18	20.61383417	Yes	No
DS571223	EHI_158300	50592	50643	12	16.81850035	19	21.75904718	Yes	No
DS571224	EHI_040430	47864	47920	8	11.21233357	8	9.161704077	Yes	No
DS571226	EHI_079910	31308	31363	10	14.01541696	23	26.33989922	Yes	No
DS571228	EHI_161050	46803	46858	34	47.65241766	30	34.35639029	Yes	No
DS571228	NA	49986	50051	50	70.07708479	42	48.0989464	No	Yes
DS571231	EHI_048590	17398	17481	20	28.03083392	27	30.92075126	Yes	No
DS571232	NA	10038	10085	9	12.61387526	15	17.17819514	No	Yes
DS571234	NA	36666	36689	11	15.41695865	31	35.5016033	No	Yes
DS571235	EHI_086140	35358	35405	7	9.810791871	12	13.74255612	Yes	No
DS571235	EHI_086250	51160	51220	20	28.03083392	30	34.35639029	Yes	No
DS571236	EHI_106110	9072	9140	8	11.21233357	10	11.4521301	Yes	No
DS571236	EHI_106110	9267	9327	11	15.41695865	12	13.74255612	Yes	No
DS571237	EHI_175250	12955	13006	5	7.007708479	6	6.871278058	Yes	No
DS571238	EHI_052990	4462	4521	33	46.25087596	28	32.06596427	Yes	No
DS571241	EHI_138330	13680	13733	19	26.62929222	8	9.161704077	Yes	No
DS571242	NA	38862	38912	21	29.43237561	17	19.46862116	No	Yes
DS571245	EHI_052730	5566	5627	5	7.007708479	7	8.016491067	Yes	No
DS571245	EHI_052730	5852	5986	11	15.41695865	8	9.161704077	Yes	No
DS571245	EHI_052840	32074	32120	6	8.409250175	10	11.4521301	Yes	No
DS571248	EHI_200700	16094	16150	15	21.02312544	12	13.74255612	Yes	No
DS571249	EHI_185230	9002	9065	8	11.21233357	13	14.88776913	Yes	No
DS571249	EHI_185230	9093	9140	10	14.01541696	17	19.46862116	Yes	No
DS571250	EHI_195050	29586	29645	8	11.21233357	12	13.74255612	Yes	No
DS571250	EHI_195050	29841	29909	8	11.21233357	19	21.75904718	Yes	No
DS571253	EHI_030050	1290	1341	5	7.007708479	7	8.016491067	Yes	No
DS571254	EHI_140230	22218	22295	14	19.62158374	18	20.61383417	Yes	No
DS571256	EHI_048270	38003	38055	14	19.62158374	14	16.03298213	Yes	No
DS571261	EHI_031280	19772	19823	24	33.6370007	19	21.75904718	Yes	No
DS571263	EHI_168260	17099	17167	33	46.25087596	41	46.95373339	Yes	No
DS571266	EHI_028910	8292	8399	14	19.62158374	12	13.74255612	Yes	No
DS571270	EHI_128190	39086	39157	7	9.810791871	22	25.19468621	Yes	No
DS571271	EHI_078250	27050	27092	7	9.810791871	7	8.016491067	Yes	No
DS571272	EHI_178020	16944	17012	22	30.83391731	19	21.75904718	Yes	No
DS571273	NA	14299	14353	12	16.81850035	12	13.74255612	No	Yes
DS571276	NA	4920	4977	13	18.22004205	7	8.016491067	No	Yes
DS571278	EHI_058790	31774	31819	19	26.62929222	8	9.161704077	Yes	No
DS571284	EHI_070690	16207	16261	10	14.01541696	6	6.871278058	Yes	No
DS571286	EHI_026430	31529	31576	10	14.01541696	6	6.871278058	Yes	No
DS571286	EHI_026430	31851	31901	9	12.61387526	8	9.161704077	Yes	No
DS571291	EHI_179870	12614	12685	5	7.007708479	6	6.871278058	Yes	No
DS571291	NA	15559	15610	6	8.409250175	8	9.161704077	No	Yes
DS571292	EHI_042960	21320	21382	9	12.61387526	18	20.61383417	Yes	No
DS571292	NA	21473	21524	16	22.42466713	32	36.64681631	No	Yes
DS571293	EHI_117640	20434	20497	15	21.02312544	18	20.61383417	Yes	No
DS571295	EHI_082530	15009	15078	116	162.5788367	133	152.3133303	Yes	No
DS571303	NA	30966	31050	7	9.810791871	6	6.871278058	No	Yes
DS571304	EHI_161950	24180	24241	9	12.61387526	15	17.17819514	Yes	No
DS571305	EHI_171310	12274	12326	8	11.21233357	14	16.03298213	Yes	No
DS571306	EHI_201080	5805	5862	60	84.09250175	39	44.66330738	Yes	No
DS571306	EHI_201080	6031	6099	43	60.26629292	36	41.22766835	Yes	No
DS571306	NA	6295	6354	45	63.06937631	42	48.0989464	No	Yes
DS571309	EHI_054250	28065	28116	14	19.62158374	19	21.75904718	Yes	No
DS571311	EHI_139470	33278	33322	8	11.21233357	14	16.03298213	Yes	No
DS571311	NA	33566	33629	9	12.61387526	14	16.03298213	No	Yes
DS571313	EHI_056400	9544	9604	19	26.62929222	8	9.161704077	Yes	No
DS571313	NA	26929	27042	5	7.007708479	11	12.59734311	No	Yes
DS571313	NA	27872	27938	7	9.810791871	7	8.016491067	No	Yes
DS571314	NA	11288	11620	5	7.007708479	11	12.59734311	No	Yes
DS571314	NA	34931	34989	11	15.41695865	8	9.161704077	No	Yes
DS571315	EHI_189850	5571	5705	53	74.28170988	49	56.11543747	Yes	No
DS571315	EHI_189870	11215	11261	21	29.43237561	24	27.48511223	Yes	No
DS571318	NA	31528	31591	7	9.810791871	8	9.161704077	No	Yes
DS571321	EHI_046610	6853	6919	6	8.409250175	15	17.17819514	Yes	No
DS571327	NA	13770	13825	6	8.409250175	8	9.161704077	No	Yes
DS571328	EHI_158640	31949	32004	7	9.810791871	7	8.016491067	Yes	No
DS571330	EHI_023610	13618	13664	10	14.01541696	11	12.59734311	Yes	No
DS571330	NA	14429	14481	33	46.25087596	25	28.63032524	No	Yes
DS571335	EHI_091050	13958	14008	8	11.21233357	6	6.871278058	Yes	No
DS571336	EHI_120860	4402	4457	26	36.44008409	15	17.17819514	Yes	No
DS571336	EHI_120870	8422	8501	55	77.08479327	45	51.53458543	Yes	No
DS571337	EHI_079230	15036	15080	14	19.62158374	21	24.0494732	Yes	No
DS571337	EHI_079230	15362	15413	7	9.810791871	10	11.4521301	Yes	No
DS571338	NA	3581	3740	21	29.43237561	24	27.48511223	No	Yes
DS571347	NA	6378	6427	7	9.810791871	7	8.016491067	No	Yes
DS571351	EHI_019120	9953	10001	8	11.21233357	6	6.871278058	Yes	No
DS571356	EHI_185590	17243	17319	15	21.02312544	15	17.17819514	Yes	No
DS571356	NA	24389	24454	9	12.61387526	7	8.016491067	No	Yes
DS571361	NA	25382	25439	10	14.01541696	30	34.35639029	No	Yes
DS571370	EHI_053460	7525	7603	13	18.22004205	12	13.74255612	Yes	No
DS571386	EHI_097620	11047	11115	13	18.22004205	23	26.33989922	Yes	No
DS571387	NA	11035	11058	12	16.81850035	14	16.03298213	No	Yes
DS571388	EHI_083640	15190	15234	7	9.810791871	6	6.871278058	Yes	No
DS571413	EHI_061020	15616	15663	20	28.03083392	10	11.4521301	Yes	No
DS571425	EHI_108460	11346	11413	11	15.41695865	8	9.161704077	Yes	No
DS571438	NA	2573	2627	11	15.41695865	7	8.016491067	No	Yes
DS571447	EHI_172500	2831	2902	33	46.25087596	27	30.92075126	Yes	No
DS571448	EHI_061870	8287	8338	12	16.81850035	9	10.30691709	Yes	No
DS571448	EHI_061870	8909	9008	10	14.01541696	7	8.016491067	Yes	No
DS571450	EHI_069980	10119	10163	11	15.41695865	13	14.88776913	Yes	No
DS571451	EHI_018640	14833	14886	11	15.41695865	8	9.161704077	Yes	No
DS571463	EHI_066750	12693	12738	8	11.21233357	10	11.4521301	Yes	No
DS571475	NA	389	432	8	11.21233357	11	12.59734311	No	Yes
DS571485	NA	9808	9879	9	12.61387526	7	8.016491067	No	Yes
DS571495	EHI_075540	3604	3655	17	23.82620883	13	14.88776913	Yes	No
DS571507	EHI_048980	2487	2550	22	30.83391731	35	40.08245534	Yes	No
DS571507	EHI_049050	9145	9234	5	7.007708479	13	14.88776913	Yes	No
DS571528	EHI_029220	2786	2830	5	7.007708479	7	8.016491067	Yes	No
DS571542	EHI_200960	6521	6581	6	8.409250175	9	10.30691709	Yes	No
DS571542	EHI_200960	6715	6776	8	11.21233357	11	12.59734311	Yes	No
DS571558	NA	6144	6491	30	42.04625088	26	29.77553825	No	Yes
DS571561	EHI_042710	4565	4616	11	15.41695865	9	10.30691709	Yes	No
DS571579	EHI_198000	4788	4846	8	11.21233357	13	14.88776913	Yes	No
DS571588	NA	784	841	14	19.62158374	21	24.0494732	No	Yes
DS571588	EHI_028540	1573	1631	28	39.24316748	22	25.19468621	Yes	No
DS571588	EHI_028540	1736	1797	44	61.66783462	33	37.79202932	Yes	No
DS571643	EHI_060760	3647	3708	7	9.810791871	7	8.016491067	Yes	No
DS571643	EHI_060760	4024	4090	7	9.810791871	11	12.59734311	Yes	No
DS571646	EHI_082700	4860	4916	18	25.22775053	14	16.03298213	Yes	No
DS571748	EHI_116460	693	750	12	16.81850035	6	6.871278058	Yes	No
DS571906	EHI_193940	205	276	6	8.409250175	7	8.016491067	Yes	No
DS571976	NA	1318	1377	11	15.41695865	10	11.4521301	No	Yes
DS572467	EHI_021680	721	778	15	21.02312544	20	22.90426019	Yes	No
DS572585	NA	530	577	12	16.81850035	8	9.161704077	No	Yes
EH4254	NA	611	675	5	7.007708479	8	9.161704077	No	Yes
