scaffold_number	intron_start	intron_end	orf_rep1_reads(u)	normalize value(Rep1)	orf_rep2_reads(u)	Normalize value(Rep2)
DS571206	57349	57394	17	24.70930233	8	14.0944327
DS571207	28044	28095	12	17.44186047	12	21.14164905
DS571214	42783	42806	13	18.89534884	15	26.42706131
DS571214	44316	44339	5	7.26744186	12	21.14164905
DS571214	44436	44459	12	17.44186047	17	29.95066949
DS571214	44436	44483	12	17.44186047	20	35.23608175
DS571214	44436	44627	5	7.26744186	11	19.37984496
DS571214	44460	44531	5	7.26744186	12	21.14164905
DS571214	44532	44579	14	20.34883721	4	7.04721635
DS571215	13054	13120	6	8.720930233	16	28.1888654
DS571215	13054	13126	6	8.720930233	14	24.66525722
DS571215	15928	15976	23	33.43023256	20	35.23608175
DS571217	30542	30592	8	11.62790698	5	8.809020437
DS571218	26464	26567	11	15.98837209	7	12.33262861
DS571222	14823	14886	7	10.1744186	5	8.809020437
DS571222	36442	36501	9	13.08139535	16	28.1888654
DS571222	45270	45351	11	15.98837209	4	7.04721635
DS571224	16026	16073	18	26.1627907	15	26.42706131
DS571227	53187	54006	10	14.53488372	4	7.04721635
DS571227	54108	54249	9	13.08139535	4	7.04721635
DS571228	15494	15564	7	10.1744186	10	17.61804087
DS571229	21627	21653	5	7.26744186	5	8.809020437
DS571233	41043	41117	8	11.62790698	9	15.85623679
DS571241	7747	7828	15	21.80232558	12	21.14164905
DS571245	11164	11211	10	14.53488372	16	28.1888654
DS571247	24239	24285	6	8.720930233	7	12.33262861
DS571248	31191	31242	11	15.98837209	7	12.33262861
DS571249	48318	48387	8	11.62790698	8	14.0944327
DS571251	34034	34091	11	15.98837209	7	12.33262861
DS571256	33681	33742	7	10.1744186	5	8.809020437
DS571258	33865	33920	7	10.1744186	9	15.85623679
DS571259	18488	18540	42	61.04651163	45	79.28118393
DS571260	16218	16278	6	8.720930233	8	14.0944327
DS571260	27476	27518	6	8.720930233	4	7.04721635
DS571260	37291	37349	10	14.53488372	14	24.66525722
DS571260	42286	42338	10	14.53488372	10	17.61804087
DS571263	9171	9230	12	17.44186047	5	8.809020437
DS571265	25571	25617	9	13.08139535	8	14.0944327
DS571272	21321	21376	6	8.720930233	9	15.85623679
DS571273	20337	20386	10	14.53488372	9	15.85623679
DS571275	22384	22427	6	8.720930233	5	8.809020437
DS571276	14392	14694	11	15.98837209	8	14.0944327
DS571278	28816	28868	5	7.26744186	9	15.85623679
DS571280	28506	28552	13	18.89534884	7	12.33262861
DS571283	3138	3189	9	13.08139535	6	10.57082452
DS571287	31127	31198	7	10.1744186	6	10.57082452
DS571288	16820	16884	5	7.26744186	5	8.809020437
DS571290	26463	26510	13	18.89534884	11	19.37984496
DS571293	9183	9227	8	11.62790698	8	14.0944327
DS571301	3166	3224	14	20.34883721	9	15.85623679
DS571302	424	475	9	13.08139535	15	26.42706131
DS571304	23601	23651	9	13.08139535	11	19.37984496
DS571309	11377	11468	8	11.62790698	4	7.04721635
DS571313	13398	13548	13	18.89534884	9	15.85623679
DS571315	12833	12916	13	18.89534884	4	7.04721635
DS571315	21104	21164	7	10.1744186	5	8.809020437
DS571326	18917	18966	11	15.98837209	5	8.809020437
DS571326	19975	20039	7	10.1744186	5	8.809020437
DS571331	14056	14115	9	13.08139535	5	8.809020437
DS571331	20042	20112	16	23.25581395	8	14.0944327
DS571339	27315	27384	13	18.89534884	13	22.90345314
DS571345	22698	22759	11	15.98837209	20	35.23608175
DS571362	2246	2298	11	15.98837209	6	10.57082452
DS571370	5649	5707	10	14.53488372	4	7.04721635
DS571380	919	990	5	7.26744186	4	7.04721635
DS571382	9865	9941	6	8.720930233	5	8.809020437
DS571388	16869	16939	14	20.34883721	22	38.75968992
DS571393	10511	10583	11	15.98837209	5	8.809020437
DS571405	5444	5509	6	8.720930233	9	15.85623679
DS571408	8394	8454	9	13.08139535	5	8.809020437
DS571408	12551	12598	5	7.26744186	7	12.33262861
DS571430	17827	17885	8	11.62790698	11	19.37984496
DS571430	17827	18010	9	13.08139535	15	26.42706131
DS571432	6571	6624	7	10.1744186	8	14.0944327
DS571480	14459	14484	7	10.1744186	8	14.0944327
DS571480	14884	14989	30	43.60465116	32	56.3777308
DS571490	6799	7004	11	15.98837209	7	12.33262861
DS571493	3649	3705	10	14.53488372	4	7.04721635
DS571508	10702	10787	5	7.26744186	6	10.57082452
DS571522	4862	5011	18	26.1627907	24	42.2832981
DS571525	7777	7825	11	15.98837209	11	19.37984496
DS571591	7583	7636	5	7.26744186	18	31.71247357
DS571594	4948	4999	11	15.98837209	8	14.0944327
DS571602	3175	3235	7	10.1744186	13	22.90345314
DS571661	1319	1366	5	7.26744186	6	10.57082452
DS571676	5525	5580	15	21.80232558	13	22.90345314
DS571676	5642	5694	11	15.98837209	16	28.1888654
DS571785	1455	1505	23	33.43023256	14	24.66525722
DS571795	1975	2024	8	11.62790698	6	10.57082452
DS571795	1981	2024	11	15.98837209	11	19.37984496
DS571976	1366	1449	8	11.62790698	4	7.04721635
DS571976	1402	1449	10	14.53488372	6	10.57082452
DS571976	1438	1545	8	11.62790698	5	8.809020437
DS571976	1474	1605	14	20.34883721	5	8.809020437
DS572335	563	598	12	17.44186047	6	10.57082452
DS572585	299	415	119	172.9651163	160	281.888654
DS572585	459	485	6	8.720930233	6	10.57082452
DS572620	148	432	34	49.41860465	34	59.90133897
DS572620	274	306	7	10.1744186	11	19.37984496
