scaffold_number	gene_id	intron_start	intron_end	orf_rep1_reads(u)	normalize value(Rep1)	orf_rep2_reads(u)	Normalize value(Rep2)	annotated	novel
DS571159	EHI_187200	120156	120201	7	10.1744186	11	19.37984496	Yes	No
DS571160	NA	61710	61781	26	37.79069767	16	28.1888654	No	Yes
DS571161	NA	92879	92964	9	13.08139535	4	7.04721635	No	Yes
DS571162	NA	107799	107870	25	36.3372093	11	19.37984496	No	Yes
DS571163	NA	67039	67111	23	33.43023256	18	31.71247357	No	Yes
DS571163	EHI_096700	102390	102483	25	36.3372093	7	12.33262861	Yes	No
DS571164	EHI_069120	16435	16492	6	8.720930233	5	8.809020437	Yes	No
DS571164	NA	26254	26324	11	15.98837209	17	29.95066949	No	Yes
DS571164	NA	69751	69818	9	13.08139535	21	36.99788584	No	Yes
DS571165	NA	113828	113895	10	14.53488372	13	22.90345314	No	Yes
DS571165	NA	120071	120115	8	11.62790698	27	47.56871036	No	Yes
DS571166	NA	93062	93105	8	11.62790698	8	14.0944327	No	Yes
DS571166	NA	113397	113467	17	24.70930233	22	38.75968992	No	Yes
DS571167	EHI_159330	27679	27753	6	8.720930233	5	8.809020437	Yes	No
DS571167	EHI_159570	44665	44724	9	13.08139535	12	21.14164905	Yes	No
DS571167	EHI_159590	47661	47722	8	11.62790698	6	10.57082452	Yes	No
DS571168	EHI_012970	22289	22335	20	29.06976744	7	12.33262861	Yes	No
DS571168	EHI_013110	65869	65922	23	33.43023256	38	66.94855532	Yes	No
DS571168	NA	92585	92870	6	8.720930233	16	28.1888654	No	Yes
DS571172	NA	19768	19829	21	30.52325581	23	40.52149401	No	Yes
DS571172	NA	105981	106002	8	11.62790698	6	10.57082452	No	Yes
DS571174	EHI_035520	34048	34095	24	34.88372093	13	22.90345314	Yes	No
DS571174	NA	35893	36009	9	13.08139535	13	22.90345314	No	Yes
DS571177	EHI_167140	81941	82025	6	8.720930233	10	17.61804087	Yes	No
DS571177	EHI_167140	82084	82133	19	27.61627907	20	35.23608175	Yes	No
DS571178	NA	11531	11563	9	13.08139535	11	19.37984496	No	Yes
DS571178	NA	11612	12066	67	97.38372093	101	177.9422128	No	Yes
DS571179	NA	80059	80118	5	7.26744186	5	8.809020437	No	Yes
DS571183	EHI_117970	31316	31399	5	7.26744186	11	19.37984496	Yes	No
DS571184	NA	38951	39011	5	7.26744186	10	17.61804087	No	Yes
DS571185	NA	25902	25954	17	24.70930233	7	12.33262861	No	Yes
DS571188	EHI_124390	24652	24724	6	8.720930233	6	10.57082452	Yes	No
DS571190	NA	14674	14730	19	27.61627907	19	33.47427766	No	Yes
DS571190	EHI_038980	70024	70081	22	31.97674419	9	15.85623679	Yes	No
DS571191	EHI_194350	34143	34197	14	20.34883721	12	21.14164905	Yes	No
DS571191	NA	56389	56436	5	7.26744186	4	7.04721635	No	Yes
DS571192	NA	59455	59508	7	10.1744186	6	10.57082452	No	Yes
DS571193	NA	47319	47372	5	7.26744186	5	8.809020437	No	Yes
DS571195	EHI_004740	10026	10083	5	7.26744186	6	10.57082452	Yes	No
DS571198	EHI_024480	27847	27893	6	8.720930233	6	10.57082452	Yes	No
DS571200	EHI_010120	62024	62072	9	13.08139535	5	8.809020437	Yes	No
DS571202	EHI_015350	36139	36223	6	8.720930233	4	7.04721635	Yes	No
DS571203	EHI_135050	30451	30514	9	13.08139535	7	12.33262861	Yes	No
DS571204	NA	30169	30238	8	11.62790698	6	10.57082452	No	Yes
DS571206	NA	57349	57394	17	24.70930233	8	14.0944327	No	Yes
DS571207	EHI_169930	28044	28095	12	17.44186047	12	21.14164905	Yes	No
DS571214	NA	42783	42806	13	18.89534884	15	26.42706131	No	Yes
DS571214	NA	44316	44339	5	7.26744186	12	21.14164905	No	Yes
DS571214	NA	44436	44459	12	17.44186047	17	29.95066949	No	Yes
DS571214	NA	44436	44483	12	17.44186047	20	35.23608175	No	Yes
DS571214	NA	44436	44627	5	7.26744186	11	19.37984496	No	Yes
DS571214	NA	44460	44531	5	7.26744186	12	21.14164905	No	Yes
DS571214	NA	44532	44579	14	20.34883721	4	7.04721635	No	Yes
DS571215	NA	13054	13120	6	8.720930233	16	28.1888654	No	Yes
DS571215	NA	13054	13126	6	8.720930233	14	24.66525722	No	Yes
DS571215	EHI_027520	15928	15976	23	33.43023256	20	35.23608175	Yes	No
DS571217	EHI_165230	30542	30592	8	11.62790698	5	8.809020437	Yes	No
DS571218	NA	26464	26567	11	15.98837209	7	12.33262861	No	Yes
DS571222	NA	14823	14886	7	10.1744186	5	8.809020437	No	Yes
DS571222	NA	36442	36501	9	13.08139535	16	28.1888654	No	Yes
DS571222	EHI_136450	45270	45351	11	15.98837209	4	7.04721635	Yes	No
DS571224	NA	16026	16073	18	26.1627907	15	26.42706131	No	Yes
DS571227	NA	53187	54006	10	14.53488372	4	7.04721635	No	Yes
DS571227	NA	54108	54249	9	13.08139535	4	7.04721635	No	Yes
DS571228	NA	15494	15564	7	10.1744186	10	17.61804087	No	Yes
DS571229	NA	21627	21653	5	7.26744186	5	8.809020437	No	Yes
DS571233	NA	41043	41117	8	11.62790698	9	15.85623679	No	Yes
DS571241	NA	7747	7828	15	21.80232558	12	21.14164905	No	Yes
DS571245	EHI_052750	11164	11211	10	14.53488372	16	28.1888654	Yes	No
DS571247	NA	24239	24285	6	8.720930233	7	12.33262861	No	Yes
DS571248	NA	31191	31242	11	15.98837209	7	12.33262861	No	Yes
DS571249	NA	48318	48387	8	11.62790698	8	14.0944327	No	Yes
DS571251	EHI_114220	34034	34091	11	15.98837209	7	12.33262861	Yes	No
DS571256	NA	33681	33742	7	10.1744186	5	8.809020437	No	Yes
DS571258	EHI_078730	33865	33920	7	10.1744186	9	15.85623679	Yes	No
DS571259	NA	18488	18540	42	61.04651163	45	79.28118393	No	Yes
DS571260	EHI_138780	16218	16278	6	8.720930233	8	14.0944327	Yes	No
DS571260	EHI_138960	27476	27518	6	8.720930233	4	7.04721635	Yes	No
DS571260	NA	37291	37349	10	14.53488372	14	24.66525722	No	Yes
DS571260	EHI_139070	42286	42338	10	14.53488372	10	17.61804087	Yes	No
DS571263	EHI_168210	9171	9230	12	17.44186047	5	8.809020437	Yes	No
DS571265	EHI_193400	25571	25617	9	13.08139535	8	14.0944327	Yes	No
DS571272	EHI_178030	21321	21376	6	8.720930233	9	15.85623679	Yes	No
DS571273	NA	20337	20386	10	14.53488372	9	15.85623679	No	Yes
DS571275	EHI_081350	22384	22427	6	8.720930233	5	8.809020437	Yes	No
DS571276	NA	14392	14694	11	15.98837209	8	14.0944327	No	Yes
DS571278	EHI_058670	28816	28868	5	7.26744186	9	15.85623679	Yes	No
DS571280	EHI_001920	28506	28552	13	18.89534884	7	12.33262861	Yes	No
DS571283	NA	3138	3189	9	13.08139535	6	10.57082452	No	Yes
DS571287	NA	31127	31198	7	10.1744186	6	10.57082452	No	Yes
DS571288	EHI_181160	16820	16884	5	7.26744186	5	8.809020437	Yes	No
DS571290	EHI_125360	26463	26510	13	18.89534884	11	19.37984496	Yes	No
DS571293	NA	9183	9227	8	11.62790698	8	14.0944327	No	Yes
DS571301	EHI_060320	3166	3224	14	20.34883721	9	15.85623679	Yes	No
DS571302	NA	424	475	9	13.08139535	15	26.42706131	No	Yes
DS571304	EHI_161950	23601	23651	9	13.08139535	11	19.37984496	Yes	No
DS571309	NA	11377	11468	8	11.62790698	4	7.04721635	No	Yes
DS571313	NA	13398	13548	13	18.89534884	9	15.85623679	No	Yes
DS571315	EHI_189890	12833	12916	13	18.89534884	4	7.04721635	Yes	No
DS571315	NA	21104	21164	7	10.1744186	5	8.809020437	No	Yes
DS571326	NA	18917	18966	11	15.98837209	5	8.809020437	No	Yes
DS571326	NA	19975	20039	7	10.1744186	5	8.809020437	No	Yes
DS571331	EHI_170390	14056	14115	9	13.08139535	5	8.809020437	Yes	No
DS571331	EHI_170450	20042	20112	16	23.25581395	8	14.0944327	Yes	No
DS571339	NA	27315	27384	13	18.89534884	13	22.90345314	No	Yes
DS571345	EHI_002210	22698	22759	11	15.98837209	20	35.23608175	Yes	No
DS571362	EHI_162180	2246	2298	11	15.98837209	6	10.57082452	Yes	No
DS571370	NA	5649	5707	10	14.53488372	4	7.04721635	No	Yes
DS571380	NA	919	990	5	7.26744186	4	7.04721635	No	Yes
DS571382	EHI_038280	9865	9941	6	8.720930233	5	8.809020437	Yes	No
DS571388	NA	16869	16939	14	20.34883721	22	38.75968992	No	Yes
DS571393	NA	10511	10583	11	15.98837209	5	8.809020437	No	Yes
DS571405	EHI_011540	5444	5509	6	8.720930233	9	15.85623679	Yes	No
DS571408	EHI_189120	8394	8454	9	13.08139535	5	8.809020437	Yes	No
DS571408	EHI_189160	12551	12598	5	7.26744186	7	12.33262861	Yes	No
DS571430	NA	17827	17885	8	11.62790698	11	19.37984496	No	Yes
DS571430	NA	17827	18010	9	13.08139535	15	26.42706131	No	Yes
DS571432	NA	6571	6624	7	10.1744186	8	14.0944327	No	Yes
DS571480	NA	14459	14484	7	10.1744186	8	14.0944327	No	Yes
DS571480	NA	14884	14989	30	43.60465116	32	56.3777308	No	Yes
DS571490	NA	6799	7004	11	15.98837209	7	12.33262861	No	Yes
DS571493	NA	3649	3705	10	14.53488372	4	7.04721635	No	Yes
DS571508	NA	10702	10787	5	7.26744186	6	10.57082452	No	Yes
DS571522	NA	4862	5011	18	26.1627907	24	42.2832981	No	Yes
DS571525	NA	7777	7825	11	15.98837209	11	19.37984496	No	Yes
DS571591	NA	7583	7636	5	7.26744186	18	31.71247357	No	Yes
DS571594	NA	4948	4999	11	15.98837209	8	14.0944327	No	Yes
DS571602	EHI_031520	3175	3235	7	10.1744186	13	22.90345314	Yes	No
DS571661	NA	1319	1366	5	7.26744186	6	10.57082452	No	Yes
DS571676	EHI_182050	5525	5580	15	21.80232558	13	22.90345314	Yes	No
DS571676	EHI_182050	5642	5694	11	15.98837209	16	28.1888654	Yes	No
DS571785	NA	1455	1505	23	33.43023256	14	24.66525722	No	Yes
DS571795	NA	1975	2024	8	11.62790698	6	10.57082452	No	Yes
DS571795	NA	1981	2024	11	15.98837209	11	19.37984496	No	Yes
DS571976	NA	1366	1449	8	11.62790698	4	7.04721635	No	Yes
DS571976	NA	1402	1449	10	14.53488372	6	10.57082452	No	Yes
DS571976	NA	1438	1545	8	11.62790698	5	8.809020437	No	Yes
DS571976	NA	1474	1605	14	20.34883721	5	8.809020437	No	Yes
DS572335	NA	563	598	12	17.44186047	6	10.57082452	No	Yes
DS572585	NA	299	415	119	172.9651163	160	281.888654	No	Yes
DS572585	NA	459	485	6	8.720930233	6	10.57082452	No	Yes
DS572620	NA	148	432	34	49.41860465	34	59.90133897	No	Yes
DS572620	NA	274	306	7	10.1744186	11	19.37984496	No	Yes
