scaffold_number	gene_id	rna_id	rna_type	rna_start	rna_end	intron_start	intron_end	+/-
DS571328	EHI_158640	EHI_158640A	mRNA	28248	32323	31949	32004	-
DS572094	EHI_094370	EHI_094370A	mRNA	1103	1746	1581	1714	-
DS571179	EHI_093840	EHI_093840A	mRNA	31771	33162	32076	32498	+
DS571188	EHI_124190	EHI_124190A	mRNA	11301	12755	12123	12178	-
DS571188	EHI_124190	EHI_124190A	mRNA	11301	12755	12235	12406	-
DS571220	EHI_174190	EHI_174190A	mRNA	35266	37973	35636	35682	+
DS571221	EHI_180320	EHI_180320A	mRNA	22877	27343	23022	23090	+
DS571611	EHI_042370	EHI_042370A	mRNA	2922	6821	4108	4170	-
DS571176	EHI_051850	EHI_051850A	mRNA	59751	70780	67707	67777	+
DS571335	EHI_091080	EHI_091080A	mRNA	18429	19393	18735	18781	+
DS571259	EHI_041900	EHI_041900A	mRNA	1306	2508	2155	2211	-
DS571165	EHI_198850	EHI_198850A	mRNA	56616	56996	56659	56706	+
DS571418	EHI_196380	EHI_196380A	mRNA	7040	9738	7928	7980	+
DS571171	EHI_073300	EHI_073300A	mRNA	4159	6305	4302	4348	+
DS571295	EHI_082530	EHI_082530A	mRNA	14856	18660	15009	15078	+
DS571216	EHI_164790	EHI_164790A	mRNA	16962	18395	17226	17287	+
DS571216	EHI_164790	EHI_164790A	mRNA	16962	18395	17501	17549	+
DS571250	EHI_195050	EHI_195050A	mRNA	29420	34700	29586	29645	+
DS571250	EHI_195050	EHI_195050A	mRNA	29420	34700	29841	29909	+
DS571250	EHI_195050	EHI_195050A	mRNA	29420	34700	30078	30135	+
DS571155	EHI_092510	EHI_092510A	mRNA	116033	116872	116120	116167	+
DS571351	EHI_019070	EHI_019070A	mRNA	795	4480	987	1048	-
DS571351	EHI_019070	EHI_019070A	mRNA	795	4480	1301	1354	-
DS571172	EHI_014170	EHI_014170A	mRNA	67736	70888	68582	68832	+
DS571172	EHI_014170	EHI_014170A	mRNA	67736	70888	69280	69460	+
DS571427	EHI_036840	EHI_036840A	mRNA	3809	4520	4390	4444	+
DS571572	EHI_018150	EHI_018150A	mRNA	6548	7250	6842	7040	-
DS571160	EHI_125670	EHI_125670A	mRNA	22718	24111	23240	23298	-
DS571183	EHI_117920	EHI_117920A	mRNA	22850	24198	23012	23065	-
DS571195	EHI_004770	EHI_004770A	mRNA	13492	14280	14005	14091	-
DS571298	EHI_145280	EHI_145280A	mRNA	2493	3095	2948	3037	-
DS571147	EHI_044480	EHI_044480A	mRNA	3888	4950	4035	4084	-
DS571147	EHI_044480	EHI_044480A	mRNA	3888	4950	4726	4925	-
DS571202	EHI_015300	EHI_015300A	mRNA	30193	31205	30861	30913	-
DS571168	EHI_013210	EHI_013210A	mRNA	88290	91935	91611	91671	-
DS571189	EHI_174920	EHI_174920A	mRNA	36927	42752	42233	42295	-
DS571481	EHI_191750	EHI_191750A	mRNA	9160	9817	9668	9773	-
DS571865	EHI_043140	EHI_043140A	mRNA	882	2467	1739	1911	-
DS571572	EHI_018140	EHI_018140A	mRNA	5812	6404	5848	5903	-
DS571217	EHI_165330	EHI_165330A	mRNA	54011	54578	54068	54125	-
DS571326	EHI_166420	EHI_166420A	mRNA	14524	15909	14678	14719	+
DS571326	EHI_166420	EHI_166420A	mRNA	14524	15909	15229	15369	+
DS571151	EHI_110700	EHI_110700A	mRNA	130951	132525	131024	131075	+
DS571151	EHI_110700	EHI_110700A	mRNA	130951	132525	131354	131415	+
DS571361	EHI_120280	EHI_120280A	mRNA	9979	11095	10567	10612	+
DS571970	EHI_016240	EHI_016240A	mRNA	298	1669	315	342	+
DS571246	EHI_163530	EHI_163530A	mRNA	9656	10230	9910	9971	+
DS571439	EHI_088450	EHI_088450A	mRNA	9502	11953	11487	11544	-
DS571296	EHI_099240	EHI_099240A	mRNA	15553	17161	15659	15846	+
DS571296	EHI_099240	EHI_099240A	mRNA	15553	17161	15927	15983	+
DS571296	EHI_099240	EHI_099240A	mRNA	15553	17161	16839	16921	+
DS571182	EHI_010730	EHI_010730A	mRNA	74988	76316	74991	75063	+
DS571182	EHI_010730	EHI_010730A	mRNA	74988	76316	75290	75348	+
DS571641	EHI_053860	EHI_053860A	mRNA	5498	7153	6074	6301	-
DS571172	EHI_014220	EHI_014220A	mRNA	78329	78990	78782	78837	-
DS571249	EHI_185270	EHI_185270A	mRNA	28029	35201	35031	35087	-
DS571163	EHI_096260	EHI_096260A	mRNA	18189	19492	18498	18547	+
DS571229	EHI_076840	EHI_076840A	mRNA	16820	17121	16938	16987	+
DS571444	EHI_166020	EHI_166020A	mRNA	2556	3771	2809	2860	+
DS571275	EHI_081390	EHI_081390A	mRNA	27866	29281	29103	29150	+
DS571194	EHI_021210	EHI_021210A	mRNA	3508	4239	3919	4003	-
DS571194	EHI_021210	EHI_021210A	mRNA	3508	4239	4179	4228	-
DS571156	EHI_183080	EHI_183080A	mRNA	99329	100060	99665	99717	-
DS571156	EHI_183080	EHI_183080A	mRNA	99329	100060	99819	99876	-
DS571167	EHI_159820	EHI_159820A	mRNA	92306	92842	92706	92759	-
DS571377	EHI_169670	EHI_169670A	mRNA	16287	19357	17451	17777	-
DS571377	EHI_169670	EHI_169670A	mRNA	16287	19357	18246	18397	-
DS571262	EHI_189470	EHI_189470A	mRNA	18686	21278	19106	19244	+
DS571145	EHI_153140	EHI_153140A	mRNA	396167	397162	396427	396489	+
DS571169	EHI_098220	EHI_098220A	mRNA	13535	14626	13831	13884	-
DS571324	EHI_011230	EHI_011230A	mRNA	16748	17581	16847	16913	+
DS571324	EHI_011230	EHI_011230A	mRNA	16748	17581	17232	17278	+
DS571145	EHI_153790	EHI_153790A	mRNA	515960	517256	517035	517092	-
DS571841	EHI_039710	EHI_039710A	mRNA	88	643	110	188	-
DS571268	EHI_035230	EHI_035230A	mRNA	33948	35194	34553	34726	-
DS571268	EHI_035230	EHI_035230A	mRNA	33948	35194	34883	34935	-
DS571232	EHI_074140	EHI_074140A	mRNA	41027	42098	41687	41789	+
DS571167	EHI_159740	EHI_159740A	mRNA	70335	71022	70795	70837	-
DS571279	EHI_111190	EHI_111190A	mRNA	31266	31651	31279	31325	+
DS571146	EHI_148410	EHI_148410A	mRNA	69221	70248	69585	69649	+
DS571242	EHI_109910	EHI_109910A	mRNA	25552	27908	25582	25670	-
DS571145	EHI_152180	EHI_152180A	mRNA	223567	224508	224178	224225	-
DS571165	EHI_199080	EHI_199080A	mRNA	106806	107542	107060	107112	+
DS571219	EHI_168840	EHI_168840A	mRNA	5025	5809	5375	5628	+
DS571187	EHI_137830	EHI_137830A	mRNA	46375	47105	46993	47042	+
DS571624	EHI_046030	EHI_046030A	mRNA	2392	3089	2934	2977	-
DS571163	EHI_096480	EHI_096480A	mRNA	54429	55726	55584	55639	-
DS571196	EHI_064640	EHI_064640A	mRNA	58412	59254	58551	58601	+
DS571145	EHI_153230	EHI_153230A	mRNA	409499	411010	409904	409963	-
DS571145	EHI_153230	EHI_153230A	mRNA	409499	411010	410653	410709	-
DS571145	EHI_151310	EHI_151310A	mRNA	34475	34762	34583	34633	+
DS571145	EHI_152620	EHI_152620A	mRNA	293551	294327	293698	293748	-
DS571237	EHI_175220	EHI_175220A	mRNA	8637	9488	8727	8894	+
DS571250	EHI_195090	EHI_195090A	mRNA	40379	41598	41228	41286	+
DS571166	EHI_127180	EHI_127180A	mRNA	52396	53401	52535	52607	+
DS571261	EHI_031300	EHI_031300A	mRNA	27435	28201	28005	28051	-
DS571255	EHI_097970	EHI_097970A	mRNA	27687	28711	27809	27865	+
DS571255	EHI_097970	EHI_097970A	mRNA	27687	28711	28638	28687	+
DS571146	EHI_148700	EHI_148700A	mRNA	132805	137820	136882	136926	-
DS571208	EHI_030840	EHI_030840A	mRNA	42085	42822	42481	42528	+
DS571706	EHI_085170	EHI_085170A	mRNA	2207	3789	3607	3674	-
DS571239	EHI_095940	EHI_095940A	mRNA	48074	49311	49018	49067	-
DS571151	EHI_110430	EHI_110430A	mRNA	62117	64839	62185	62234	-
DS571204	EHI_105190	EHI_105190A	mRNA	30821	32419	30969	31042	+
DS571204	EHI_105190	EHI_105190A	mRNA	30821	32419	32075	32135	+
EH4260	EHI_202480	EHI_202480A	mRNA	2313	3109	2443	2513	-
DS571330	EHI_023860	EHI_023860A	mRNA	25697	26881	26765	26809	-
DS571175	EHI_177520	EHI_177520A	mRNA	70478	71240	70481	70539	+
DS571175	EHI_177520	EHI_177520A	mRNA	70478	71240	70771	70823	+
DS571297	EHI_142960	EHI_142960A	mRNA	34043	35658	35472	35530	+
DS571241	EHI_138190	EHI_138190A	mRNA	6523	7351	6783	6834	-
DS571222	EHI_136330	EHI_136330A	mRNA	19637	21303	19960	20012	-
DS571222	EHI_136330	EHI_136330A	mRNA	19637	21303	21133	21186	-
DS571183	EHI_117970	EHI_117970A	mRNA	28694	31436	31316	31399	+
DS571304	EHI_161980	EHI_161980A	mRNA	30952	31672	31362	31413	-
DS571217	EHI_165060	EHI_165060A	mRNA	1138	2950	1837	1890	+
DS571217	EHI_165060	EHI_165060A	mRNA	1138	2950	2096	2144	+
DS571157	EHI_197230	EHI_197230A	mRNA	82018	84512	82160	82215	-
DS571146	EHI_148750	EHI_148750A	mRNA	143065	144029	143243	143307	+
DS571146	EHI_148750	EHI_148750A	mRNA	143065	144029	143412	143474	+
DS571145	EHI_153480	EHI_153480A	mRNA	452230	452886	452425	452475	+
DS571331	EHI_170390	EHI_170390A	mRNA	13762	14409	14056	14115	+
DS571242	EHI_109870	EHI_109870A	mRNA	21256	22174	21460	21610	+
DS571160	EHI_126010	EHI_126010A	mRNA	83266	84262	83726	83786	+
DS571316	EHI_183420	EHI_183420A	mRNA	5076	5820	5289	5337	-
DS571316	EHI_183420	EHI_183420A	mRNA	5076	5820	5593	5639	-
DS571377	EHI_169640	EHI_169640A	mRNA	12881	13801	13611	13661	+
DS571145	EHI_152060	EHI_152060A	mRNA	198936	200268	199365	199470	+
DS571227	EHI_006150	EHI_006150A	mRNA	51853	53112	52588	52731	-
DS571461	EHI_091710	EHI_091710A	mRNA	5951	9408	8364	8503	-
DS571163	EHI_096380	EHI_096380A	mRNA	42013	42961	42149	42194	+
DS571148	EHI_011660	EHI_011660A	mRNA	2317	4809	2702	2758	+
DS571214	EHI_164320	EHI_164320A	mRNA	19018	19986	19573	19639	-
DS571214	EHI_164320	EHI_164320A	mRNA	19018	19986	19744	19808	-
DS571430	EHI_129360	EHI_129360A	mRNA	15953	17556	17332	17411	-
DS571173	EHI_087630	EHI_087630A	mRNA	44201	45060	44591	44643	-
DS571167	EHI_159640	EHI_159640A	mRNA	54532	55790	54966	55027	+
DS571301	EHI_060320	EHI_060320A	mRNA	2794	3566	3166	3224	-
DS571235	EHI_086140	EHI_086140A	mRNA	32713	36554	32896	32948	-
DS571235	EHI_086140	EHI_086140A	mRNA	32713	36554	35358	35405	-
DS571397	EHI_003940	EHI_003940A	mRNA	17498	18703	17858	18059	+
DS571151	EHI_110800	EHI_110800A	mRNA	153567	154234	153588	153663	-
DS571151	EHI_110800	EHI_110800A	mRNA	153567	154234	153806	153857	-
DS571201	EHI_100420	EHI_100420A	mRNA	57423	58383	58049	58364	-
DS571280	EHI_001840	EHI_001840A	mRNA	19779	20681	20399	20452	-
DS571297	EHI_142910	EHI_142910A	mRNA	23789	25250	24782	24977	-
DS571206	EHI_188020	EHI_188020A	mRNA	10588	10924	10782	10833	+
DS571309	EHI_054090	EHI_054090A	mRNA	5042	5971	5703	5753	-
DS571156	EHI_182680	EHI_182680A	mRNA	31656	32581	32120	32169	+
DS571256	EHI_048270	EHI_048270A	mRNA	37556	42681	38003	38055	+
DS571204	EHI_105110	EHI_105110A	mRNA	21301	22397	21375	21421	+
DS571174	EHI_035610	EHI_035610A	mRNA	56524	58417	56648	56696	+
DS571174	EHI_035610	EHI_035610A	mRNA	56524	58417	57023	57160	+
DS571259	EHI_041880	EHI_041880A	mRNA	75	460	106	206	-
DS571150	EHI_068570	EHI_068570A	mRNA	149767	150301	150163	150217	-
DS571292	EHI_042910	EHI_042910A	mRNA	15214	16091	15607	15668	+
DS571189	EHI_174890	EHI_174890A	mRNA	32941	34292	34055	34116	-
DS571219	EHI_169230	EHI_169230A	mRNA	34271	35097	34487	34554	-
DS571146	EHI_148990	EHI_148990A	mRNA	199716	202217	201723	201914	-
DS571466	EHI_080870	EHI_080870A	mRNA	6607	7560	6800	6850	+
DS571181	EHI_004370	EHI_004370A	mRNA	32311	33397	32605	32662	+
DS571253	EHI_030180	EHI_030180A	mRNA	22793	23956	23039	23905	+
DS571159	EHI_187010	EHI_187010A	mRNA	78075	78700	78124	78167	-
DS571154	EHI_178780	EHI_178780A	mRNA	83895	86760	84089	84269	+
DS571161	EHI_141370	EHI_141370A	mRNA	15847	17182	16816	16882	-
DS571490	EHI_123720	EHI_123720A	mRNA	10321	11398	10415	10484	-
DS571241	EHI_138500	EHI_138500A	mRNA	40989	42869	41879	41941	-
DS571748	EHI_116460	EHI_116460A	mRNA	423	1968	496	551	-
DS571748	EHI_116460	EHI_116460A	mRNA	423	1968	693	750	-
DS571151	EHI_110550	EHI_110550A	mRNA	93928	95420	94326	94387	+
DS571212	EHI_134020	EHI_134020A	mRNA	56560	58615	58256	58427	-
DS571317	EHI_191910	EHI_191910A	mRNA	5589	6008	5633	5680	+
DS571317	EHI_191910	EHI_191910A	mRNA	5589	6008	5746	5793	+
DS571267	EHI_119300	EHI_119300A	mRNA	29237	29854	29681	29728	-
DS571227	EHI_005860	EHI_005860A	mRNA	6613	7479	7273	7341	-
DS571223	EHI_158300	EHI_158300A	mRNA	50289	50806	50433	50484	-
DS571223	EHI_158300	EHI_158300A	mRNA	50289	50806	50592	50643	-
DS571764	EHI_087210	EHI_087210A	mRNA	2345	3374	2879	2906	+
DS571146	EHI_148030	EHI_148030A	mRNA	7003	7503	7083	7162	+
DS571146	EHI_148030	EHI_148030A	mRNA	7003	7503	7261	7303	+
DS571183	EHI_117960	EHI_117960A	mRNA	27743	28424	27903	27976	-
DS571401	EHI_074720	EHI_074720A	mRNA	5588	6049	5965	6015	-
DS571167	EHI_159690	EHI_159690A	mRNA	60442	61013	60658	60713	-
DS571275	EHI_081250	EHI_081250A	mRNA	6437	9701	9430	9478	+
DS571292	EHI_042930	EHI_042930A	mRNA	16858	17476	17223	17280	+
DS571238	EHI_052990	EHI_052990A	mRNA	4306	6306	4462	4521	+
DS571256	EHI_048210	EHI_048210A	mRNA	21739	22408	22242	22311	-
DS571189	EHI_174910	EHI_174910A	mRNA	35353	36035	35666	35717	-
DS571181	EHI_004200	EHI_004200A	mRNA	10655	10964	10658	10712	+
DS571211	EHI_084960	EHI_084960A	mRNA	40355	41152	40691	40749	-
DS571198	EHI_024370	EHI_024370A	mRNA	9377	10113	9425	9467	+
DS571198	EHI_024370	EHI_024370A	mRNA	9377	10113	9819	9873	+
DS571145	EHI_151460	EHI_151460A	mRNA	68763	69975	68835	68886	+
DS571155	EHI_092360	EHI_092360A	mRNA	71513	79967	76456	76591	-
DS571235	EHI_086150	EHI_086150A	mRNA	36840	39458	39305	39364	-
DS571221	EHI_180160	EHI_180160A	mRNA	8339	9151	8406	8459	+
DS571206	EHI_188000	EHI_188000A	mRNA	1891	3155	2883	2911	-
DS571231	EHI_048590	EHI_048590A	mRNA	17033	18895	17398	17481	+
DS571172	EHI_014100	EHI_014100A	mRNA	52533	53956	53398	53460	-
DS571172	EHI_014100	EHI_014100A	mRNA	52533	53956	53579	53634	-
DS571315	EHI_189990	EHI_189990A	mRNA	28227	28870	28658	28707	-
DS571173	EHI_087350	EHI_087350A	mRNA	12692	14248	13923	13997	+
DS571879	EHI_014910	EHI_014910A	mRNA	98	2180	184	274	-
DS571183	EHI_117840	EHI_117840A	mRNA	7760	9418	9163	9210	-
DS571303	EHI_147560	EHI_147560A	mRNA	31783	32555	32338	32396	+
DS571418	EHI_196370	EHI_196370A	mRNA	5232	6876	5951	6048	+
DS571195	EHI_004920	EHI_004920A	mRNA	40034	41228	40988	41048	+
DS571179	EHI_094070	EHI_094070A	mRNA	79023	79834	79566	79633	+
DS571299	EHI_099870	EHI_099870A	mRNA	35455	36505	36227	36301	-
DS571299	EHI_099870	EHI_099870A	mRNA	35455	36505	36400	36457	-
DS571159	EHI_187180	EHI_187180A	mRNA	116542	118675	117321	117378	+
DS571159	EHI_187180	EHI_187180A	mRNA	116542	118675	118181	118297	+
DS571320	EHI_043740	EHI_043740A	mRNA	2403	5649	2448	2502	+
DS571201	EHI_100440	EHI_100440A	mRNA	59772	62105	61630	61714	-
DS571201	EHI_100440	EHI_100440A	mRNA	59772	62105	61941	62053	-
DS571161	EHI_142070	EHI_142070A	mRNA	88982	89906	89566	89605	-
DS571192	EHI_065700	EHI_065700A	mRNA	38568	47552	38615	38683	-
DS571167	EHI_159590	EHI_159590A	mRNA	47476	48493	47661	47722	-
DS571167	EHI_159590	EHI_159590A	mRNA	47476	48493	48164	48219	-
DS571167	EHI_159590	EHI_159590A	mRNA	47476	48493	48294	48341	-
DS571177	EHI_167000	EHI_167000A	mRNA	58330	60095	58458	58531	+
DS571147	EHI_044540	EHI_044540A	mRNA	14010	15842	14371	14454	+
DS571263	EHI_168290	EHI_168290A	mRNA	21690	22248	21836	21899	+
DS571189	EHI_174660	EHI_174660A	mRNA	25041	25701	25414	25460	-
DS571189	EHI_174660	EHI_174660A	mRNA	25041	25701	25546	25610	-
DS571316	EHI_183550	EHI_183550A	mRNA	29477	30267	29610	29661	-
DS571198	EHI_024450	EHI_024450A	mRNA	23066	24158	23380	23443	-
DS571257	EHI_156210	EHI_156210A	mRNA	3325	5846	5168	5221	-
DS571257	EHI_156210	EHI_156210A	mRNA	3325	5846	5395	5485	-
DS571257	EHI_156210	EHI_156210A	mRNA	3325	5846	5607	5673	-
DS571331	EHI_170380	EHI_170380A	mRNA	10480	13486	10903	10966	+
DS571194	EHI_021530	EHI_021530A	mRNA	69572	70074	69784	69845	+
DS571229	EHI_076780	EHI_076780A	mRNA	7218	9973	8096	8190	-
DS571386	EHI_097490	EHI_097490A	mRNA	7552	8882	8601	8650	+
DS571694	EHI_089570	EHI_089570A	mRNA	3328	5372	5286	5365	-
DS571180	EHI_118920	EHI_118920A	mRNA	91530	92225	91656	91760	+
DS571199	EHI_008350	EHI_008350A	mRNA	6543	7209	6669	6732	+
DS571441	EHI_090030	EHI_090030A	mRNA	12297	13113	12425	12481	+
DS571182	EHI_010690	EHI_010690A	mRNA	68191	70144	68370	68448	-
DS571232	EHI_074130	EHI_074130A	mRNA	39636	40858	40262	40379	-
DS571215	EHI_027570	EHI_027570A	mRNA	21792	22107	21901	21949	-
DS571215	EHI_027570	EHI_027570A	mRNA	21792	22107	22016	22096	-
DS571316	EHI_183410	EHI_183410A	mRNA	4359	4991	4734	4781	+
DS571179	EHI_094110	EHI_094110A	mRNA	86451	87076	87032	87060	-
DS571207	EHI_170180	EHI_170180A	mRNA	60676	67694	60970	61019	+
DS571176	EHI_051470	EHI_051470A	mRNA	24374	25707	24969	25189	+
DS571872	EHI_037810	EHI_037810A	mRNA	333	1048	702	790	-
DS571150	EHI_068020	EHI_068020A	mRNA	50686	51229	50928	50976	+
DS571167	EHI_159330	EHI_159330A	mRNA	27575	28194	27679	27753	-
DS571167	EHI_159330	EHI_159330A	mRNA	27575	28194	27986	28035	-
DS571214	EHI_164170	EHI_164170A	mRNA	124	454	154	217	-
DS571161	EHI_142140	EHI_142140A	mRNA	100577	101698	100652	100708	-
DS571161	EHI_142140	EHI_142140A	mRNA	100577	101698	100798	100863	-
DS571179	EHI_094000	EHI_094000A	mRNA	71063	71836	71144	71249	+
DS571179	EHI_094000	EHI_094000A	mRNA	71063	71836	71343	71425	+
DS571243	EHI_140490	EHI_140490A	mRNA	4113	5119	4238	4398	-
DS571164	EHI_069170	EHI_069170A	mRNA	26308	28139	28032	28075	-
DS571349	EHI_098850	EHI_098850A	mRNA	23544	24579	24351	24411	-
DS571255	EHI_097920	EHI_097920A	mRNA	19167	19786	19387	19445	-
DS571147	EHI_045360	EHI_045360A	mRNA	135372	136922	135510	135570	+
DS571147	EHI_045360	EHI_045360A	mRNA	135372	136922	135730	135782	+
DS571216	EHI_164880	EHI_164880A	mRNA	38639	39325	38755	38806	-
DS571216	EHI_164880	EHI_164880A	mRNA	38639	39325	39037	39098	-
DS571194	EHI_021500	EHI_021500A	mRNA	62185	62963	62208	62251	-
DS571354	EHI_188580	EHI_188580A	mRNA	7758	14321	10612	10674	+
DS571678	EHI_073160	EHI_073160A	mRNA	105	830	307	357	-
DS571865	EHI_043130	EHI_043130A	mRNA	81	759	129	174	-
DS571169	EHI_098380	EHI_098380A	mRNA	53451	56297	55984	56052	+
DS571446	EHI_019650	EHI_019650A	mRNA	9789	10311	9848	9902	+
DS571244	EHI_146150	EHI_146150A	mRNA	38040	38761	38443	38501	+
DS571279	EHI_111200	EHI_111200A	mRNA	33364	34596	33622	33675	+
DS571174	EHI_035510	EHI_035510A	mRNA	31761	32685	31941	31998	+
DS571174	EHI_035510	EHI_035510A	mRNA	31761	32685	32096	32149	+
DS571164	EHI_069370	EHI_069370A	mRNA	69534	70017	69539	69590	+
DS571164	EHI_069370	EHI_069370A	mRNA	69534	70017	69751	69798	+
DS571222	EHI_136460	EHI_136460A	mRNA	47066	49394	47330	47387	+
DS571204	EHI_105160	EHI_105160A	mRNA	27754	28181	27976	28040	+
DS571183	EHI_118040	EHI_118040A	mRNA	38654	39528	39347	39407	+
DS571184	EHI_009430	EHI_009430A	mRNA	20669	22532	20825	20890	-
DS571184	EHI_009430	EHI_009430A	mRNA	20669	22532	22259	22301	-
DS571351	EHI_019190	EHI_019190A	mRNA	21663	22361	22027	22083	-
DS571152	EHI_049330	EHI_049330A	mRNA	11041	11738	11235	11295	+
DS571178	EHI_007940	EHI_007940A	mRNA	35627	36072	35854	35906	-
DS572532	EHI_144850	EHI_144850A	mRNA	145	979	196	241	-
DS571266	EHI_028970	EHI_028970A	mRNA	20457	21704	21408	21464	-
DS571174	EHI_035470	EHI_035470A	mRNA	23383	24290	23711	23766	-
DS571146	EHI_148100	EHI_148100A	mRNA	17024	18085	17360	17404	-
DS571270	EHI_128160	EHI_128160A	mRNA	32030	33144	32551	32615	+
DS571346	EHI_108750	EHI_108750A	mRNA	26275	28253	27507	27556	+
DS571210	EHI_001140	EHI_001140A	mRNA	54729	55890	54745	54793	+
DS571327	EHI_035920	EHI_035920A	mRNA	9499	12287	11102	11150	-
DS571327	EHI_035920	EHI_035920A	mRNA	9499	12287	12107	12155	-
DS571172	EHI_013880	EHI_013880A	mRNA	5739	7623	6067	6124	+
DS571346	EHI_108780	EHI_108780A	mRNA	30376	30921	30556	30612	+
DS571156	EHI_183070	EHI_183070A	mRNA	96160	99093	98453	98542	+
DS571243	EHI_140510	EHI_140510A	mRNA	7312	9408	7384	7468	+
DS571243	EHI_140510	EHI_140510A	mRNA	7312	9408	9222	9277	+
DS571145	EHI_153030	EHI_153030A	mRNA	367132	369224	367511	367530	-
DS571147	EHI_045260	EHI_045260A	mRNA	117445	117939	117625	117690	+
DS571160	EHI_125810	EHI_125810A	mRNA	44401	45748	45667	45709	+
DS571443	EHI_180660	EHI_180660A	mRNA	1351	3300	2049	2222	-
DS571179	EHI_093820	EHI_093820A	mRNA	26064	27455	26271	26362	+
DS571457	EHI_072490	EHI_072490A	mRNA	7109	10566	8014	8153	+
DS571748	EHI_116470	EHI_116470A	mRNA	2059	2966	2754	2798	-
DS571614	EHI_101390	EHI_101390A	mRNA	1926	2759	2025	2091	+
DS571614	EHI_101390	EHI_101390A	mRNA	1926	2759	2410	2456	+
DS571283	EHI_129740	EHI_129740A	mRNA	1047	1739	1513	1575	+
DS571202	EHI_015340	EHI_015340A	mRNA	34622	35576	35424	35469	-
DS571223	EHI_158170	EHI_158170A	mRNA	30348	31016	30432	30491	+
DS571588	EHI_028670	EHI_028670A	mRNA	7972	9204	8347	8406	-
DS571588	EHI_028670	EHI_028670A	mRNA	7972	9204	8809	8895	-
DS571193	EHI_134360	EHI_134360A	mRNA	17162	18293	17760	17826	+
DS571396	EHI_193060	EHI_193060A	mRNA	4901	7472	5210	5279	+
DS571220	EHI_174260	EHI_174260A	mRNA	48971	49975	49206	49529	+
DS571234	EHI_059700	EHI_059700A	mRNA	16228	18247	17271	17571	-
DS571164	EHI_069620	EHI_069620A	mRNA	125015	127058	125077	125132	+
DS571164	EHI_069620	EHI_069620A	mRNA	125015	127058	125381	125445	+
DS571222	EHI_136190	EHI_136190A	mRNA	12860	14484	12964	13019	+
DS571287	EHI_137120	EHI_137120A	mRNA	32012	33413	32445	32494	-
DS571287	EHI_137120	EHI_137120A	mRNA	32012	33413	32682	32791	-
DS571423	EHI_056630	EHI_056630A	mRNA	7961	9413	8118	8361	-
DS571260	EHI_138770	EHI_138770A	mRNA	14814	16261	16034	16089	-
DS571184	EHI_009410	EHI_009410A	mRNA	17113	19023	17271	17375	+
DS571229	EHI_077240	EHI_077240A	mRNA	33321	34019	33847	33894	-
DS571161	EHI_142260	EHI_142260A	mRNA	122948	123656	123520	123572	-
DS571153	EHI_023410	EHI_023410A	mRNA	132589	133932	133712	133760	-
