scaffold_number	intron_start	intron_end	orf_rep1_reads(u)	orf_rep1_reads(m)	orf_rep2_reads(u)	orf_rep2_reads(m)
DS571147	114220	114278	8	0	9	0
DS571147	117625	117673	1	0	1	0
DS571147	120193	120386	120	0	108	0
DS571147	128913	129055	225	0	152	0
DS571147	129550	129594	44	0	44	0
DS571147	135510	135570	15	0	8	0
DS571147	135730	135782	6	0	7	0
DS571147	143134	143177	3	0	2	0
DS571147	154195	154242	38	0	32	0
DS571147	158993	159050	14	0	9	0
DS571147	164460	164502	14	0	10	0
DS571147	166700	166759	31	0	5	0
DS571147	166718	166759	8	0	3	0
DS571147	180276	180328	1	0	1	0
DS571147	180276	180332	27	0	23	0
DS571148	2702	2758	13	0	7	0
DS571148	26006	26054	43	0	26	0
DS571148	28304	28360	47	0	53	0
DS571148	31964	32021	86	0	18	0
DS571148	32123	32177	109	0	21	0
DS571148	36600	36657	8	0	1	0
DS571148	40883	40928	54	0	12	0
DS571148	41963	42012	58	0	44	0
DS571148	45064	45140	8	0	4	0
DS571148	55312	55360	44	0	35	0
DS571148	56835	56941	76	0	69	0
DS571148	60689	60735	9	0	6	0
DS571148	63903	63960	4	0	2	0
DS571148	67058	67146	31	0	26	0
DS571148	85903	85966	3	0	4	0
DS571148	105139	105209	68	0	87	0
DS571148	106438	106614	34	0	8	0
DS571148	106567	106614	1	0	2	0
DS571148	124585	124641	3	0	3	0
DS571148	124921	124998	5	0	2	0
DS571148	126127	126238	47	0	37	0
DS571148	127527	127571	62	0	58	0
DS571148	128019	128087	134	0	148	0
DS571148	128325	128368	4	0	14	0
DS571148	130200	130260	1	0	1	0
DS571148	132687	132766	2	0	3	0
DS571148	149949	150016	45	0	1	0
DS571148	171679	171722	331	0	189	0
DS571149	6752	6833	99	0	104	0
DS571149	28143	28233	57	0	22	0
DS571149	28308	28355	62	0	11	0
DS571149	33571	33626	3	0	6	0
DS571149	42856	42900	30	0	19	0
DS571149	43199	43245	32	0	42	0
DS571149	43199	43253	1	0	1	0
DS571149	43199	43341	60	0	57	0
DS571149	43294	43341	6	0	13	0
DS571149	66976	67023	105	0	132	0
DS571149	68336	68446	29	0	3	0
DS571149	72142	72190	122	0	173	0
DS571149	92453	92521	52	0	28	0
DS571149	93799	93865	1	0	8	0
DS571149	107974	108048	15	0	18	0
DS571149	109743	109800	63	0	60	0
DS571149	125962	126058	1	0	1	0
DS571149	125962	126256	2	0	1	0
DS571149	126211	126253	24	0	30	0
DS571149	126502	126553	53	0	34	0
DS571149	134899	134956	65	0	48	0
DS571149	139266	139320	31	0	42	0
DS571149	139708	139756	50	0	39	0
DS571149	141686	141778	1	0	1	0
DS571149	141711	141778	8	0	3	0
DS571149	141724	141778	2	0	5	0
DS571149	154860	154921	45	0	26	0
DS571149	155225	155277	50	0	22	0
DS571149	155578	155636	58	0	8	0
DS571149	155733	155790	59	0	10	0
DS571149	162147	162194	10	0	7	0
DS571149	162725	162778	7	0	9	0
DS571149	162849	162900	7	0	4	0
DS571149	168458	168511	106	0	136	0
DS571149	182680	182731	4	0	4	0
DS571150	6705	6753	3	0	2	0
DS571150	12861	12917	82	0	52	0
DS571150	13002	13066	62	0	54	0
DS571150	13212	13267	77	0	43	0
DS571150	20635	20681	32	0	23	0
DS571150	24545	24597	36	0	12	0
DS571150	31685	31760	48	0	83	0
DS571150	46550	46592	2	0	2	0
DS571150	50928	50976	36	0	25	0
DS571150	51785	51917	1	0	1	0
DS571150	53210	53259	32	0	30	0
DS571150	62669	62739	12	0	1	0
DS571150	65282	65330	3	0	8	0
DS571150	67500	67589	47	0	29	0
DS571150	68024	68078	43	0	37	0
DS571150	84207	84256	81	0	55	0
DS571150	84317	84365	388	0	220	0
DS571150	95849	95953	15	0	3	0
DS571150	96755	96832	15	0	14	0
DS571150	100381	100431	17	0	12	0
DS571150	104317	104363	14	0	5	0
DS571150	115056	115104	50	0	16	0
DS571150	119220	119271	14	0	3	0
DS571150	119470	119521	2	0	2	0
DS571150	128738	128823	444	0	419	0
DS571150	148287	148354	10	0	2	0
DS571150	150163	150217	188	0	126	0
DS571150	150594	150651	56	0	75	0
DS571150	151552	151615	2	0	2	0
DS571150	156779	156824	19	0	6	0
DS571150	158902	158962	32	0	27	0
DS571150	161548	161602	2	0	2	0
DS571151	5633	5716	20	0	27	0
DS571151	6218	6269	1	0	1	0
DS571151	6218	6328	6	0	6	0
DS571151	6218	6344	312	0	384	0
DS571151	6223	6355	1	0	1	0
DS571151	29795	29860	7	0	3	0
DS571151	29925	30004	5	0	4	0
DS571151	51628	51695	3	0	8	0
DS571151	51638	51695	549	0	486	0
DS571151	53261	53303	21	0	30	0
DS571151	53261	53311	1	0	1	0
DS571151	53261	53325	283	0	240	0
DS571151	53746	53811	78	0	126	0
DS571151	62185	62234	70	0	78	0
DS571151	72738	72785	11	0	6	0
DS571151	73256	73301	13	0	17	0
DS571151	73913	73964	194	0	259	0
DS571151	74076	74137	131	0	161	0
DS571151	89451	89542	3	0	1	0
DS571151	110814	111220	1	0	1	0
DS571151	110966	111220	1	0	1	0
DS571151	119288	119348	25	0	35	0
DS571151	141189	141572	2	0	3	0
DS571151	141595	141639	1	0	2	0
DS571151	141810	141881	3	0	1	0
DS571151	141927	142181	1	0	1	0
DS571151	142182	142301	3	0	1	0
DS571151	142193	142301	2	0	1	0
DS571151	142215	142235	4	0	2	0
DS571151	142293	142412	1	0	2	0
DS571151	142510	142533	1	0	2	0
DS571151	150514	150566	21	0	19	0
DS571151	152663	152759	35	0	1	0
DS571152	3954	4029	29	0	22	0
DS571152	4679	4753	72	0	26	0
DS571152	11235	11295	911	0	660	0
DS571152	11235	11306	17	0	8	0
DS571152	13133	13189	158	0	61	0
DS571152	14695	14741	56	0	65	0
DS571152	29116	29161	16	0	1	0
DS571152	31294	31350	115	0	142	0
DS571152	35396	35447	97	0	109	0
DS571152	35396	35451	1	0	2	0
DS571152	46989	47036	3	0	3	0
DS571152	53274	53340	28	0	33	0
DS571152	54733	54781	2	0	1	0
DS571152	57372	57434	48	0	10	0
DS571152	67021	67076	101	0	12	0
DS571152	72176	72227	55	0	3	0
DS571152	75090	75140	47	0	69	0
DS571152	82866	82922	103	0	171	0
DS571152	85240	85701	2	0	1	0
DS571152	127800	127873	49	0	15	0
DS571152	129381	129437	21	0	20	0
DS571152	130171	130239	3	0	2	0
DS571152	130900	130976	7	0	3	0
DS571152	134298	134347	9	0	6	0
DS571152	135346	135397	88	0	99	0
DS571152	148753	148799	200	0	142	0
DS571152	149196	149245	11	0	20	0
DS571152	152631	152740	90	0	45	0
DS571152	157518	157567	9	0	6	0
DS571153	31901	31957	33	0	28	0
DS571153	33620	33686	52	0	44	0
DS571153	40539	40607	3	0	1	0
DS571153	41019	41090	2	0	2	0
DS571153	41019	41162	1	0	2	0
DS571153	41145	41216	2	0	1	0
DS571153	45567	45644	1	0	1	0
DS571153	52293	52345	90	0	62	0
DS571153	73407	73462	63	0	12	0
DS571153	77935	77986	14	0	1	0
DS571153	87373	87422	123	0	147	0
DS571153	93924	93979	3	0	3	0
DS571153	94504	94562	1	0	3	0
DS571153	95457	95507	45	0	7	0
DS571153	108432	108496	21	0	2	0
DS571153	118777	118918	39	0	58	0
DS571153	125478	125527	41	0	33	0
DS571153	125478	125542	235	0	212	0
DS571153	130302	130355	14	0	2	0
DS571153	133712	133760	419	0	498	0
DS571154	379	425	1	0	6	0
DS571154	479	525	1	0	6	0
DS571154	18078	18145	1	0	1	0
DS571154	20827	20962	89	0	130	0
DS571154	36191	36242	1	0	2	0
DS571154	56222	56273	33	0	21	0
DS571154	56333	56385	42	0	34	0
DS571154	56844	56896	45	0	46	0
DS571154	57881	57934	110	0	169	0
DS571154	62054	62107	46	0	32	0
DS571154	79510	79556	265	0	321	0
DS571154	82141	82191	1	0	4	0
DS571154	83621	83679	90	0	31	0
DS571154	83710	83761	82	0	26	0
DS571154	84089	84269	13	0	1	0
DS571154	112674	112728	2	0	9	0
DS571154	120086	120136	1	0	3	0
DS571154	132380	132426	16	0	4	0
DS571154	151412	151476	3	0	5	0
DS571155	2818	2950	2	0	1	0
DS571155	22297	22371	512	0	332	0
DS571155	22297	22393	2	0	2	0
DS571155	22799	22854	249	0	319	0
DS571155	48241	48350	127	0	139	0
DS571155	54800	54908	92	0	159	0
DS571155	96980	97033	13	0	13	0
DS571155	107500	107552	29	0	54	0
DS571155	109032	109094	18	0	14	0
DS571155	109152	109278	16	0	12	0
DS571155	109503	109578	6	0	4	0
DS571155	109837	109888	8	0	9	0
DS571155	115365	115414	2	0	4	0
DS571155	116120	116167	200	0	89	0
DS571155	127533	127589	38	0	49	0
DS571155	127682	127738	47	0	27	0
DS571155	127931	127975	121	0	151	0
DS571155	128620	128668	6	0	19	0
DS571155	128620	128673	1	0	1	0
DS571155	131842	131891	36	0	67	0
DS571155	152407	152461	55	0	57	0
DS571155	153312	153363	2	0	1	0
DS571155	153499	153621	83	0	77	0
DS571156	10920	10980	24	0	19	0
DS571156	11587	11643	15	0	3	0
DS571156	11878	11933	21	0	5	0
DS571156	14969	15019	68	0	57	0
DS571156	20901	20944	1	0	4	0
DS571156	21354	21395	4	0	5	0
DS571156	22436	22481	201	0	231	0
DS571156	50528	50577	108	0	15	0
DS571156	51017	51067	130	0	96	0
DS571156	57366	57409	15	0	16	0
DS571156	58715	58771	39	0	48	0
DS571156	62489	62540	37	0	8	0
DS571156	63068	63133	25	0	16	0
DS571156	73026	73072	6	0	5	0
DS571156	89786	89836	104	0	128	0
DS571156	90642	90696	206	0	62	0
DS571156	94678	94769	102	0	68	0
DS571156	95138	95213	117	0	48	0
DS571156	95144	95213	4	0	2	0
DS571156	95897	96018	38	0	28	0
DS571156	99665	99717	25	0	45	0
DS571156	99819	99876	26	0	31	0
DS571156	101909	101967	73	0	89	0
DS571156	103842	103899	15	0	1	0
DS571156	109781	109861	2	0	2	0
DS571156	110368	110415	2	0	2	0
DS571156	116379	116453	11	0	11	0
DS571156	123622	123670	20	0	26	0
DS571156	124318	124372	5	0	5	0
DS571156	148162	148208	6	0	8	0
DS571156	148341	148384	1	0	3	0
DS571156	148341	148391	2	0	1	0
DS571157	24926	24988	100	0	107	0
DS571157	25826	25884	14	0	2	0
DS571157	42546	42603	114	0	108	0
DS571157	53779	53835	25	0	19	0
DS571157	71186	71260	30	0	50	0
DS571157	81153	81206	38	0	46	0
DS571157	82160	82215	21	0	40	0
DS571157	86976	87067	292	0	374	0
DS571157	93030	93091	12	0	5	0
DS571157	95615	95673	5	0	14	0
DS571157	116279	116324	1	0	2	0
DS571157	117078	117127	66	0	75	0
DS571157	117314	117360	28	0	41	0
DS571157	117436	117492	37	0	31	0
DS571157	120034	120096	1	0	1	0
DS571157	131017	131152	215	0	14	0
DS571157	132107	132173	19	0	7	0
DS571157	144787	144832	1	0	1	0
DS571158	23752	23804	51	0	26	0
DS571158	24682	24741	5	0	3	0
DS571158	34143	34194	6	0	1	0
DS571158	34538	34590	65	0	48	0
DS571158	34752	34795	136	0	118	0
DS571158	38251	38311	5	0	6	0
DS571158	38714	38759	40	0	30	0
DS571158	62253	62311	3	0	1	0
DS571158	81915	82047	50	0	13	0
DS571158	93220	93277	22	0	38	0
DS571158	93689	93741	6	0	10	0
DS571158	94744	94787	82	0	36	0
DS571158	103582	103650	70	0	19	0
DS571158	103902	104068	165	0	49	0
DS571158	124599	124678	355	0	129	0
DS571158	140425	140471	63	0	44	0
DS571158	141298	141344	38	0	57	0
DS571159	8007	8090	5	0	2	0
DS571159	12428	12504	360	0	357	0
DS571159	12455	12504	2	0	3	0
DS571159	19831	19878	5	0	7	0
DS571159	28142	28213	67	0	84	0
DS571159	28424	28467	129	0	120	0
DS571159	28616	28756	10	0	2	0
DS571159	28623	28756	122	0	84	0
DS571159	29716	29769	3	0	2	0
DS571159	29716	29786	57	0	51	0
DS571159	31767	31854	65	0	87	0
DS571159	45849	45895	1	0	4	0
DS571159	46228	46273	7	0	6	0
DS571159	53022	53077	25	0	3	0
DS571159	58754	58808	5	0	15	0
DS571159	65866	65912	39	0	60	0
DS571159	70183	70228	249	0	193	0
DS571159	72502	72550	89	0	168	0
DS571159	73264	73310	61	0	4	0
DS571159	78519	78650	2	0	1	0
DS571159	82834	82853	2	0	2	0
DS571159	100451	100503	19	0	28	0
DS571159	117321	117378	138	0	61	0
DS571159	118181	118297	196	0	267	0
DS571159	120156	120201	7	0	11	0
DS571159	129345	129395	28	0	20	0
DS571159	129707	129756	54	0	77	0
DS571160	18225	18281	35	0	26	0
DS571160	23240	23298	11	0	4	0
DS571160	26852	26950	59	0	47	0
DS571160	26852	26952	1	0	1	0
DS571160	27254	27306	35	0	23	0
DS571160	27663	27754	66	0	88	0
DS571160	33159	33206	39	0	15	0
DS571160	42813	42859	93	0	12	0
DS571160	45667	45709	12	0	12	0
DS571160	46515	46566	64	0	64	0
DS571160	47029	47077	37	0	23	0
DS571160	49362	49419	10	0	21	0
DS571160	51334	51390	28	0	5	0
DS571160	61041	61088	23	0	15	0
DS571160	61149	61203	31	0	14	0
DS571160	61710	61781	26	0	16	0
DS571160	61714	61781	2	0	1	0
DS571160	69454	69500	93	0	36	0
DS571160	70341	70387	7	0	3	0
DS571160	70441	70487	10	0	5	0
DS571160	82502	82562	10	0	11	0
DS571160	83726	83786	49	0	44	0
DS571160	88084	88145	1	0	1	0
DS571160	88196	88269	95	0	18	0
DS571160	107439	107484	18	0	20	0
DS571160	110295	110354	25	0	33	0
DS571160	125062	125108	14	0	4	0
DS571160	132972	133031	1145	0	475	0
DS571160	135356	135402	68	0	106	0
DS571160	136562	136607	59	0	73	0
DS571160	137658	137717	47	0	35	0
DS571160	138728	138775	1	0	1	0
DS571161	11132	11178	26	0	9	0
DS571161	16816	16882	79	0	62	0
DS571161	24201	24256	2	0	3	0
DS571161	34847	34905	2	0	2	0
DS571161	36710	36763	1	0	1	0
DS571161	38192	38290	6	0	1	0
DS571161	45235	45288	1	0	3	0
DS571161	45346	45430	34	0	46	0
DS571161	61868	61936	67	0	68	0
DS571161	63913	64013	26	0	3	0
DS571161	68462	68513	3	0	10	0
DS571161	73399	73450	15	0	5	0
DS571161	89566	89611	12	0	2	0
DS571161	91429	91540	370	0	274	0
DS571161	92773	92964	33	0	12	0
DS571161	92879	92964	9	0	4	0
DS571161	100108	100197	3	0	3	0
DS571161	100652	100708	21	0	28	0
DS571161	100798	100863	29	0	45	0
DS571161	108765	108826	38	0	68	0
DS571161	113810	113871	80	0	59	0
DS571161	113821	113871	3	0	2	0
DS571161	114397	114462	1	0	3	0
DS571161	114397	114508	2065	0	2266	0
DS571161	118583	118723	49	0	7	0
DS571161	118830	118897	35	0	7	0
DS571161	123520	123572	42	0	23	0
DS571162	5585	5639	15	0	6	0
DS571162	19999	20045	2	0	4	0
DS571162	25262	25313	47	0	33	0
DS571162	26881	26926	226	0	189	0
DS571162	27048	27097	380	0	315	0
DS571162	29442	29495	172	0	165	0
DS571162	30372	30423	18	0	17	0
DS571162	36641	36692	64	0	67	0
DS571162	36768	36821	96	0	82	0
DS571162	36960	37030	68	0	44	0
DS571162	38150	38200	41	0	50	0
DS571162	38668	38719	68	0	86	0
DS571162	41925	41970	15	0	13	0
DS571162	42252	42303	38	0	19	0
DS571162	42416	42469	51	0	14	0
DS571162	63479	63547	3	0	3	0
DS571162	63489	63547	87	0	96	0
DS571162	64686	64733	2	0	1	0
DS571162	64849	64898	19	0	6	0
DS571162	83650	83705	38	0	70	0
DS571162	87222	87307	149	0	19	0
DS571162	106145	106204	10	0	3	0
DS571162	107250	107300	533	0	402	0
DS571162	107408	107461	373	0	369	0
DS571162	107799	107870	25	0	11	0
DS571162	108637	108685	40	0	31	0
DS571162	111752	111813	33	0	1	0
DS571162	117752	117808	67	0	52	0
DS571162	119414	119470	35	0	16	0
DS571162	120130	120207	33	0	19	0
DS571162	122043	122111	2	0	3	0
DS571162	126946	126994	79	0	55	0
DS571163	7566	7644	23	0	11	0
DS571163	11084	11140	188	0	216	0
DS571163	16815	16908	142	0	33	0
DS571163	18498	18547	144	0	103	0
DS571163	30734	30783	9	0	5	0
DS571163	33775	33808	1	0	1	0
DS571163	42149	42194	202	0	76	0
DS571163	42149	42254	1	0	1	0
DS571163	55584	55639	10	0	2	0
DS571163	58164	58216	3	0	3	0
DS571163	59537	59589	32	0	26	0
DS571163	65073	65139	37	0	57	0
DS571163	67039	67111	23	0	18	0
DS571163	75386	75464	1	0	1	0
DS571163	97331	97449	4	0	1	0
DS571163	102390	102483	25	0	7	0
DS571163	107003	107097	2	0	1	0
DS571163	118937	119082	62	0	10	0
DS571164	9053	9115	3	0	3	0
DS571164	9065	9115	168	0	119	0
DS571164	15716	15782	6	0	2	0
DS571164	15734	15782	1	0	1	0
DS571164	16435	16492	6	0	5	0
DS571164	21616	21671	4	0	9	0
DS571164	21725	21784	4	0	7	0
DS571164	22269	22324	3	0	10	0
DS571164	26254	26324	11	0	17	0
DS571164	28014	28075	71	0	9	0
DS571164	41663	41713	16	0	1	0
DS571164	64358	64453	4	0	6	0
DS571164	64397	64453	2	0	1	0
DS571164	69192	69252	57	0	74	0
DS571164	69751	69798	253	0	305	0
DS571164	69751	69818	9	0	21	0
DS571164	72515	72571	15	0	27	0
DS571164	89057	89107	105	0	135	0
DS571164	89184	89255	123	0	146	0
DS571164	92777	92880	20	0	3	0
DS571164	103788	103902	7	0	3	0
DS571164	104732	104781	1	0	2	0
DS571164	104732	104845	103	0	64	0
DS571164	118804	118847	9	0	6	0
DS571164	119258	119312	136	0	166	0
DS571164	120577	120647	21	0	12	0
DS571164	125077	125132	77	0	16	0
DS571164	125381	125445	41	0	1	0
DS571164	127291	127348	42	0	34	0
DS571165	979	1215	24	0	27	0
DS571165	1166	1215	1	0	1	0
DS571165	1169	1215	118	0	104	0
DS571165	2388	2441	90	0	86	0
DS571165	2735	2896	3	0	3	0
DS571165	2852	2896	30	0	30	0
DS571165	2852	2917	1	0	2	0
DS571165	7966	8056	28	0	17	0
DS571165	15946	15999	1	0	1	0
DS571165	23119	23200	2	0	3	0
DS571165	29553	29638	79	0	100	0
DS571165	30025	30111	24	0	37	0
DS571165	31218	31267	22	0	43	0
DS571165	31218	31453	2	0	1	0
DS571165	31399	31453	67	0	83	0
DS571165	46562	46634	53	0	37	0
DS571165	47314	47372	32	0	43	0
DS571165	57365	57413	15	0	6	0
DS571165	58019	58067	5	0	13	0
DS571165	71114	71169	2	0	1	0
DS571165	77620	77669	38	0	22	0
DS571165	77760	77843	43	0	23	0
DS571165	79711	79791	33	0	53	0
DS571165	80253	80307	35	0	12	0
DS571165	81178	81225	1	0	9	0
DS571165	81291	81338	1	0	3	0
DS571165	102871	102919	167	0	158	0
DS571165	103329	103393	114	0	56	0
DS571165	104514	104562	20	0	3	0
DS571165	104867	104923	14	0	6	0
DS571165	107060	107112	135	0	100	0
DS571165	107850	107909	5	0	3	0
DS571165	108009	108056	10	0	4	0
DS571165	112423	112511	552	0	147	0
DS571165	113828	113886	320	0	540	0
DS571165	113828	113895	10	0	13	0
DS571165	119373	119427	39	0	25	0
DS571165	120071	120115	8	0	27	0
DS571165	121742	121797	2	0	4	0
DS571166	1621	1675	7	0	4	0
DS571166	3366	3422	7464	0	8417	0
DS571166	19668	19711	79	0	74	0
DS571166	31123	31174	3	0	1	0
DS571166	32586	32640	64	0	58	0
DS571166	39511	39561	20	0	35	0
DS571166	44897	44947	47	0	71	0
DS571166	52535	52607	48	0	40	0
DS571166	67716	67774	4	0	2	0
DS571166	68287	68328	10	0	13	0
DS571166	71692	71739	85	0	50	0
DS571166	71929	71984	86	0	59	0
DS571166	92936	93115	3	0	1	0
DS571166	93062	93105	8	0	8	0
DS571166	93062	93115	162	0	160	0
DS571166	95637	95692	25	0	3	0
DS571166	100160	100428	3	0	2	0
DS571166	100242	100428	71	0	33	0
DS571166	101914	101971	4	0	10	0
DS571166	101926	101971	3	0	1	0
DS571166	102760	102804	16	0	1	0
DS571166	103058	103110	18	0	9	0
DS571166	104703	104769	37	0	40	0
