scaffold_number	intron_start	intron_end	ORF1Rep1SJ.out.tab	ORF1Rep2SJ.out.tab	TOC_Rep1SJ.out.tab	TOC_Rep2SJ.out.tab
DS571214	44460	44531	5	12	-	5
DS571214	44532	44579	14	4	-	2
DS571215	13054	13120	6	16	-	2
DS571215	13054	13126	6	14	4	2
DS571218	26464	26567	11	7	3	6
DS571222	14823	14886	7	5	1	15
DS571222	36442	36501	9	16	3	3
DS571224	16026	16073	18	15	4	7
DS571227	53187	54006	10	4	-	-
DS571241	7747	7828	15	12	60	-
DS571248	31191	31242	11	7	-	1
DS571249	48318	48387	8	8	1	-
DS571256	33681	33742	7	5	1	5
DS571259	18488	18540	42	45	19	5
DS571260	37291	37349	10	14	2	5
DS571273	20337	20386	10	9	10	3
DS571276	14392	14694	11	8	8	3
DS571283	3138	3189	9	6	3	6
DS571287	31127	31198	7	6	1	2
DS571302	424	475	9	15	2	4
DS571309	11377	11468	8	4	1	1
DS571313	13398	13548	13	9	7	4
DS571326	18917	18966	11	5	3	4
DS571339	27315	27384	13	13	5	3
DS571370	5649	5707	10	4	6	5
DS571380	919	990	5	4	3	2
DS571388	16869	16939	14	22	6	4
DS571430	17827	17885	8	11	7	1
DS571432	6571	6624	7	8	-	5
DS571480	14459	14484	7	8	13	4
DS571480	14884	14989	30	32	46	-
DS571490	6799	7004	11	7	3	1
DS571493	3649	3705	10	4	-	5
DS571508	10702	10787	5	6	-	-
DS571522	4862	5011	18	24	4	11
DS571525	7777	7825	11	11	-	2
DS571591	7583	7636	5	18	4	4
DS571785	1455	1505	23	14	-	-
DS571795	1975	2024	8	6	3	6
DS571795	1981	2024	11	11	3	-
DS571976	1366	1449	8	4	-	1
DS571976	1402	1449	10	6	1	6
DS571976	1438	1545	8	5	-	4
DS571976	1474	1605	14	5	4	9
DS572335	563	598	12	6	4	6
DS572620	148	432	34	34	-	9
DS572620	274	306	7	11	-	-
