Scaffold,Intron_S,Intron_E,strand,motif,Annotation,unique_reads,multi_reads,overhang
DS571146,180451,180502,2,2,0,124,0,74
DS571146,184294,184360,2,2,0,38,0,65
DS571146,185032,185119,1,1,0,20,0,73
DS571146,188686,188729,1,1,0,15,0,69
DS571146,189080,189138,1,1,0,24,0,73
DS571146,198423,198493,2,2,0,2,0,22
DS571146,198612,198684,2,2,0,1,0,31
DS571146,198853,198912,2,2,0,22,0,66
DS571146,198867,198912,2,2,0,1,0,73
DS571146,201723,201914,2,2,0,97,0,74
DS571146,202298,202397,1,1,0,25,0,17
DS571146,202322,202397,1,1,0,1,0,12
DS571146,202997,203043,1,1,0,20,0,58
DS571146,203102,203155,1,1,0,17,0,58
DS571147,4035,4084,2,2,0,96,0,75
DS571147,4760,4805,2,2,0,150,0,75
DS571147,4877,4925,2,2,0,1,0,51
DS571147,4880,4925,2,2,0,62,0,74
DS571147,7585,7635,1,1,0,27,0,68
DS571147,14371,14454,1,1,0,24,0,73
DS571147,14371,14475,1,1,0,1,0,58
DS571147,17611,17669,2,2,0,31,0,74
DS571147,19842,19896,1,1,0,16,0,71
DS571147,21814,21952,2,2,0,1,0,15
DS571147,21888,21936,1,1,0,70,0,74
DS571147,21888,21959,1,1,0,1,0,49
DS571147,24102,24232,1,1,0,1,0,63
DS571147,28244,28320,2,2,0,1,0,33
DS571147,28867,29012,1,1,0,1,0,36
DS571147,28891,28949,1,1,0,2,0,63
DS571147,28891,29012,1,1,0,2,0,63
DS571147,29946,29994,1,1,0,6,0,58
DS571147,30058,30126,1,1,0,8,0,48
DS571147,30588,30690,1,1,0,1,0,36
DS571147,30644,30690,1,1,0,7,0,61
DS571147,31425,31476,1,1,0,22,0,72
DS571147,31425,31504,1,1,0,2,0,66
DS571147,44336,44389,1,1,0,18,0,67
DS571147,49686,49757,1,1,0,73,0,72
DS571147,50157,50225,1,1,0,1,0,67
DS571147,58796,58892,1,1,0,38,0,73
DS571147,63934,63986,2,2,0,37,0,73
DS571147,66916,66957,2,4,0,1,0,52
DS571147,80458,80504,2,2,0,155,0,75
DS571147,80458,80638,2,2,0,1,0,33
DS571147,80590,80638,2,2,0,318,0,74
DS571147,86624,86702,1,1,0,1,0,64
DS571147,86741,86837,1,1,0,5,0,63
DS571147,94465,94523,2,2,0,6,0,54
DS571147,96582,96633,1,1,0,3,0,61
DS571147,100822,100872,1,1,0,13,0,66
DS571147,109095,109138,1,1,0,21,0,74
DS571147,109307,109352,1,1,0,1,0,57
DS571147,109307,109365,1,1,0,19,0,75
DS571147,109953,110001,1,1,0,40,0,75
DS571147,114033,114079,1,1,0,1,0,56
DS571147,114033,114099,1,1,0,15,0,73
DS571147,114220,114278,1,1,0,8,0,75
DS571147,117625,117673,1,1,0,1,0,29
DS571147,117625,117690,1,1,0,6,0,48
DS571147,120193,120386,2,2,0,120,0,75
DS571147,128913,129055,2,2,0,225,0,75
DS571147,129517,129594,2,2,0,2,0,60
DS571147,129532,129594,2,2,0,1,0,72
DS571147,129550,129594,2,2,0,44,0,72
DS571147,135510,135570,1,1,0,15,0,75
DS571147,135730,135782,1,1,0,6,0,72
DS571147,143095,143177,2,2,0,1,0,54
DS571147,143134,143177,2,2,0,3,0,66
DS571147,147828,148017,1,1,0,1,0,24
DS571147,154195,154242,2,2,0,38,0,73
DS571147,158993,159050,2,2,0,14,0,70
DS571147,164460,164502,2,2,0,14,0,73
DS571147,166071,166124,2,2,0,1,0,43
DS571147,166683,166759,2,2,0,1,0,33
DS571147,166700,166759,2,2,0,31,0,65
DS571147,166709,166759,2,2,0,2,0,49
DS571147,166718,166759,2,2,0,8,0,54
DS571147,180276,180328,2,2,0,1,0,56
DS571147,180276,180332,2,2,0,27,0,70
DS571147,180404,180518,2,2,0,1,0,47
DS571148,2702,2758,1,1,0,13,0,61
DS571148,7015,7063,1,1,0,1,0,51
DS571148,13930,13993,1,1,0,1,0,33
DS571148,26006,26054,1,1,0,43,0,73
DS571148,28304,28360,1,1,0,47,0,73
DS571148,31964,32021,2,2,0,86,0,73
DS571148,32123,32177,2,2,0,109,0,72
DS571148,36600,36657,1,1,0,8,0,60
DS571148,40883,40928,1,1,0,54,0,75
DS571148,41963,42012,1,1,0,58,0,74
DS571148,45064,45128,1,1,0,2,0,31
DS571148,45064,45140,1,1,0,8,0,57
DS571148,50558,50608,2,4,0,1,0,75
DS571148,50664,50780,2,2,0,1,0,37
DS571148,55288,55360,2,2,0,1,0,12
DS571148,55312,55360,2,2,0,44,0,24
DS571148,55955,56006,0,0,0,3,0,74
DS571148,56835,56941,2,2,0,76,0,73
DS571148,57342,57406,1,1,0,1,0,74
DS571148,58269,58380,0,0,0,4,0,62
DS571148,60689,60735,1,1,0,9,0,74
DS571148,63903,63960,1,1,0,4,0,61
DS571148,67058,67146,2,2,0,31,0,72
DS571148,68826,68890,1,1,0,1,0,65
DS571148,85903,85966,2,2,0,3,0,64
DS571148,86384,86425,0,0,0,3,0,44
DS571148,87413,87462,1,1,0,1,0,33
DS571148,88310,88570,2,2,0,1,0,53
DS571148,105139,105209,2,2,0,68,0,73
DS571148,106438,106614,2,2,0,34,0,72
DS571148,106567,106614,2,2,0,1,0,19
DS571148,124585,124641,1,1,0,3,0,70
DS571148,124921,124998,1,1,0,5,0,65
DS571148,126127,126238,1,1,0,47,0,74
DS571148,127527,127571,2,2,0,62,0,70
DS571148,128019,128087,1,1,0,134,0,74
DS571148,128019,128091,1,1,0,3,0,71
DS571148,128325,128368,1,1,0,4,0,29
DS571148,130200,130260,2,2,0,1,0,16
DS571148,132687,132766,2,2,0,2,0,40
DS571148,149949,150016,2,2,0,45,0,75
DS571148,159187,159344,1,1,0,1,0,75
DS571148,167937,167992,1,1,0,3,0,60
DS571148,171679,171722,2,2,0,331,0,74
DS571149,6752,6833,2,2,0,99,0,22
DS571149,7823,7897,1,1,0,1,0,44
DS571149,28143,28233,2,2,0,57,0,74
DS571149,28308,28355,2,2,0,62,0,74
DS571149,33571,33626,1,1,0,3,0,18
DS571149,33750,33819,2,2,0,1,0,39
DS571149,42080,42181,2,2,0,1,0,38
DS571149,42856,42900,1,1,0,30,0,60
DS571149,43199,43245,1,1,0,32,0,75
DS571149,43199,43253,1,1,0,1,0,75
DS571149,43199,43341,1,1,0,60,0,75
DS571149,43199,43363,1,1,0,1,0,49
DS571149,43294,43341,1,1,0,6,0,48
DS571149,54771,54828,1,1,0,1,0,39
DS571149,54916,54975,0,0,0,3,0,36
DS571149,55073,55143,1,1,0,2,0,31
DS571149,66976,67023,2,2,0,105,0,75
DS571149,68336,68446,2,2,0,29,0,74
DS571149,71297,71462,2,2,0,1,0,71
DS571149,72142,72190,2,2,0,122,0,74
DS571149,82485,82511,1,5,0,1,0,36
DS571149,92453,92521,1,1,0,52,0,74
DS571149,93799,93865,2,2,0,1,0,63
DS571149,94429,94480,2,2,0,2,0,52
DS571149,107774,107822,2,2,0,1,0,40
DS571149,107974,108048,2,2,0,15,0,62
DS571149,108002,108048,2,2,0,1,0,17
DS571149,109743,109800,2,2,0,63,0,75
DS571149,116181,116284,1,1,0,1,0,35
DS571149,125962,126058,1,1,0,1,0,59
DS571149,125962,126256,1,1,0,2,0,64
DS571149,126211,126253,2,2,0,24,0,75
DS571149,126502,126553,2,2,0,53,0,74
DS571149,133799,133877,1,1,0,1,0,32
DS571149,134899,134956,2,2,0,65,0,74
DS571149,135121,135173,2,2,0,1,0,32
DS571149,135560,135616,2,2,0,1,0,61
DS571149,139266,139320,2,2,0,31,0,72
DS571149,139708,139756,2,2,0,50,0,74
DS571149,141686,141778,2,2,0,1,0,69
DS571149,141711,141778,2,2,0,8,0,58
DS571149,141724,141778,2,2,0,2,0,59
DS571149,147067,147119,2,2,0,3,0,39
DS571149,152842,153024,1,1,0,1,0,34
DS571149,154860,154921,2,2,0,45,0,73
DS571149,155225,155277,2,2,0,50,0,74
DS571149,155578,155636,2,2,0,58,0,75
DS571149,155733,155790,2,2,0,59,0,73
DS571149,162147,162194,1,1,0,10,0,73
DS571149,162725,162778,1,1,0,7,0,68
DS571149,162849,162900,1,1,0,7,0,70
DS571149,168458,168511,1,1,0,106,0,75
DS571149,172382,172824,1,1,0,1,0,24
DS571149,182680,182731,2,2,0,4,0,43
DS571150,6705,6753,1,1,0,3,0,73
DS571150,12861,12917,2,2,0,82,0,75
DS571150,13002,13066,2,2,0,62,0,70
DS571150,13212,13267,2,2,0,77,0,41
DS571150,20635,20681,1,1,0,32,0,74
DS571150,24545,24597,1,1,0,36,0,70
DS571150,24545,24624,1,1,0,1,0,55
DS571150,31685,31760,1,1,0,48,0,75
DS571150,45062,45147,1,1,0,2,0,28
DS571150,46550,46592,1,1,0,2,0,32
DS571150,50928,50976,1,1,0,36,0,73
DS571150,51785,51917,1,1,0,1,0,63
DS571150,53210,53259,2,2,0,32,0,71
DS571150,54616,54680,1,1,0,4,0,41
DS571150,62669,62739,2,2,0,12,0,68
DS571150,65282,65330,2,2,0,3,0,63
DS571150,67500,67589,2,2,0,47,0,73
DS571150,67509,67589,2,2,0,1,0,54
DS571150,68024,68078,2,2,0,43,0,74
DS571150,68628,68735,1,1,0,1,0,63
DS571150,81228,81275,1,1,0,1,0,45
DS571150,81862,81885,1,3,0,1,0,69
DS571150,81879,82071,0,0,0,3,0,52
DS571150,83920,84011,1,1,0,1,0,19
DS571150,84207,84256,1,1,0,81,0,60
DS571150,84317,84365,1,1,0,388,0,60
DS571150,94488,94611,2,2,0,1,0,39
DS571150,95849,95953,1,1,0,15,0,74
DS571150,96755,96832,1,1,0,15,0,60
DS571150,100381,100431,1,1,0,17,0,69
DS571150,104317,104363,1,1,0,14,0,74
DS571150,107122,107197,2,2,0,2,0,62
DS571150,115056,115104,1,1,0,50,0,74
DS571150,119220,119271,1,1,0,14,0,74
DS571150,119470,119521,1,1,0,2,0,55
DS571150,128738,128802,1,1,0,2,0,55
DS571150,128738,128811,1,1,0,1,0,62
DS571150,128738,128823,1,1,0,444,0,74
DS571150,130643,130707,1,1,0,1,0,49
DS571150,131796,131853,1,1,0,2,0,15
DS571150,148287,148329,1,1,0,2,0,66
DS571150,148287,148354,1,1,0,10,0,72
DS571150,150163,150217,2,2,0,188,0,71
DS571150,150594,150651,1,1,0,56,0,71
DS571150,151552,151615,1,1,0,2,0,53
DS571150,156779,156824,2,2,0,19,0,65
DS571150,158902,158962,1,1,0,32,0,72
DS571150,161548,161602,1,1,0,2,0,60
DS571151,5633,5716,1,1,0,20,0,74
DS571151,6218,6269,1,1,0,1,0,63
DS571151,6218,6328,1,1,0,6,0,69
DS571151,6218,6344,1,1,0,312,0,75
DS571151,6223,6355,2,2,0,1,0,73
DS571151,21830,22252,1,1,0,2,0,54
DS571151,23999,24133,2,2,0,1,0,37
DS571151,28763,28817,2,2,0,2,0,40
DS571151,29795,29860,2,2,0,7,0,64
DS571151,29925,30004,2,2,0,5,0,23
DS571151,38948,38992,1,1,0,1,0,24
DS571151,48256,48289,1,3,0,1,0,45
DS571151,51628,51695,1,1,0,3,0,68
DS571151,51638,51695,1,1,0,549,0,74
DS571151,53261,53303,1,1,0,21,0,73
DS571151,53261,53311,1,1,0,1,0,20
DS571151,53261,53325,1,1,0,283,0,74
DS571151,53746,53811,1,1,0,78,0,43
DS571151,60094,60165,1,1,0,1,0,44
DS571151,60405,60504,1,1,0,1,0,24
DS571151,62185,62234,2,2,0,70,0,69
DS571151,72738,72785,1,1,0,11,0,22
DS571151,73256,73301,1,1,0,13,0,57
DS571151,73913,73964,1,1,0,194,0,74
DS571151,74076,74137,1,1,0,131,0,75
DS571151,89079,89281,1,1,0,1,0,22
DS571151,89079,89542,1,1,0,1,0,59
DS571151,89451,89542,1,1,0,3,0,63
DS571151,94326,94387,1,1,0,7,0,62
DS571151,110814,111220,2,2,0,1,0,37
DS571151,110966,111220,2,2,0,1,0,38
DS571151,119288,119348,1,1,0,25,0,74
DS571151,131024,131075,1,1,0,7,0,71
DS571151,131354,131415,1,1,0,5,0,69
DS571151,140638,141327,1,1,0,1,0,13
DS571151,141123,141605,1,3,0,4,0,69
DS571151,141189,141572,1,1,0,2,0,34
DS571151,141223,141520,2,2,0,1,0,69
DS571151,141294,142121,1,3,0,1,0,59
DS571151,141429,141758,1,1,0,1,0,73
DS571151,141465,141593,1,1,0,1,0,12
DS571151,141477,141585,1,1,0,1,0,65
DS571151,141537,141693,1,3,0,1,0,60
DS571151,141543,141578,1,1,0,1,0,64
DS571151,141595,141614,1,1,0,1,0,58
DS571151,141595,141630,1,1,0,1,0,67
DS571151,141595,141639,1,1,0,1,0,42
DS571151,141627,141746,1,1,0,2,0,20
DS571151,141651,141854,1,3,0,1,0,70
DS571151,141810,141881,1,1,0,3,0,45
DS571151,141838,142173,2,2,0,1,0,58
DS571151,141927,141956,1,1,0,1,0,25
DS571151,141927,142136,1,1,0,1,0,33
DS571151,141927,142181,1,1,0,1,0,28
DS571151,141927,142235,1,1,0,1,0,63
DS571151,142182,142301,1,1,0,3,0,72
DS571151,142193,142301,1,1,0,2,0,66
DS571151,142193,142544,1,1,0,4,0,68
DS571151,142206,142293,1,1,0,1,0,26
DS571151,142206,142544,1,1,0,1,0,24
DS571151,142215,142235,1,1,0,4,0,52
DS571151,142215,142301,1,1,0,3,0,66
DS571151,142236,142355,1,3,0,2,0,54
DS571151,142293,142314,1,1,0,1,0,62
DS571151,142293,142412,1,1,0,1,0,36
DS571151,142302,142379,1,1,0,1,0,66
DS571151,142444,142533,2,2,0,2,0,70
DS571151,142510,142533,2,2,0,1,0,49
DS571151,142533,142677,2,2,0,2,0,19
DS571151,142545,142611,1,1,0,1,0,29
DS571151,144280,144336,2,2,0,1,0,42
DS571151,150514,150566,2,2,0,21,0,72
DS571151,152663,152759,2,2,0,35,0,74
DS571151,154568,154674,1,1,0,1,0,40
DS571152,3954,4029,2,2,0,29,0,73
DS571152,4679,4753,2,2,0,72,0,71
DS571152,7612,7707,2,2,0,1,0,55
DS571152,11235,11295,1,1,0,911,0,75
DS571152,11235,11306,1,1,0,17,0,71
DS571152,11244,11306,1,1,0,2,0,59
DS571152,12651,12710,1,1,0,1,0,26
DS571152,13133,13189,1,1,0,158,0,75
DS571152,14695,14741,1,1,0,56,0,74
DS571152,14960,15020,2,2,0,1,0,56
DS571152,14966,15020,2,2,0,1,0,70
DS571152,21334,21391,1,1,0,1,0,62
DS571152,29116,29161,2,2,0,16,0,73
DS571152,31294,31350,2,2,0,115,0,71
DS571152,31451,31504,1,1,0,1,0,74
DS571152,35396,35447,1,1,0,97,0,72
DS571152,35396,35451,1,1,0,1,0,21
DS571152,46989,47036,2,2,0,3,0,73
DS571152,52820,52877,2,2,0,5,0,64
DS571152,53274,53340,1,1,0,28,0,74
DS571152,54733,54781,1,1,0,2,0,19
DS571152,57372,57434,1,1,0,48,0,74
DS571152,61271,61326,1,1,0,1,0,72
DS571152,67021,67076,1,1,0,101,0,51
DS571152,69608,69742,2,2,0,1,0,32
DS571152,72176,72227,1,1,0,55,0,74
DS571152,72510,72562,1,1,0,26,0,74
DS571152,75090,75140,1,1,0,47,0,72
DS571152,81910,81958,2,2,0,1,0,64
DS571152,82866,82922,2,2,0,103,0,74
DS571152,83184,83242,2,2,0,1,0,50
DS571152,83184,83330,2,2,0,1,0,47
DS571152,84875,84903,2,2,0,1,0,28
DS571152,85240,85701,2,4,0,2,0,50
DS571152,85614,85721,2,2,0,2,0,23
DS571152,85780,85821,2,2,0,1,0,25
DS571152,102953,103017,2,2,0,7,0,70
DS571152,103143,103213,1,1,0,2,0,41
DS571152,107257,107311,1,1,0,5,0,71
DS571152,115845,115898,1,1,0,1,0,72
DS571152,119221,119574,0,0,0,3,0,32
DS571152,127800,127873,1,1,0,49,0,73
DS571152,129381,129437,2,2,0,21,0,74
DS571152,130171,130239,2,2,0,3,0,58
DS571152,130900,130976,2,2,0,7,0,56
DS571152,134276,134347,2,2,0,1,0,60
DS571152,134298,134347,2,2,0,9,0,73
DS571152,135346,135397,1,1,0,88,0,75
DS571152,139017,139299,1,1,0,1,0,21
DS571152,139627,139674,2,2,0,1,0,29
DS571152,146773,147526,0,0,0,3,0,36
DS571152,146852,147075,2,2,0,2,0,45
DS571152,148753,148799,2,2,0,200,0,75
DS571152,149196,149245,1,1,0,11,0,57
DS571152,152631,152740,1,1,0,90,0,74
DS571152,157518,157567,1,1,0,9,0,47
DS571153,29612,29745,1,1,0,1,0,56
DS571153,30641,30756,1,5,0,1,0,26
DS571153,31901,31957,2,2,0,33,0,69
DS571153,33620,33686,2,2,0,52,0,74
DS571153,40539,40607,1,1,0,3,0,66
DS571153,40947,41018,1,1,0,3,0,14
DS571153,41019,41090,1,1,0,2,0,64
DS571153,41019,41162,1,1,0,1,0,56
DS571153,41091,41162,1,1,0,3,0,51
DS571153,41145,41216,1,1,0,2,0,58
DS571153,45567,45644,2,2,0,1,0,51
DS571153,52293,52345,1,1,0,90,0,75
DS571153,52755,52889,1,1,0,12,0,74
DS571153,53090,53160,1,1,0,7,0,54
DS571153,53605,53679,1,1,0,2,0,59
DS571153,71603,71665,0,0,0,3,0,32
DS571153,71903,71948,2,2,0,1,0,33
DS571153,73407,73462,1,1,0,63,0,74
DS571153,77935,77986,1,1,0,14,0,70
DS571153,79831,79876,1,1,0,1,0,27
DS571153,80819,80986,1,1,0,1,0,70
DS571153,85626,85681,2,2,0,2,0,65
DS571153,87373,87422,2,2,0,123,0,75
DS571153,87807,87870,2,2,0,1,0,16
DS571153,93924,93979,1,1,0,3,0,65
DS571153,94504,94562,2,2,0,1,0,54
DS571153,95457,95507,1,1,0,45,0,73
DS571153,108432,108493,1,1,0,2,0,29
DS571153,108432,108496,1,1,0,21,0,73
DS571153,118777,118918,2,2,0,39,0,58
