scaffold_number	intron_start	intron_end	toc_rep1_reads(u)	toc_rep1_reads(m)	toc_rep2_reads(u)	toc_rep2_reads(m)
DS571147	166700	166759	10	0	11	0
DS571147	166718	166759	2	0	2	0
DS571147	180276	180324	1	0	1	0
DS571147	180276	180332	9	0	14	0
DS571148	2702	2758	31	0	33	0
DS571148	26006	26054	32	0	27	0
DS571148	28304	28360	45	0	35	0
DS571148	31964	32021	53	0	53	0
DS571148	32123	32177	64	0	60	0
DS571148	36600	36657	6	0	2	0
DS571148	40883	40928	111	0	143	0
DS571148	41963	42012	59	0	72	0
DS571148	45064	45140	4	0	8	0
DS571148	55312	55360	49	0	108	0
DS571148	56835	56941	82	0	98	0
DS571148	60689	60735	11	0	7	0
DS571148	63903	63960	17	0	9	0
DS571148	67058	67146	76	0	65	0
DS571148	76349	76405	1	0	1	0
DS571148	105139	105209	45	0	51	0
DS571148	106438	106614	61	0	63	0
DS571148	108374	108439	4	0	3	0
DS571148	124585	124641	12	0	6	0
DS571148	124921	124998	10	0	8	0
DS571148	126127	126238	72	0	102	0
DS571148	126127	126265	1	0	3	0
DS571148	127527	127571	150	0	195	0
DS571148	128019	128087	174	0	223	0
DS571148	128325	128368	12	0	6	0
DS571148	132687	132766	16	0	11	0
DS571148	149949	150016	23	0	48	0
DS571148	158150	158199	2	0	4	0
DS571148	160781	160826	1	0	3	0
DS571148	167937	167992	2	0	6	0
DS571148	171679	171722	709	0	913	0
DS571149	6752	6833	250	0	314	0
DS571149	28143	28233	49	0	23	0
DS571149	28308	28355	60	0	40	0
DS571149	33571	33626	12	0	13	0
DS571149	42856	42900	31	0	19	0
DS571149	43199	43245	27	0	19	0
DS571149	43199	43341	38	0	40	0
DS571149	43294	43341	2	0	4	0
DS571149	66976	67023	70	0	111	0
DS571149	68336	68446	27	0	24	0
DS571149	72142	72190	129	0	127	0
DS571149	92453	92521	59	0	54	0
DS571149	93799	93865	1	0	3	0
DS571149	107974	108048	17	0	15	0
DS571149	109743	109800	53	0	62	0
DS571149	126211	126253	22	0	16	0
DS571149	126502	126553	49	0	57	0
DS571149	134899	134956	48	0	67	0
DS571149	139266	139320	11	0	15	0
DS571149	139708	139756	29	0	46	0
DS571149	141711	141778	2	0	7	0
DS571149	141724	141778	2	0	2	0
DS571149	147067	147119	1	0	2	0
DS571149	154860	154921	38	0	45	0
DS571149	155225	155277	39	0	55	0
DS571149	155578	155636	39	0	62	0
DS571149	155724	155845	1	0	3	0
DS571149	155733	155790	42	0	58	0
DS571149	162147	162194	8	0	13	0
DS571149	162725	162778	7	0	14	0
DS571149	162849	162900	9	0	7	0
DS571149	168458	168511	46	0	80	0
DS571149	182680	182731	8	0	9	0
DS571150	6705	6753	2	0	6	0
DS571150	12861	12917	101	0	121	0
DS571150	13002	13066	79	0	100	0
DS571150	13212	13267	84	0	77	0
DS571150	20635	20681	29	0	46	0
DS571150	24545	24597	45	0	66	0
DS571150	24545	24624	1	0	1	0
DS571150	31685	31760	14	0	14	0
DS571150	46550	46592	3	0	3	0
DS571150	50928	50976	48	0	60	0
DS571150	53210	53259	34	0	31	0
DS571150	54616	54680	5	0	9	0
DS571150	62669	62739	2	0	5	0
DS571150	65282	65330	5	0	3	0
DS571150	67500	67589	134	0	157	0
DS571150	68024	68078	31	0	36	0
DS571150	78705	78762	2	0	1	0
DS571150	78714	78762	1	0	1	0
DS571150	84207	84256	124	0	136	0
DS571150	84317	84365	395	0	536	0
DS571150	95849	95953	17	0	25	0
DS571150	96755	96832	16	0	13	0
DS571150	100381	100431	31	0	49	0
DS571150	104317	104363	14	0	12	0
DS571150	115056	115104	57	0	27	0
DS571150	119220	119271	14	0	14	0
DS571150	119470	119521	10	0	5	0
DS571150	119470	119528	1	0	2	0
DS571150	128738	128802	1	0	1	0
DS571150	128738	128823	519	0	843	0
DS571150	145873	145892	1	0	2	0
DS571150	150163	150217	335	0	465	0
DS571150	150594	150651	93	0	97	0
DS571150	151552	151615	2	0	2	0
DS571150	156779	156824	44	0	48	0
DS571150	158902	158962	27	0	42	0
DS571150	161548	161602	3	0	1	0
DS571151	5633	5716	18	0	23	0
DS571151	6218	6328	1	0	2	0
DS571151	6218	6344	86	0	116	0
DS571151	9819	9893	1	0	1	0
DS571151	29795	29860	9	0	10	0
DS571151	29925	30004	8	0	9	0
DS571151	51638	51695	389	0	606	0
DS571151	53261	53303	16	0	18	0
DS571151	53261	53325	242	0	321	0
DS571151	53746	53811	56	0	67	0
DS571151	62185	62234	18	0	21	0
DS571151	72738	72785	18	0	13	0
DS571151	73256	73301	22	0	22	0
DS571151	73913	73964	185	0	274	0
DS571151	74076	74137	149	0	158	0
DS571151	89079	89281	5	0	4	0
DS571151	89451	89542	3	0	3	0
DS571151	94326	94387	13	0	12	0
DS571151	119288	119348	25	0	26	0
DS571151	131024	131075	10	0	8	0
DS571151	131354	131415	11	0	15	0
DS571151	142215	142301	5	0	1	0
DS571151	150514	150566	20	0	19	0
DS571151	152663	152759	40	0	45	0
DS571152	3954	4029	13	0	16	0
DS571152	4679	4753	33	0	29	0
DS571152	11235	11295	784	0	1021	0
DS571152	11235	11306	4	0	2	0
DS571152	12651	12710	1	0	1	0
DS571152	13133	13189	281	0	287	0
DS571152	14695	14741	84	0	110	0
DS571152	29116	29161	3	0	18	0
DS571152	31294	31350	34	0	45	0
DS571152	35396	35447	73	0	73	0
DS571152	52820	52877	4	0	5	0
DS571152	53274	53340	47	0	58	0
DS571152	57372	57434	49	0	53	0
DS571152	67021	67076	66	0	83	0
DS571152	68688	68736	2	0	2	0
DS571152	72176	72227	53	0	60	0
DS571152	72510	72562	37	0	20	0
DS571152	75090	75140	20	0	19	0
DS571152	82866	82922	129	0	133	0
DS571152	85240	85701	1	0	1	0
DS571152	102953	103017	6	0	2	0
DS571152	107257	107311	16	0	19	0
DS571152	127800	127873	41	0	50	0
DS571152	129381	129437	11	0	16	0
DS571152	130171	130239	4	0	9	0
DS571152	130900	130976	12	0	1	0
DS571152	134298	134347	4	0	5	0
DS571152	135346	135397	79	0	187	0
DS571152	148753	148799	97	0	138	0
DS571152	149196	149245	17	0	17	0
DS571152	152631	152740	122	0	114	0
DS571152	157518	157567	3	0	15	0
DS571153	24657	24714	3	0	4	0
DS571153	31901	31957	71	0	75	0
DS571153	33620	33686	149	0	159	0
DS571153	40539	40607	2	0	3	0
DS571153	41019	41162	2	0	2	0
DS571153	44724	44756	1	0	2	0
DS571153	52293	52345	71	0	108	0
DS571153	52755	52889	14	0	12	0
DS571153	53090	53160	22	0	16	0
DS571153	53605	53679	1	0	5	0
DS571153	72235	72260	1	0	1	0
DS571153	73407	73462	47	0	54	0
DS571153	77935	77986	12	0	16	0
DS571153	87373	87422	153	0	133	0
DS571153	87826	87870	11	0	7	0
DS571153	93924	93979	1	0	4	0
DS571153	94504	94562	1	0	1	0
DS571153	95457	95507	30	0	67	0
DS571153	108432	108496	9	0	17	0
DS571153	118777	118918	12	0	29	0
DS571153	125478	125527	13	0	19	0
DS571153	125478	125542	181	0	245	0
DS571153	130302	130355	9	0	6	0
DS571153	133712	133760	350	0	434	0
DS571153	135650	135694	1	0	1	0
DS571154	379	425	2	0	2	0
DS571154	479	525	2	0	2	0
DS571154	11264	11290	1	0	1	0
DS571154	20827	20962	39	0	53	0
DS571154	36506	36556	1	0	3	0
DS571154	56222	56273	31	0	37	0
DS571154	56333	56385	49	0	58	0
DS571154	56844	56896	25	0	34	0
DS571154	57881	57934	115	0	148	0
DS571154	62054	62107	95	0	106	0
DS571154	79510	79556	458	0	514	0
DS571154	82141	82191	2	0	4	0
DS571154	83621	83679	160	0	132	0
DS571154	83710	83761	144	0	126	0
DS571154	84089	84269	20	0	13	0
DS571154	102131	102188	2	0	4	0
DS571154	112674	112728	2	0	5	0
DS571154	122283	122329	9	0	12	0
DS571154	132380	132426	13	0	12	0
DS571154	151412	151476	4	0	9	0
DS571155	842	997	1	0	1	0
DS571155	8057	8133	1	0	1	0
DS571155	22297	22371	635	0	768	0
DS571155	22799	22854	245	0	332	0
DS571155	48241	48350	236	0	284	0
DS571155	54800	54908	25	0	35	0
DS571155	80106	80165	1	0	4	0
DS571155	80461	80511	1	0	1	0
DS571155	96980	97033	11	0	10	0
DS571155	107500	107552	47	0	41	0
DS571155	109032	109094	18	0	26	0
DS571155	109152	109278	19	0	28	0
DS571155	109503	109578	18	0	8	0
DS571155	109837	109888	9	0	16	0
DS571155	116120	116167	169	0	195	0
DS571155	127533	127589	58	0	55	0
DS571155	127682	127738	59	0	33	0
DS571155	127931	127975	75	0	115	0
DS571155	128620	128668	9	0	11	0
DS571155	131842	131891	10	0	9	0
DS571155	152407	152461	86	0	83	0
DS571155	153312	153363	3	0	9	0
DS571155	153499	153621	236	0	257	0
DS571156	10920	10980	26	0	29	0
DS571156	11587	11643	24	0	24	0
DS571156	11878	11933	27	0	21	0
DS571156	14969	15019	86	0	93	0
DS571156	20901	20944	1	0	3	0
DS571156	21354	21395	8	0	9	0
DS571156	21571	21626	1	0	3	0
DS571156	22436	22481	153	0	165	0
DS571156	32120	32169	4	0	2	0
DS571156	45498	45583	1	0	1	0
DS571156	50528	50577	144	0	156	0
DS571156	51017	51067	172	0	194	0
DS571156	57366	57409	12	0	9	0
DS571156	58715	58771	54	0	76	0
DS571156	62489	62540	24	0	39	0
DS571156	63068	63133	33	0	41	0
DS571156	89786	89836	143	0	171	0
DS571156	90642	90696	267	0	324	0
DS571156	94678	94769	125	0	167	0
DS571156	95138	95213	192	0	226	0
DS571156	95144	95213	2	0	5	0
DS571156	95897	96018	51	0	39	0
DS571156	99665	99717	28	0	36	0
DS571156	99819	99876	23	0	38	0
DS571156	101909	101967	56	0	84	0
DS571156	103355	103502	3	0	9	0
DS571156	103842	103899	6	0	11	0
DS571156	110368	110415	3	0	3	0
DS571156	116379	116453	4	0	6	0
DS571156	116928	116987	6	0	6	0
DS571156	123622	123670	24	0	37	0
DS571156	124318	124372	6	0	2	0
DS571156	148162	148208	28	0	26	0
DS571156	148341	148384	17	0	7	0
DS571156	148341	148391	3	0	4	0
DS571157	24926	24988	30	0	29	0
DS571157	25826	25884	6	0	13	0
DS571157	42546	42603	54	0	52	0
DS571157	53779	53835	50	0	42	0
DS571157	71186	71260	73	0	74	0
DS571157	81153	81206	12	0	8	0
DS571157	82160	82215	19	0	11	0
DS571157	85678	85730	8	0	1	0
DS571157	86976	87067	399	0	608	0
DS571157	93030	93091	8	0	4	0
DS571157	117078	117127	45	0	57	0
DS571157	117314	117360	48	0	51	0
DS571157	117436	117492	47	0	61	0
DS571157	120034	120096	2	0	2	0
DS571157	131017	131152	131	0	121	0
DS571157	132107	132173	6	0	7	0
DS571158	23752	23804	1	0	13	0
DS571158	32296	32354	6	0	4	0
DS571158	32482	32536	9	0	2	0
DS571158	33952	34015	1	0	2	0
DS571158	34143	34194	4	0	9	0
DS571158	34533	34590	1	0	1	0
DS571158	34538	34590	42	0	42	0
DS571158	34752	34795	76	0	158	0
DS571158	38714	38759	41	0	52	0
DS571158	40545	40721	3	0	3	0
DS571158	62253	62311	2	0	7	0
DS571158	81915	82047	48	0	63	0
DS571158	93220	93277	20	0	22	0
DS571158	94744	94787	114	0	151	0
DS571158	103582	103650	59	0	54	0
DS571158	103902	104068	182	0	210	0
DS571158	124599	124678	474	0	485	0
DS571158	140425	140471	56	0	61	0
DS571158	141298	141344	49	0	46	0
DS571159	8007	8090	6	0	6	0
DS571159	12428	12504	266	0	398	0
DS571159	25547	25627	1	0	2	0
DS571159	28142	28213	88	0	75	0
DS571159	28159	28213	4	0	1	0
DS571159	28424	28467	154	0	153	0
DS571159	28616	28756	10	0	2	0
DS571159	28623	28756	156	0	154	0
DS571159	29716	29769	2	0	3	0
DS571159	29716	29786	84	0	82	0
DS571159	31767	31854	66	0	66	0
DS571159	45849	45895	10	0	7	0
DS571159	46228	46273	33	0	59	0
DS571159	53022	53077	35	0	44	0
DS571159	53557	53637	16	0	29	0
DS571159	58754	58808	8	0	11	0
DS571159	65866	65912	77	0	91	0
DS571159	70183	70228	290	0	389	0
DS571159	72502	72550	90	0	118	0
DS571159	73264	73310	81	0	98	0
DS571159	82814	82853	1	0	3	0
DS571159	82834	82853	2	0	4	0
DS571159	100451	100503	75	0	71	0
DS571159	117321	117378	72	0	97	0
DS571159	118181	118297	123	0	138	0
DS571159	120156	120201	7	0	3	0
DS571159	129345	129395	39	0	41	0
DS571159	129707	129756	135	0	118	0
DS571160	9876	9937	6	0	5	0
DS571160	18225	18281	8	0	11	0
DS571160	23240	23298	11	0	9	0
DS571160	26852	26950	133	0	148	0
DS571160	27254	27306	66	0	57	0
DS571160	27663	27754	95	0	93	0
DS571160	33159	33206	38	0	35	0
DS571160	42813	42859	61	0	65	0
DS571160	45667	45709	9	0	8	0
DS571160	46515	46566	79	0	73	0
DS571160	47029	47077	37	0	36	0
DS571160	49362	49419	5	0	6	0
DS571160	51334	51390	12	0	17	0
DS571160	61041	61088	29	0	28	0
DS571160	61149	61203	45	0	40	0
DS571160	61710	61781	2	0	19	0
DS571160	61714	61781	1	0	1	0
DS571160	69454	69500	92	0	113	0
DS571160	70341	70387	6	0	1	0
DS571160	70441	70487	7	0	7	0
DS571160	76190	76732	4	0	4	0
DS571160	82502	82562	19	0	25	0
DS571160	83726	83786	43	0	54	0
DS571160	88196	88269	91	0	86	0
DS571160	107439	107484	49	0	55	0
DS571160	107439	107498	2	0	3	0
DS571160	110295	110354	10	0	18	0
DS571160	117627	118385	2	0	1	0
DS571160	125062	125108	33	0	24	0
DS571160	132972	133031	232	0	264	0
DS571160	135356	135402	78	0	76	0
DS571160	136562	136607	80	0	83	0
DS571160	137658	137717	56	0	67	0
DS571161	11132	11178	54	0	60	0
DS571161	16816	16882	103	0	95	0
DS571161	17322	17396	1	0	1	0
DS571161	24000	24048	1	0	1	0
DS571161	34847	34905	2	0	3	0
DS571161	36710	36763	2	0	3	0
DS571161	38192	38290	3	0	1	0
DS571161	45235	45288	1	0	5	0
DS571161	45346	45430	55	0	112	0
DS571161	61868	61936	75	0	110	0
DS571161	63913	64013	15	0	12	0
DS571161	73399	73450	23	0	18	0
DS571161	89566	89611	10	0	9	0
DS571161	91429	91540	323	0	429	0
DS571161	92773	92953	7	0	4	0
DS571161	92773	92964	30	0	38	0
DS571161	92879	92964	5	0	1	0
DS571161	100652	100708	15	0	17	0
DS571161	100798	100863	22	0	18	0
DS571161	108765	108826	61	0	57	0
DS571161	113810	113871	47	0	67	0
DS571161	114397	114508	1930	0	2216	0
DS571161	118583	118723	54	0	73	0
DS571161	118830	118897	49	0	67	0
DS571161	123520	123572	104	0	121	0
DS571162	5585	5639	13	0	7	0
DS571162	19999	20045	1	0	3	0
DS571162	25262	25313	108	0	85	0
DS571162	26881	26926	218	0	260	0
DS571162	27048	27097	359	0	435	0
DS571162	29442	29495	181	0	210	0
DS571162	30372	30423	16	0	18	0
DS571162	36641	36692	83	0	88	0
DS571162	36768	36821	106	0	144	0
DS571162	36960	37030	74	0	99	0
DS571162	38150	38200	52	0	71	0
DS571162	38668	38719	58	0	73	0
DS571162	41925	41970	8	0	13	0
DS571162	42252	42303	18	0	31	0
DS571162	42416	42469	21	0	27	0
DS571162	63489	63547	64	0	87	0
DS571162	64849	64898	12	0	11	0
DS571162	83614	83705	3	0	3	0
DS571162	83650	83705	11	0	7	0
DS571162	87222	87307	190	0	287	0
DS571162	91509	91593	1	0	2	0
DS571162	94403	94532	1	0	1	0
DS571162	106145	106204	4	0	5	0
DS571162	107250	107300	479	0	609	0
DS571162	107408	107461	354	0	439	0
DS571162	107799	107870	3	0	7	0
DS571162	108637	108685	18	0	18	0
DS571162	111752	111813	30	0	33	0
DS571162	117752	117808	124	0	108	0
DS571162	119414	119470	59	0	45	0
DS571162	120130	120207	26	0	20	0
DS571162	126946	126994	75	0	68	0
DS571163	7566	7644	18	0	31	0
DS571163	11084	11140	260	0	252	0
DS571163	16815	16908	160	0	139	0
DS571163	18498	18547	88	0	80	0
DS571163	30734	30783	8	0	9	0
DS571163	42149	42194	145	0	222	0
DS571163	55584	55639	18	0	17	0
DS571163	58164	58216	5	0	6	0
DS571163	59537	59589	16	0	17	0
DS571163	65073	65139	34	0	53	0
DS571163	67039	67111	10	0	2	0
DS571163	72722	72826	2	0	1	0
DS571163	97331	97449	8	0	11	0
DS571163	102390	102483	1	0	8	0
DS571163	114131	114171	5	0	7	0
DS571163	114236	114292	4	0	6	0
DS571163	116386	116524	1	0	1	0
DS571163	118937	119082	34	0	35	0
DS571164	9053	9115	4	0	2	0
DS571164	9065	9115	116	0	106	0
DS571164	10140	10301	2	0	4	0
DS571164	15716	15782	5	0	8	0
DS571164	16435	16492	9	0	4	0
DS571164	16870	16918	2	0	5	0
DS571164	21616	21671	18	0	28	0
DS571164	21725	21784	15	0	21	0
DS571164	22269	22324	11	0	19	0
DS571164	26254	26324	7	0	2	0
DS571164	27762	27807	5	0	3	0
DS571164	28014	28075	43	0	44	0
DS571164	41663	41713	8	0	13	0
DS571164	64358	64453	4	0	5	0
DS571164	64397	64453	1	0	2	0
DS571164	64415	64453	2	0	2	0
DS571164	64430	64468	1	0	2	0
DS571164	69192	69252	35	0	27	0
DS571164	69751	69798	188	0	307	0
DS571164	69751	69818	4	0	9	0
DS571164	72515	72571	22	0	20	0
DS571164	89057	89107	106	0	101	0
DS571164	89184	89255	140	0	135	0
DS571164	92777	92880	23	0	24	0
DS571164	92780	92880	1	0	1	0
DS571164	104732	104781	4	0	5	0
DS571164	104732	104845	148	0	163	0
DS571164	118804	118847	6	0	17	0
DS571164	119258	119312	90	0	103	0
DS571164	120577	120647	33	0	50	0
DS571164	125077	125132	65	0	68	0
DS571164	125381	125445	35	0	38	0
DS571164	127291	127348	163	0	133	0
DS571165	979	1215	12	0	24	0
DS571165	1087	1215	2	0	1	0
DS571165	1169	1215	51	0	65	0
DS571165	2388	2441	83	0	85	0
DS571165	2852	2896	14	0	13	0
DS571165	7966	8056	35	0	48	0
DS571165	8465	8539	1	0	1	0
DS571165	15946	15999	5	0	1	0
DS571165	29553	29638	48	0	56	0
DS571165	30025	30111	19	0	17	0
DS571165	31218	31267	61	0	41	0
DS571165	31399	31453	110	0	131	0
DS571165	33322	33374	1	0	2	0
DS571165	46562	46634	35	0	41	0
DS571165	47314	47372	32	0	26	0
DS571165	57365	57413	11	0	8	0
DS571165	58019	58067	8	0	12	0
DS571165	71114	71169	2	0	2	0
DS571165	77620	77669	51	0	75	0
DS571165	77760	77843	50	0	93	0
DS571165	79711	79791	50	0	52	0
DS571165	80253	80307	29	0	46	0
DS571165	81178	81225	12	0	12	0
DS571165	81291	81338	2	0	2	0
DS571165	102871	102919	164	0	205	0
DS571165	103329	103393	163	0	177	0
DS571165	104514	104562	24	0	35	0
DS571165	104867	104923	38	0	38	0
DS571165	107060	107112	120	0	129	0
DS571165	107850	107909	6	0	7	0
DS571165	108009	108056	11	0	22	0
DS571165	112423	112511	460	0	531	0
DS571165	113828	113886	150	0	205	0
DS571165	113828	113895	2	0	1	0
DS571165	116673	116723	3	0	4	0
DS571165	119373	119427	59	0	74	0
DS571165	120071	120115	4	0	8	0
DS571166	1621	1675	15	0	12	0
DS571166	3366	3422	5930	0	9984	0
DS571166	19668	19711	100	0	126	0
DS571166	32586	32640	31	0	27	0
DS571166	39511	39561	15	0	17	0
DS571166	44897	44947	51	0	33	0
DS571166	52535	52607	101	0	113	0
DS571166	67716	67774	8	0	9	0
DS571166	68287	68328	17	0	18	0
DS571166	71692	71739	197	0	229	0
DS571166	71692	71761	4	0	3	0
DS571166	71929	71984	165	0	211	0
DS571166	93062	93105	4	0	2	0
DS571166	93062	93115	301	0	422	0
DS571166	95637	95692	23	0	25	0
DS571166	100242	100428	140	0	137	0
DS571166	101914	101971	10	0	7	0
DS571166	102760	102804	25	0	30	0
DS571166	103058	103110	25	0	26	0
DS571166	104703	104769	30	0	27	0
DS571166	113397	113467	12	0	5	0
