scaffold_number	intron_start	intron_end	toc_rep1_reads(u)	toc_rep1_reads(m)	toc_rep2_reads(u)	toc_rep2_reads(m)
DS571154	122283	122329	9	0	12	0
DS571155	842	997	1	0	1	0
DS571155	8057	8133	1	0	1	0
DS571155	80106	80165	1	0	4	0
DS571155	80461	80511	1	0	1	0
DS571156	21571	21626	1	0	3	0
DS571156	32120	32169	4	0	2	0
DS571156	45498	45583	1	0	1	0
DS571156	103355	103502	3	0	9	0
DS571156	116928	116987	6	0	6	0
DS571157	85678	85730	8	0	1	0
DS571158	32296	32354	6	0	4	0
DS571158	32482	32536	9	0	2	0
DS571158	33952	34015	1	0	2	0
DS571158	34533	34590	1	0	1	0
DS571158	40545	40721	3	0	3	0
DS571159	25547	25627	1	0	2	0
DS571159	28159	28213	4	0	1	0
DS571159	53557	53637	16	0	29	0
DS571159	82814	82853	1	0	3	0
DS571160	9876	9937	6	0	5	0
DS571160	76190	76732	4	0	4	0
DS571160	107439	107498	2	0	3	0
DS571160	117627	118385	2	0	1	0
DS571161	17322	17396	1	0	1	0
DS571161	24000	24048	1	0	1	0
DS571161	92773	92953	7	0	4	0
DS571162	83614	83705	3	0	3	0
DS571162	91509	91593	1	0	2	0
DS571162	94403	94532	1	0	1	0
DS571163	72722	72826	2	0	1	0
DS571163	114131	114171	5	0	7	0
DS571163	114236	114292	4	0	6	0
DS571163	116386	116524	1	0	1	0
DS571164	10140	10301	2	0	4	0
DS571164	16870	16918	2	0	5	0
DS571164	27762	27807	5	0	3	0
DS571164	64415	64453	2	0	2	0
DS571164	64430	64468	1	0	2	0
DS571164	92780	92880	1	0	1	0
DS571165	1087	1215	2	0	1	0
DS571165	8465	8539	1	0	1	0
DS571165	33322	33374	1	0	2	0
DS571165	116673	116723	3	0	4	0
DS571166	71692	71761	4	0	3	0
DS571167	9802	9962	2	0	1	0
DS571167	19695	19750	3	0	6	0
DS571167	57705	57737	2	0	3	0
DS571168	39227	39306	4	0	2	0
DS571168	76079	76125	6	0	6	0
DS571168	92585	92833	3	0	3	0
DS571168	115117	115205	2	0	5	0
DS571170	15974	16303	1	0	2	0
DS571170	16210	16291	1	0	1	0
DS571170	48113	48158	15	0	26	0
DS571170	85606	85665	2	0	2	0
DS571170	93320	93381	15	0	10	0
DS571170	98413	98471	3	0	1	0
DS571170	98811	98859	8	0	4	0
DS571171	502	561	5	0	1	0
DS571171	80380	80431	1	0	1	0
DS571172	9440	9595	1	0	1	0
DS571172	9479	9595	1	0	1	0
DS571172	72923	72980	3	0	4	0
DS571173	32716	32775	1	0	4	0
DS571173	41889	41939	2	0	1	0
DS571173	81267	81321	3	0	3	0
DS571173	95008	95067	3	0	2	0
DS571173	95263	95331	3	0	3	0
DS571173	95500	95557	2	0	1	0
DS571174	41049	41110	1	0	1	0
DS571174	41426	41504	2	0	1	0
DS571174	50766	50818	3	0	3	0
DS571174	68657	68813	2	0	2	0
DS571174	73536	73594	29	0	30	0
DS571175	14216	14269	4	0	3	0
DS571175	14588	14634	1	0	4	0
DS571175	23556	23598	2	0	1	0
DS571175	62700	62745	3	0	2	0
DS571175	63170	63289	1	0	2	0
DS571175	75519	75574	1	0	3	0
DS571175	91736	91811	2	0	1	0
DS571176	36055	36121	2	0	3	0
DS571176	57259	57315	1	0	1	0
DS571177	38151	38240	1	0	2	0
DS571177	58458	58531	4	0	7	0
DS571177	64865	64924	1	0	1	0
DS571178	12067	12138	16	0	19	0
DS571178	18400	18496	4	0	3	0
DS571178	43158	43204	6	0	11	0
DS571178	67924	67993	2	0	2	0
DS571179	80079	80118	2	0	1	0
DS571179	88512	88572	3	0	2	0
DS571180	77427	77474	1	0	1	0
DS571181	10110	10161	5	0	3	0
DS571182	5312	5331	1	0	3	0
DS571183	34490	34563	7	0	2	0
DS571183	77463	77618	1	0	1	0
DS571183	85463	85534	5	0	2	0
DS571184	4198	4218	1	0	1	0
DS571184	11857	11909	1	0	1	0
DS571184	17271	17361	1	0	3	0
DS571186	8440	8489	7	0	1	0
DS571186	48150	48214	1	0	2	0
DS571187	19020	19073	1	0	1	0
DS571187	44050	44113	4	0	2	0
DS571187	71319	71381	11	0	7	0
DS571187	71406	71469	8	0	7	0
DS571187	79232	79280	1	0	1	0
DS571189	34809	34866	2	0	1	0
DS571189	46545	46596	1	0	1	0
DS571189	53083	53156	5	0	1	0
DS571189	53982	54295	1	0	1	0
DS571190	41524	41582	23	0	22	0
DS571190	60504	60553	4	0	2	0
DS571190	67955	67981	1	0	1	0
DS571190	77956	78005	2	0	8	0
DS571191	21746	21958	3	0	10	0
DS571191	42028	42084	1	0	2	0
DS571191	70619	70700	8	0	11	0
DS571191	74141	74194	3	0	2	0
DS571192	59813	59878	1	0	2	0
DS571193	63665	63717	3	0	2	0
DS571194	4176	4228	5	0	4	0
DS571194	63550	63605	1	0	1	0
DS571196	33031	33082	2	0	1	0
DS571196	39067	39134	5	0	5	0
DS571196	48420	48481	2	0	2	0
DS571196	48844	48893	2	0	2	0
DS571197	9708	9753	1	0	1	0
DS571197	58780	58938	5	0	5	0
DS571197	58814	58897	1	0	2	0
DS571198	16112	16223	1	0	1	0
DS571198	51251	51299	3	0	4	0
DS571199	15592	15653	1	0	1	0
DS571199	60063	60112	20	0	24	0
DS571200	31110	31201	1	0	3	0
DS571200	31110	31261	1	0	2	0
DS571200	48920	48967	1	0	1	0
DS571200	64678	64737	1	0	2	0
DS571201	19049	19107	13	0	5	0
DS571201	19214	19274	10	0	8	0
DS571201	45829	45890	1	0	1	0
DS571201	60355	60432	4	0	1	0
DS571201	67911	67972	2	0	1	0
DS571201	71180	71234	1	0	2	0
DS571202	62844	62899	1	0	2	0
DS571204	7511	7557	1	0	2	0
DS571204	7876	7942	2	0	1	0
DS571205	44525	44572	2	0	7	0
DS571206	33172	33229	3	0	1	0
DS571206	34019	34079	5	0	1	0
DS571206	51188	51246	12	0	20	0
DS571207	31887	31936	10	0	9	0
DS571207	32402	32448	11	0	11	0
DS571207	32577	32638	5	0	8	0
DS571207	34458	34614	1	0	2	0
DS571207	36496	36558	1	0	1	0
DS571207	68403	68458	3	0	6	0
DS571208	6372	6451	2	0	2	0
DS571208	6884	6935	1	0	1	0
DS571209	46763	46821	1	0	1	0
DS571209	47942	48003	1	0	2	0
DS571213	21439	21502	2	0	5	0
DS571213	61973	62077	1	0	1	0
DS571214	26354	26564	1	0	1	0
DS571214	30489	30579	1	0	1	0
DS571214	44316	44627	1	0	1	0
DS571216	16739	16787	1	0	3	0
DS571216	30432	30475	1	0	2	0
DS571216	46450	46506	2	0	1	0
DS571217	26524	26570	4	0	2	0
DS571217	30503	30592	2	0	2	0
DS571218	11547	11609	9	0	13	0
DS571219	54120	54179	9	0	14	0
DS571220	9553	9601	2	0	2	0
DS571220	35636	35682	2	0	3	0
DS571220	50952	51029	3	0	4	0
DS571222	15226	15272	2	0	2	0
DS571223	14535	14585	3	0	2	0
DS571224	17087	17139	2	0	1	0
DS571224	22895	22984	3	0	3	0
DS571224	33384	33433	3	0	4	0
DS571224	40622	40718	4	0	3	0
DS571224	47864	47920	8	0	8	0
DS571225	36482	36557	2	0	2	0
DS571227	12798	12860	2	0	1	0
DS571227	44947	44995	1	0	4	0
DS571227	51401	51427	1	0	5	0
DS571228	38016	38240	1	0	1	0
DS571228	39829	39885	3	0	2	0
DS571228	46102	46181	1	0	3	0
DS571228	46115	46181	1	0	1	0
DS571229	12062	12148	4	0	2	0
DS571230	6742	6830	1	0	2	0
DS571231	54493	54549	2	0	8	0
DS571232	31006	31068	1	0	7	0
DS571232	31102	31125	1	0	1	0
DS571232	32317	32389	1	0	2	0
DS571233	4353	4416	1	0	2	0
DS571233	4555	4612	1	0	2	0
DS571233	38043	38092	2	0	1	0
DS571234	35898	36470	1	0	3	0
DS571234	36471	36704	1	0	1	0
DS571234	36666	37349	1	0	3	0
DS571234	37203	37364	2	0	6	0
DS571234	37248	37364	1	0	1	0
DS571234	37290	37439	3	0	8	0
DS571234	49730	49842	2	0	4	0
DS571234	49742	49842	1	0	3	0
DS571235	39305	39364	3	0	3	0
DS571236	9072	9140	8	0	10	0
DS571236	9267	9327	11	0	12	0
DS571236	39000	39101	3	0	2	0
DS571238	16957	17028	1	0	1	0
DS571239	2921	2978	1	0	1	0
DS571239	13791	13842	1	0	1	0
DS571240	23879	23966	3	0	4	0
DS571241	13680	13733	19	0	8	0
DS571242	17846	17890	1	0	1	0
DS571242	21460	21511	2	0	1	0
DS571242	45665	45806	2	0	1	0
DS571244	23919	24149	1	0	1	0
DS571245	5566	5627	5	0	7	0
DS571245	5852	5959	1	0	1	0
DS571245	5852	5986	11	0	8	0
DS571245	31932	31981	3	0	2	0
DS571247	25810	25858	7	0	1	0
DS571248	13812	13867	3	0	3	0
DS571250	15989	16048	1	0	1	0
DS571250	28861	28917	1	0	2	0
DS571250	29586	29645	8	0	12	0
DS571253	10572	10640	6	0	4	0
DS571253	11112	11183	9	0	5	0
DS571254	22232	22295	1	0	1	0
DS571255	18750	18823	1	0	2	0
DS571256	16050	16094	4	0	2	0
DS571256	17435	17488	2	0	1	0
DS571257	7782	7820	2	0	1	0
DS571257	24387	24413	1	0	1	0
DS571257	24579	24616	2	0	1	0
DS571257	37486	37546	9	0	5	0
DS571258	19732	19799	1	0	3	0
DS571259	2151	2211	1	0	2	0
DS571259	3442	3488	1	0	1	0
DS571259	4743	4802	8	0	4	0
DS571259	4757	4802	2	0	1	0
DS571259	5536	5585	3	0	5	0
DS571259	41551	41598	1	0	5	0
DS571260	42508	42556	2	0	1	0
DS571261	30951	31023	9	0	5	0
DS571263	1077	1136	1	0	1	0
DS571264	39798	39888	2	0	1	0
DS571265	31101	31142	2	0	1	0
DS571265	31673	31705	1	0	1	0
DS571266	18156	18264	2	0	1	0
DS571266	31106	31160	1	0	5	0
DS571267	14934	14992	1	0	1	0
DS571267	15057	15141	1	0	2	0
DS571271	13151	13205	4	0	6	0
DS571271	27050	27092	7	0	7	0
DS571273	33945	34002	1	0	2	0
DS571275	6247	6295	1	0	1	0
DS571276	4026	4081	3	0	1	0
DS571276	4920	4977	13	0	7	0
DS571276	6591	6691	1	0	1	0
DS571276	28957	29014	1	0	1	0
DS571276	33526	33627	1	0	2	0
DS571277	13849	13934	1	0	1	0
DS571277	13945	14001	1	0	3	0
DS571277	25758	25844	3	0	1	0
DS571277	28404	28465	1	0	2	0
DS571277	38690	38891	3	0	3	0
DS571279	21305	21342	2	0	1	0
DS571283	29588	29652	1	0	1	0
DS571284	13775	13807	1	0	1	0
DS571284	32234	32320	2	0	1	0
DS571284	34062	34177	1	0	1	0
DS571288	14966	15028	3	0	1	0
DS571290	3286	3337	4	0	5	0
DS571292	17206	17256	2	0	1	0
DS571292	17206	17280	4	0	1	0
DS571294	14816	14874	2	0	1	0
DS571294	37067	37118	2	0	2	0
DS571295	15009	15078	116	0	133	0
DS571295	23566	23612	4	0	3	0
DS571296	17644	17698	1	0	1	0
DS571297	6817	6863	3	0	1	0
DS571297	7182	7248	2	0	4	0
DS571297	22678	22756	2	0	3	0
DS571298	33296	33580	1	0	1	0
DS571298	33581	33634	1	0	1	0
DS571301	24980	25037	1	0	2	0
DS571303	30966	31041	1	0	2	0
DS571304	18935	18989	2	0	1	0
DS571304	22031	22084	1	0	2	0
DS571304	24180	24241	9	0	15	0
DS571306	5805	5862	60	0	39	0
DS571306	6031	6099	43	0	36	0
DS571306	6295	6354	45	0	42	0
DS571308	6381	6435	2	0	1	0
DS571311	13095	13148	1	0	2	0
DS571311	33278	33322	8	0	14	0
DS571311	33566	33629	9	0	14	0
DS571313	13360	13551	1	0	1	0
DS571313	26821	26928	1	0	1	0
DS571313	26821	27156	1	0	4	0
DS571313	27010	27123	4	0	2	0
DS571314	11288	11620	5	0	11	0
DS571314	34931	34989	11	0	8	0
DS571315	11220	11261	1	0	1	0
DS571315	22170	22228	1	0	2	0
DS571316	5586	5639	1	0	1	0
DS571316	12584	12759	2	0	1	0
DS571317	19513	19581	2	0	3	0
DS571318	8248	8507	1	0	4	0
DS571318	31111	31217	1	0	2	0
DS571319	1630	1687	3	0	7	0
DS571319	4497	4590	1	0	1	0
DS571320	27294	27344	1	0	2	0
DS571328	31949	32004	7	0	7	0
DS571329	22114	22169	4	0	3	0
DS571332	22628	22682	1	0	1	0
DS571335	13958	14008	8	0	6	0
DS571337	20736	20806	1	0	2	0
DS571338	3604	3740	2	0	2	0
DS571338	3640	3740	2	0	4	0
DS571338	3660	3740	1	0	1	0
DS571342	13171	13240	7	0	5	0
DS571346	11287	11341	1	0	1	0
DS571346	11409	11457	2	0	1	0
DS571346	26103	26200	1	0	4	0
DS571347	6378	6427	7	0	7	0
DS571349	9120	9169	7	0	3	0
DS571349	10984	11112	3	0	3	0
DS571350	28489	28545	1	0	3	0
DS571351	9953	10001	8	0	6	0
DS571353	12747	12958	1	0	1	0
DS571355	18931	18989	3	0	1	0
DS571356	22443	22493	2	0	4	0
DS571356	24389	24454	9	0	7	0
DS571357	13000	13077	2	0	1	0
DS571358	5045	5123	1	0	1	0
DS571361	12105	12295	1	0	2	0
DS571364	18400	18439	3	0	3	0
DS571372	3867	3923	1	0	1	0
DS571374	4357	4401	3	0	5	0
DS571380	14634	14687	2	0	6	0
DS571381	8786	8851	1	0	1	0
DS571382	13397	13485	4	0	7	0
DS571382	13864	14110	5	0	3	0
DS571384	2617	2666	4	0	11	0
DS571387	10855	10923	4	0	6	0
DS571387	11035	11058	12	0	14	0
DS571388	15988	16047	5	0	4	0
DS571392	10332	10373	2	0	4	0
DS571397	9819	9867	1	0	1	0
DS571397	9971	10059	1	0	2	0
DS571398	13705	13845	1	0	2	0
DS571400	2427	2485	3	0	1	0
DS571403	13445	13515	2	0	2	0
DS571403	16988	17042	2	0	4	0
DS571410	9535	9561	2	0	3	0
DS571416	2889	2946	3	0	3	0
DS571417	13579	13645	1	0	2	0
DS571423	12087	12131	2	0	1	0
DS571438	2754	2825	1	0	1	0
DS571443	10847	10898	1	0	1	0
DS571448	8909	9008	10	0	7	0
DS571450	10119	10163	11	0	13	0
DS571459	11689	11755	3	0	3	0
DS571466	14058	14207	1	0	1	0
DS571484	2222	2301	3	0	4	0
DS571487	3645	3689	1	0	2	0
DS571495	3604	3655	17	0	13	0
DS571506	1446	1506	1	0	1	0
DS571508	4275	4301	2	0	2	0
DS571517	2784	2851	6	0	3	0
DS571517	3052	3186	3	0	7	0
DS571537	5328	5351	5	0	5	0
DS571537	5346	5366	5	0	3	0
DS571546	5960	6037	1	0	1	0
DS571547	2279	2329	3	0	6	0
DS571558	6144	6491	30	0	26	0
DS571560	6623	6689	2	0	3	0
DS571561	2652	2733	9	0	5	0
DS571561	4329	4397	1	0	2	0
DS571571	9973	10032	1	0	1	0
DS571581	1113	1172	1	0	1	0
DS571587	4230	4296	1	0	2	0
DS571587	4615	4661	1	0	1	0
DS571588	784	841	14	0	21	0
DS571622	4234	4432	2	0	3	0
DS571641	129	177	2	0	4	0
DS571641	971	1030	1	0	1	0
DS571643	3647	3708	7	0	7	0
DS571643	4024	4090	7	0	11	0
DS571646	5509	5581	3	0	5	0
DS571646	5708	5765	2	0	4	0
DS571653	3757	3846	1	0	1	0
DS571678	307	357	3	0	2	0
DS571685	1796	1889	1	0	1	0
DS571691	3727	3774	1	0	1	0
DS571691	4420	4474	1	0	1	0
DS571743	308	521	3	0	1	0
DS571843	560	623	1	0	2	0
DS571919	1076	1123	1	0	1	0
DS571925	771	814	1	0	2	0
DS571929	2519	2581	2	0	8	0
DS571976	1318	1377	11	0	10	0
DS571976	1366	1605	2	0	1	0
DS571976	1390	1413	1	0	1	0
DS571976	1402	1605	1	0	3	0
DS571976	1474	1545	2	0	1	0
DS572051	1021	1148	1	0	3	0
DS572199	1042	1162	9	0	5	0
DS572585	530	577	12	0	8	0
DS572585	585	644	3	0	5	0
DS572590	305	355	7	0	3	0
EH4254	2222	2264	2	0	2	0
EH4256	1812	1887	2	0	5	0
