scaffold_number	intron_start	intron_end	orf_rep1_reads(u)	orf_rep1_reads(m)	orf_rep2_reads(u)	orf_rep2_reads(m)
DS571207	13685	13733	1	0	1	0
DS571209	22836	22911	3	0	2	0
DS571209	43476	43567	8	0	2	0
DS571211	61033	61111	2	0	3	0
DS571212	48714	48807	1	0	1	0
DS571212	55063	55109	4	0	2	0
DS571213	30237	30291	1	0	6	0
DS571213	33411	33484	1	0	2	0
DS571214	42783	42854	1	0	1	0
DS571214	44316	44363	3	0	2	0
DS571214	44388	44435	1	0	1	0
DS571214	44436	44627	5	0	11	0
DS571214	44460	44531	5	0	12	0
DS571214	44484	44531	2	0	6	0
DS571214	44532	44555	2	0	2	0
DS571214	44532	44579	14	0	4	0
DS571214	44532	44627	1	0	2	0
DS571215	13054	13120	6	0	16	0
DS571215	13054	13157	2	0	1	0
DS571215	59225	59296	2	0	3	0
DS571216	43327	43376	3	0	3	0
DS571217	18024	18076	3	0	3	0
DS571218	56448	56518	1	0	1	0
DS571219	42127	42172	1	0	2	0
DS571220	46087	46130	3	0	1	0
DS571222	40731	40808	1	0	4	0
DS571222	53317	53416	2	0	1	0
DS571223	6434	6495	2	0	6	0
DS571223	6434	6563	1	0	2	0
DS571223	16816	16871	1	0	3	0
DS571223	16816	16874	1	0	1	0
DS571223	30432	30477	2	0	1	0
DS571224	17087	17135	1	0	4	0
DS571224	17497	17544	2	0	1	0
DS571224	19864	19909	5	0	1	0
DS571225	16570	16642	2	0	1	0
DS571226	27440	27559	1	0	1	0
DS571226	27467	27563	5	0	1	0
DS571227	13001	13078	3	0	1	0
DS571227	53187	54006	10	0	4	0
DS571227	53495	53613	1	0	1	0
DS571227	54108	54249	9	0	4	0
DS571228	35118	35138	4	0	1	0
DS571228	38377	38449	1	0	1	0
DS571229	24895	24955	2	0	1	0
DS571231	18402	18517	1	0	2	0
DS571231	33376	33423	3	0	3	0
DS571231	33869	33970	2	0	2	0
DS571231	33971	34024	2	0	1	0
DS571232	54280	54339	1	0	1	0
DS571233	23001	23062	3	0	1	0
DS571233	33471	33528	2	0	3	0
DS571233	36325	36381	1	0	1	0
DS571233	41043	41117	8	0	9	0
DS571234	33322	33366	1	0	3	0
DS571234	48440	48501	2	0	3	0
DS571235	6350	6447	1	0	2	0
DS571237	12047	12100	2	0	3	0
DS571238	10021	10067	8	0	1	0
DS571238	43562	43618	3	0	3	0
DS571239	2570	2637	2	0	2	0
DS571239	49006	49067	1	0	1	0
DS571240	26297	26348	3	0	3	0
DS571241	7696	7935	1	0	1	0
DS571241	7747	7828	15	0	12	0
DS571242	13799	13883	3	0	1	0
DS571242	37998	38041	2	0	2	0
DS571243	8658	8748	4	0	2	0
DS571243	9889	9966	1	0	1	0
DS571245	36245	36410	4	0	3	0
DS571246	32010	32036	1	0	3	0
DS571247	12546	12657	2	0	1	0
DS571247	24239	24285	6	0	7	0
DS571247	24239	24312	2	0	1	0
DS571248	31160	31242	4	0	6	0
DS571248	31191	31242	11	0	7	0
DS571249	48318	48387	8	0	8	0
DS571251	9573	9727	1	0	1	0
DS571251	34314	34389	2	0	1	0
DS571252	27647	27743	1	0	2	0
DS571252	27653	27743	1	0	1	0
DS571252	35712	36072	2	0	2	0
DS571252	36155	36197	4	0	6	0
DS571253	39350	39398	4	0	1	0
DS571253	48747	48797	2	0	1	0
DS571254	32410	32458	5	0	2	0
DS571256	32964	32990	1	0	4	0
DS571257	22678	22725	1	0	2	0
DS571257	23759	23788	4	0	1	0
DS571257	24381	24428	1	0	1	0
DS571257	24428	24455	1	0	1	0
DS571261	22417	22488	4	0	1	0
DS571265	31080	31229	1	0	1	0
DS571265	31701	31775	1	0	1	0
DS571267	35792	36271	1	0	2	0
DS571268	14027	14081	4	0	9	0
DS571268	25081	25228	1	0	1	0
DS571270	31567	31617	3	0	1	0
DS571271	34620	34689	3	0	1	0
DS571271	41430	41495	1	0	3	0
DS571272	19131	19186	1	0	1	0
DS571272	43730	43803	1	0	1	0
DS571275	13051	13142	2	0	2	0
DS571276	35244	35324	7	0	1	0
DS571277	38786	38891	1	0	1	0
DS571278	30017	30095	1	0	3	0
DS571279	24492	24547	4	0	2	0
DS571279	24492	24552	3	0	8	0
DS571280	15419	15553	1	0	1	0
DS571281	26063	26112	2	0	1	0
DS571283	14955	15036	2	0	1	0
DS571284	31687	31763	2	0	2	0
DS571285	9849	9932	1	0	7	0
DS571285	18194	18272	4	0	3	0
DS571286	12380	12529	1	0	2	0
DS571287	29482	29526	2	0	2	0
DS571287	30216	30274	3	0	2	0
DS571287	32445	32494	3	0	2	0
DS571288	18057	18261	5	0	1	0
DS571291	3787	3838	2	0	4	0
DS571292	17223	17280	3	0	1	0
DS571293	18841	18900	1	0	1	0
DS571294	4507	4594	1	0	2	0
DS571294	16520	16605	1	0	1	0
DS571295	23462	23514	1	0	1	0
DS571296	4782	4836	2	0	1	0
DS571303	17777	17828	1	0	1	0
DS571304	16883	16926	1	0	2	0
DS571304	25409	25489	3	0	2	0
DS571305	9396	9463	2	0	1	0
DS571306	15136	15196	4	0	1	0
DS571307	4619	4692	3	0	9	0
DS571309	27275	27328	1	0	2	0
DS571312	9529	9580	3	0	1	0
DS571313	26983	27210	1	0	1	0
DS571315	21104	21147	1	0	2	0
DS571316	5569	5639	1	0	1	0
DS571316	32808	32870	3	0	4	0
DS571317	8469	8519	2	0	1	0
DS571322	11444	11491	1	0	1	0
DS571323	18055	18110	2	0	1	0
DS571323	27749	27856	7	0	2	0
DS571329	7857	7946	1	0	1	0
DS571331	6491	6551	2	0	2	0
DS571338	9003	9134	1	0	1	0
DS571341	18868	18917	3	0	2	0
DS571343	1542	1598	2	0	1	0
DS571346	8070	8128	1	0	1	0
DS571346	11554	11640	1	0	1	0
DS571347	17832	17934	1	0	1	0
DS571353	10460	10511	5	0	1	0
DS571353	15980	16035	2	0	1	0
DS571355	9477	9530	3	0	4	0
DS571356	9947	10007	1	0	1	0
DS571357	5327	5374	4	0	3	0
DS571358	18860	18905	2	0	1	0
DS571361	10777	10883	2	0	2	0
DS571361	12105	12408	1	0	1	0
DS571361	12662	12989	1	0	1	0
DS571362	2246	2298	11	0	6	0
DS571368	14115	14165	2	0	1	0
DS571368	18970	19021	2	0	1	0
DS571370	15154	15206	3	0	2	0
DS571373	5457	5522	3	0	4	0
DS571373	7794	7836	3	0	4	0
DS571376	6511	6575	2	0	2	0
DS571379	7925	7954	1	0	6	0
DS571379	8606	8709	2	0	2	0
DS571380	888	1031	3	0	4	0
DS571380	919	966	3	0	3	0
DS571380	3613	3672	1	0	1	0
DS571381	1889	1934	1	0	1	0
DS571381	3568	3624	1	0	2	0
DS571381	7723	7781	1	0	1	0
DS571382	9865	9941	6	0	5	0
DS571382	22069	22113	2	0	2	0
DS571383	19266	19313	2	0	3	0
DS571384	2332	2379	1	0	1	0
DS571384	9914	10083	1	0	1	0
DS571386	11047	11093	3	0	1	0
DS571387	5268	5342	1	0	3	0
DS571387	10918	10980	3	0	4	0
DS571387	19391	19444	4	0	1	0
DS571388	9967	10053	2	0	2	0
DS571389	5249	5431	1	0	1	0
DS571393	10511	10583	11	0	5	0
DS571394	16565	16627	1	0	1	0
DS571397	9975	10059	2	0	2	0
DS571397	10017	10059	2	0	1	0
DS571397	17858	18038	2	0	1	0
DS571398	4833	4880	2	0	3	0
DS571399	9641	9681	1	0	1	0
DS571405	16188	16241	1	0	2	0
DS571410	9429	9482	2	0	1	0
DS571418	10225	10266	1	0	1	0
DS571426	16253	16304	2	0	2	0
DS571429	11590	11654	1	0	1	0
DS571430	16035	16095	4	0	2	0
DS571431	16807	16851	1	0	3	0
DS571432	6530	6624	3	0	3	0
DS571432	6571	6624	7	0	8	0
DS571432	8156	8239	3	0	1	0
DS571436	11691	11740	4	0	2	0
DS571438	4755	4907	2	0	1	0
DS571452	6486	6540	5	0	1	0
DS571453	6829	6887	3	0	3	0
DS571453	12033	12080	2	0	1	0
DS571466	13007	13069	10	0	2	0
DS571471	1963	2056	2	0	2	0
DS571480	14884	14989	30	0	32	0
DS571482	11056	11109	3	0	1	0
DS571487	3630	3689	4	0	6	0
DS571489	6779	6912	1	0	1	0
DS571493	3649	3705	10	0	4	0
DS571493	10239	10296	1	0	2	0
DS571497	10614	10896	1	0	1	0
DS571497	11372	11423	8	0	3	0
DS571503	3023	3092	1	0	1	0
DS571506	1446	1513	2	0	1	0
DS571508	10702	10787	5	0	6	0
DS571522	4960	5011	4	0	4	0
DS571525	7777	7825	11	0	11	0
DS571528	7280	7403	2	0	1	0
DS571547	7115	7169	1	0	1	0
DS571561	9605	9681	1	0	1	0
DS571561	9735	9839	2	0	2	0
DS571602	8221	8282	1	0	4	0
DS571605	3970	4055	2	0	1	0
DS571605	3986	4034	1	0	2	0
DS571607	1295	1449	3	0	2	0
DS571623	4164	4214	3	0	2	0
DS571655	6281	6331	1	0	1	0
DS571661	1319	1366	5	0	6	0
DS571661	1428	1451	5	0	2	0
DS571676	2927	3009	1	0	1	0
DS571678	567	652	1	0	2	0
DS571700	3644	3748	1	0	2	0
DS571705	245	298	1	0	4	0
DS571748	671	750	1	0	1	0
DS571785	1455	1505	23	0	14	0
DS571795	1181	1302	2	0	1	0
DS571795	1981	2024	11	0	11	0
DS571866	1482	1558	2	0	1	0
DS571976	1366	1449	8	0	4	0
DS571976	1438	1545	8	0	5	0
DS571976	1498	1521	1	0	1	0
DS572002	1933	1952	4	0	8	0
DS572012	902	961	4	0	8	0
DS572165	1502	1544	1	0	1	0
DS572543	521	562	1	0	3	0
DS572585	299	415	119	0	160	0
DS572585	459	485	6	0	6	0
DS572620	148	432	34	0	34	0
DS572620	274	306	7	0	11	0
