scaffold_number	intron_start	intron_end	toc_rep1_reads(u)	Normalized value(Rep1)	toc_rep2_reads(u)	Normalized value(Rep2)
DS571151	119288	119348	25	35.0385424	26	29.77553825
DS571151	131024	131075	10	14.01541696	8	9.161704077
DS571151	131354	131415	11	15.41695865	15	17.17819514
DS571151	150514	150566	20	28.03083392	19	21.75904718
DS571151	152663	152759	40	56.06166783	45	51.53458543
DS571152	3954	4029	13	18.22004205	16	18.32340815
DS571152	4679	4753	33	46.25087596	29	33.21117728
DS571152	11235	11295	784	1098.80869	1021	1169.262483
DS571152	13133	13189	281	393.8332165	287	328.6761338
DS571152	14695	14741	84	117.7295025	110	125.9734311
DS571152	31294	31350	34	47.65241766	45	51.53458543
DS571152	35396	35447	73	102.3125438	73	83.6005497
DS571152	53274	53340	47	65.87245971	58	66.42235456
DS571152	57372	57434	49	68.6755431	53	60.69628951
DS571152	67021	67076	66	92.50175193	83	95.0526798
DS571152	72176	72227	53	74.28170988	60	68.71278058
DS571152	72510	72562	37	51.85704275	20	22.90426019
DS571152	75090	75140	20	28.03083392	19	21.75904718
DS571152	82866	82922	129	180.7988788	133	152.3133303
DS571152	107257	107311	16	22.42466713	19	21.75904718
DS571152	127800	127873	41	57.46320953	50	57.26065048
DS571152	129381	129437	11	15.41695865	16	18.32340815
DS571152	135346	135397	79	110.721794	187	214.1548328
DS571152	148753	148799	97	135.9495445	138	158.0393953
DS571152	149196	149245	17	23.82620883	17	19.46862116
DS571152	152631	152740	122	170.9880869	114	130.5542831
DS571153	31901	31957	71	99.50946041	75	85.89097572
DS571153	33620	33686	149	208.8297127	159	182.0888685
DS571153	52293	52345	71	99.50946041	108	123.683005
DS571153	52755	52889	14	19.62158374	12	13.74255612
DS571153	53090	53160	22	30.83391731	16	18.32340815
DS571153	73407	73462	47	65.87245971	54	61.84150252
DS571153	77935	77986	12	16.81850035	16	18.32340815
DS571153	87373	87422	153	214.4358795	133	152.3133303
DS571153	87826	87870	11	15.41695865	7	8.016491067
DS571153	95457	95507	30	42.04625088	67	76.72927164
DS571153	108432	108496	9	12.61387526	17	19.46862116
DS571153	118777	118918	12	16.81850035	29	33.21117728
DS571153	125478	125527	13	18.22004205	19	21.75904718
DS571153	125478	125542	181	253.679047	245	280.5771874
DS571153	130302	130355	9	12.61387526	6	6.871278058
DS571153	133712	133760	350	490.5395936	434	497.0224462
DS571154	20827	20962	39	54.66012614	53	60.69628951
DS571154	56222	56273	31	43.44779257	37	42.37288136
DS571154	56333	56385	49	68.6755431	58	66.42235456
DS571154	56844	56896	25	35.0385424	34	38.93724233
DS571154	57881	57934	115	161.177295	148	169.4915254
DS571154	62054	62107	95	133.1464611	106	121.392579
DS571154	79510	79556	458	641.9060967	514	588.6394869
DS571154	83621	83679	160	224.2466713	132	151.1681173
DS571154	83710	83761	144	201.8220042	126	144.2968392
DS571154	84089	84269	20	28.03083392	13	14.88776913
DS571154	122283	122329	9	12.61387526	12	13.74255612
DS571154	132380	132426	13	18.22004205	12	13.74255612
DS571155	22297	22371	635	889.9789769	768	879.5235914
DS571155	22799	22854	245	343.3777155	332	380.2107192
DS571155	48241	48350	236	330.7638402	284	325.2404947
DS571155	54800	54908	25	35.0385424	35	40.08245534
DS571155	96980	97033	11	15.41695865	10	11.4521301
DS571155	107500	107552	47	65.87245971	41	46.95373339
DS571155	109032	109094	18	25.22775053	26	29.77553825
DS571155	109152	109278	19	26.62929222	28	32.06596427
DS571155	109503	109578	18	25.22775053	8	9.161704077
DS571155	109837	109888	9	12.61387526	16	18.32340815
DS571155	116120	116167	169	236.8605466	195	223.3165369
DS571155	127533	127589	58	81.28941836	55	62.98671553
DS571155	127682	127738	59	82.69096006	33	37.79202932
DS571155	127931	127975	75	105.1156272	115	131.6994961
DS571155	128620	128668	9	12.61387526	11	12.59734311
DS571155	131842	131891	10	14.01541696	9	10.30691709
DS571155	152407	152461	86	120.5325858	83	95.0526798
DS571155	153499	153621	236	330.7638402	257	294.3197435
DS571156	10920	10980	26	36.44008409	29	33.21117728
DS571156	11587	11643	24	33.6370007	24	27.48511223
DS571156	11878	11933	27	37.84162579	21	24.0494732
DS571156	14969	15019	86	120.5325858	93	106.5048099
DS571156	21354	21395	8	11.21233357	9	10.30691709
DS571156	22436	22481	153	214.4358795	165	188.9601466
DS571156	50528	50577	144	201.8220042	156	178.6532295
DS571156	51017	51067	172	241.0651717	194	222.1713239
DS571156	57366	57409	12	16.81850035	9	10.30691709
DS571156	58715	58771	54	75.68325158	76	87.03618873
DS571156	62489	62540	24	33.6370007	39	44.66330738
DS571156	63068	63133	33	46.25087596	41	46.95373339
DS571156	89786	89836	143	200.4204625	171	195.8314246
DS571156	90642	90696	267	374.2116328	324	371.0490151
DS571156	94678	94769	125	175.192712	167	191.2505726
DS571156	95138	95213	192	269.0960056	226	258.8181402
DS571156	95897	96018	51	71.47862649	39	44.66330738
DS571156	99665	99717	28	39.24316748	36	41.22766835
DS571156	99819	99876	23	32.235459	38	43.51809437
DS571156	101909	101967	56	78.48633497	84	96.19789281
DS571156	103842	103899	6	8.409250175	11	12.59734311
DS571156	116928	116987	6	8.409250175	6	6.871278058
DS571156	123622	123670	24	33.6370007	37	42.37288136
DS571156	148162	148208	28	39.24316748	26	29.77553825
DS571156	148341	148384	17	23.82620883	7	8.016491067
DS571157	24926	24988	30	42.04625088	29	33.21117728
DS571157	25826	25884	6	8.409250175	13	14.88776913
DS571157	42546	42603	54	75.68325158	52	59.5510765
DS571157	53779	53835	50	70.07708479	42	48.0989464
DS571157	71186	71260	73	102.3125438	74	84.74576271
DS571157	81153	81206	12	16.81850035	8	9.161704077
DS571157	82160	82215	19	26.62929222	11	12.59734311
DS571157	86976	87067	399	559.2151367	608	696.2895098
DS571157	117078	117127	45	63.06937631	57	65.27714155
DS571157	117314	117360	48	67.2740014	51	58.40586349
DS571157	117436	117492	47	65.87245971	61	69.85799359
DS571157	131017	131152	131	183.6019622	121	138.5707742
DS571157	132107	132173	6	8.409250175	7	8.016491067
DS571158	34538	34590	42	58.86475123	42	48.0989464
DS571158	34752	34795	76	106.5171689	158	180.9436555
DS571158	38714	38759	41	57.46320953	52	59.5510765
DS571158	81915	82047	48	67.2740014	63	72.14841961
DS571158	93220	93277	20	28.03083392	22	25.19468621
DS571158	94744	94787	114	159.7757533	151	172.9271645
DS571158	103582	103650	59	82.69096006	54	61.84150252
DS571158	103902	104068	182	255.0805886	210	240.494732
DS571158	124599	124678	474	664.3307638	485	555.4283097
DS571158	140425	140471	56	78.48633497	61	69.85799359
DS571158	141298	141344	49	68.6755431	46	52.67979844
DS571159	8007	8090	6	8.409250175	6	6.871278058
DS571159	12428	12504	266	372.8100911	398	455.7947778
DS571159	28142	28213	88	123.3356692	75	85.89097572
DS571159	28424	28467	154	215.8374212	153	175.2175905
DS571159	28623	28756	156	218.6405046	154	176.3628035
DS571159	29716	29786	84	117.7295025	82	93.90746679
DS571159	31767	31854	66	92.50175193	66	75.58405863
DS571159	45849	45895	10	14.01541696	7	8.016491067
DS571159	46228	46273	33	46.25087596	59	67.56756757
DS571159	53022	53077	35	49.05395936	44	50.38937242
DS571159	53557	53637	16	22.42466713	29	33.21117728
DS571159	58754	58808	8	11.21233357	11	12.59734311
DS571159	65866	65912	77	107.9187106	91	104.2143839
DS571159	70183	70228	290	406.4470918	389	445.4878607
DS571159	72502	72550	90	126.1387526	118	135.1351351
DS571159	73264	73310	81	113.5248774	98	112.2308749
DS571159	100451	100503	75	105.1156272	71	81.31012368
DS571159	117321	117378	72	100.9110021	97	111.0856619
DS571159	118181	118297	123	172.3896286	138	158.0393953
DS571159	129345	129395	39	54.66012614	41	46.95373339
DS571159	129707	129756	135	189.2081289	118	135.1351351
DS571160	18225	18281	8	11.21233357	11	12.59734311
DS571160	23240	23298	11	15.41695865	9	10.30691709
DS571160	26852	26950	133	186.4050456	148	169.4915254
DS571160	27254	27306	66	92.50175193	57	65.27714155
DS571160	27663	27754	95	133.1464611	93	106.5048099
DS571160	33159	33206	38	53.25858444	35	40.08245534
DS571160	42813	42859	61	85.49404345	65	74.43884563
DS571160	45667	45709	9	12.61387526	8	9.161704077
DS571160	46515	46566	79	110.721794	73	83.6005497
DS571160	47029	47077	37	51.85704275	36	41.22766835
DS571160	49362	49419	5	7.007708479	6	6.871278058
DS571160	51334	51390	12	16.81850035	17	19.46862116
DS571160	61041	61088	29	40.64470918	28	32.06596427
DS571160	61149	61203	45	63.06937631	40	45.80852038
DS571160	69454	69500	92	128.941836	113	129.4090701
DS571160	70441	70487	7	9.810791871	7	8.016491067
DS571160	82502	82562	19	26.62929222	25	28.63032524
DS571160	83726	83786	43	60.26629292	54	61.84150252
DS571160	88196	88269	91	127.5402943	86	98.48831883
DS571160	107439	107484	49	68.6755431	55	62.98671553
DS571160	110295	110354	10	14.01541696	18	20.61383417
DS571160	125062	125108	33	46.25087596	24	27.48511223
DS571160	132972	133031	232	325.1576734	264	302.3362345
DS571160	135356	135402	78	109.3202523	76	87.03618873
DS571160	136562	136607	80	112.1233357	83	95.0526798
DS571160	137658	137717	56	78.48633497	67	76.72927164
DS571161	11132	11178	54	75.68325158	60	68.71278058
DS571161	16816	16882	103	144.3587947	95	108.7952359
DS571161	45346	45430	55	77.08479327	112	128.2638571
DS571161	61868	61936	75	105.1156272	110	125.9734311
DS571161	63913	64013	15	21.02312544	12	13.74255612
DS571161	73399	73450	23	32.235459	18	20.61383417
DS571161	89566	89611	10	14.01541696	9	10.30691709
DS571161	91429	91540	323	452.6979678	429	491.2963811
DS571161	92773	92964	30	42.04625088	38	43.51809437
DS571161	100652	100708	15	21.02312544	17	19.46862116
DS571161	100798	100863	22	30.83391731	18	20.61383417
DS571161	108765	108826	61	85.49404345	57	65.27714155
DS571161	113810	113871	47	65.87245971	67	76.72927164
DS571161	114397	114508	1930	2704.975473	2216	2537.792029
DS571161	118583	118723	54	75.68325158	73	83.6005497
DS571161	118830	118897	49	68.6755431	67	76.72927164
DS571161	123520	123572	104	145.7603364	121	138.5707742
DS571162	5585	5639	13	18.22004205	7	8.016491067
DS571162	25262	25313	108	151.3665032	85	97.34310582
DS571162	26881	26926	218	305.5360897	260	297.7553825
DS571162	27048	27097	359	503.1534688	435	498.1676592
DS571162	29442	29495	181	253.679047	210	240.494732
DS571162	30372	30423	16	22.42466713	18	20.61383417
DS571162	36641	36692	83	116.3279608	88	100.7787448
DS571162	36768	36821	106	148.5634198	144	164.9106734
DS571162	36960	37030	74	103.7140855	99	113.376088
DS571162	38150	38200	52	72.88016819	71	81.31012368
DS571162	38668	38719	58	81.28941836	73	83.6005497
DS571162	41925	41970	8	11.21233357	13	14.88776913
DS571162	42252	42303	18	25.22775053	31	35.5016033
DS571162	42416	42469	21	29.43237561	27	30.92075126
DS571162	63489	63547	64	89.69866854	87	99.63353184
DS571162	64849	64898	12	16.81850035	11	12.59734311
DS571162	83650	83705	11	15.41695865	7	8.016491067
DS571162	87222	87307	190	266.2929222	287	328.6761338
DS571162	107250	107300	479	671.3384723	609	697.4347229
DS571162	107408	107461	354	496.1457603	439	502.7485112
DS571162	108637	108685	18	25.22775053	18	20.61383417
DS571162	111752	111813	30	42.04625088	33	37.79202932
DS571162	117752	117808	124	173.7911703	108	123.683005
DS571162	119414	119470	59	82.69096006	45	51.53458543
DS571162	120130	120207	26	36.44008409	20	22.90426019
DS571162	126946	126994	75	105.1156272	68	77.87448465
DS571163	7566	7644	18	25.22775053	31	35.5016033
DS571163	11084	11140	260	364.4008409	252	288.5936784
DS571163	16815	16908	160	224.2466713	139	159.1846083
DS571163	18498	18547	88	123.3356692	80	91.61704077
DS571163	30734	30783	8	11.21233357	9	10.30691709
DS571163	42149	42194	145	203.2235459	222	254.2372881
DS571163	55584	55639	18	25.22775053	17	19.46862116
DS571163	58164	58216	5	7.007708479	6	6.871278058
DS571163	59537	59589	16	22.42466713	17	19.46862116
DS571163	65073	65139	34	47.65241766	53	60.69628951
DS571163	97331	97449	8	11.21233357	11	12.59734311
DS571163	114131	114171	5	7.007708479	7	8.016491067
DS571163	118937	119082	34	47.65241766	35	40.08245534
DS571164	9065	9115	116	162.5788367	106	121.392579
DS571164	15716	15782	5	7.007708479	8	9.161704077
DS571164	21616	21671	18	25.22775053	28	32.06596427
DS571164	21725	21784	15	21.02312544	21	24.0494732
DS571164	22269	22324	11	15.41695865	19	21.75904718
DS571164	28014	28075	43	60.26629292	44	50.38937242
DS571164	41663	41713	8	11.21233357	13	14.88776913
DS571164	69192	69252	35	49.05395936	27	30.92075126
DS571164	69751	69798	188	263.4898388	307	351.580394
DS571164	72515	72571	22	30.83391731	20	22.90426019
DS571164	89057	89107	106	148.5634198	101	115.666514
DS571164	89184	89255	140	196.2158374	135	154.6037563
DS571164	92777	92880	23	32.235459	24	27.48511223
DS571164	104732	104845	148	207.428171	163	186.6697206
DS571164	118804	118847	6	8.409250175	17	19.46862116
DS571164	119258	119312	90	126.1387526	103	117.95694
DS571164	120577	120647	33	46.25087596	50	57.26065048
DS571164	125077	125132	65	91.10021023	68	77.87448465
DS571164	125381	125445	35	49.05395936	38	43.51809437
DS571164	127291	127348	163	228.4512964	133	152.3133303
DS571165	979	1215	12	16.81850035	24	27.48511223
DS571165	1169	1215	51	71.47862649	65	74.43884563
DS571165	2388	2441	83	116.3279608	85	97.34310582
DS571165	2852	2896	14	19.62158374	13	14.88776913
DS571165	7966	8056	35	49.05395936	48	54.97022446
DS571165	29553	29638	48	67.2740014	56	64.13192854
DS571165	30025	30111	19	26.62929222	17	19.46862116
DS571165	31218	31267	61	85.49404345	41	46.95373339
DS571165	31399	31453	110	154.1695865	131	150.0229043
DS571165	46562	46634	35	49.05395936	41	46.95373339
DS571165	47314	47372	32	44.84933427	26	29.77553825
DS571165	57365	57413	11	15.41695865	8	9.161704077
DS571165	58019	58067	8	11.21233357	12	13.74255612
DS571165	77620	77669	51	71.47862649	75	85.89097572
DS571165	77760	77843	50	70.07708479	93	106.5048099
DS571165	79711	79791	50	70.07708479	52	59.5510765
DS571165	80253	80307	29	40.64470918	46	52.67979844
DS571165	81178	81225	12	16.81850035	12	13.74255612
DS571165	102871	102919	164	229.8528381	205	234.768667
DS571165	103329	103393	163	228.4512964	177	202.7027027
DS571165	104514	104562	24	33.6370007	35	40.08245534
DS571165	104867	104923	38	53.25858444	38	43.51809437
DS571165	107060	107112	120	168.1850035	129	147.7324782
DS571165	107850	107909	6	8.409250175	7	8.016491067
DS571165	108009	108056	11	15.41695865	22	25.19468621
DS571165	112423	112511	460	644.7091801	531	608.1081081
DS571165	113828	113886	150	210.2312544	205	234.768667
DS571165	119373	119427	59	82.69096006	74	84.74576271
