scaffold_number	intron_start	intron_end	orf_rep1_reads(u)	normalize value(Rep1)	orf_rep2_reads(u)	Normalize value(Rep2)
DS571149	126211	126253	24	34.88372093	30	52.85412262
DS571149	126502	126553	53	77.03488372	34	59.90133897
DS571149	134899	134956	65	94.47674419	48	84.56659619
DS571149	139266	139320	31	45.05813953	42	73.99577167
DS571149	139708	139756	50	72.6744186	39	68.71035941
DS571149	154860	154921	45	65.40697674	26	45.80690627
DS571149	155225	155277	50	72.6744186	22	38.75968992
DS571149	155578	155636	58	84.30232558	8	14.0944327
DS571149	155733	155790	59	85.75581395	10	17.61804087
DS571149	162147	162194	10	14.53488372	7	12.33262861
DS571149	162725	162778	7	10.1744186	9	15.85623679
DS571149	162849	162900	7	10.1744186	4	7.04721635
DS571149	168458	168511	106	154.0697674	136	239.6053559
DS571150	12861	12917	82	119.1860465	52	91.61381254
DS571150	13002	13066	62	90.11627907	54	95.13742072
DS571150	13212	13267	77	111.9186047	43	75.75757576
DS571150	20635	20681	32	46.51162791	23	40.52149401
DS571150	24545	24597	36	52.3255814	12	21.14164905
DS571150	31685	31760	48	69.76744186	83	146.2297393
DS571150	50928	50976	36	52.3255814	25	44.04510218
DS571150	53210	53259	32	46.51162791	30	52.85412262
DS571150	67500	67589	47	68.31395349	29	51.09231853
DS571150	68024	68078	43	62.5	37	65.18675123
DS571150	84207	84256	81	117.7325581	55	96.89922481
DS571150	84317	84365	388	563.9534884	220	387.5968992
DS571150	96755	96832	15	21.80232558	14	24.66525722
DS571150	100381	100431	17	24.70930233	12	21.14164905
DS571150	104317	104363	14	20.34883721	5	8.809020437
DS571150	115056	115104	50	72.6744186	16	28.1888654
DS571150	128738	128823	444	645.3488372	419	738.1959126
DS571150	150163	150217	188	273.255814	126	221.987315
DS571150	150594	150651	56	81.39534884	75	132.1353066
DS571150	156779	156824	19	27.61627907	6	10.57082452
DS571150	158902	158962	32	46.51162791	27	47.56871036
DS571151	5633	5716	20	29.06976744	27	47.56871036
DS571151	6218	6328	6	8.720930233	6	10.57082452
DS571151	6218	6344	312	453.4883721	384	676.5327696
DS571151	29925	30004	5	7.26744186	4	7.04721635
DS571151	51638	51695	549	797.9651163	486	856.2367865
DS571151	53261	53303	21	30.52325581	30	52.85412262
DS571151	53261	53325	283	411.3372093	240	422.832981
DS571151	53746	53811	78	113.372093	126	221.987315
DS571151	62185	62234	70	101.744186	78	137.4207188
DS571151	72738	72785	11	15.98837209	6	10.57082452
DS571151	73256	73301	13	18.89534884	17	29.95066949
DS571151	73913	73964	194	281.9767442	259	456.3072586
DS571151	74076	74137	131	190.4069767	161	283.6504581
DS571151	119288	119348	25	36.3372093	35	61.66314306
DS571151	150514	150566	21	30.52325581	19	33.47427766
DS571152	3954	4029	29	42.15116279	22	38.75968992
DS571152	4679	4753	72	104.6511628	26	45.80690627
DS571152	11235	11295	911	1324.127907	660	1162.790698
DS571152	11235	11306	17	24.70930233	8	14.0944327
DS571152	13133	13189	158	229.6511628	61	107.4700493
DS571152	14695	14741	56	81.39534884	65	114.5172657
DS571152	31294	31350	115	167.1511628	142	250.1761804
DS571152	35396	35447	97	140.9883721	109	192.0366455
DS571152	53274	53340	28	40.69767442	33	58.13953488
DS571152	57372	57434	48	69.76744186	10	17.61804087
DS571152	67021	67076	101	146.8023256	12	21.14164905
DS571152	75090	75140	47	68.31395349	69	121.564482
DS571152	82866	82922	103	149.7093023	171	301.2684989
DS571152	127800	127873	49	71.22093023	15	26.42706131
DS571152	129381	129437	21	30.52325581	20	35.23608175
DS571152	134298	134347	9	13.08139535	6	10.57082452
DS571152	135346	135397	88	127.9069767	99	174.4186047
DS571152	148753	148799	200	290.6976744	142	250.1761804
DS571152	149196	149245	11	15.98837209	20	35.23608175
DS571152	152631	152740	90	130.8139535	45	79.28118393
DS571152	157518	157567	9	13.08139535	6	10.57082452
DS571153	31901	31957	33	47.96511628	28	49.33051445
DS571153	33620	33686	52	75.58139535	44	77.51937984
DS571153	52293	52345	90	130.8139535	62	109.2318534
DS571153	73407	73462	63	91.56976744	12	21.14164905
DS571153	87373	87422	123	178.7790698	147	258.9852008
DS571153	95457	95507	45	65.40697674	7	12.33262861
DS571153	118777	118918	39	56.68604651	58	102.1846371
DS571153	125478	125527	41	59.59302326	33	58.13953488
DS571153	125478	125542	235	341.5697674	212	373.5024665
DS571153	133712	133760	419	609.0116279	498	877.3784355
DS571154	20827	20962	89	129.3604651	130	229.0345314
DS571154	56222	56273	33	47.96511628	21	36.99788584
DS571154	56333	56385	42	61.04651163	34	59.90133897
DS571154	56844	56896	45	65.40697674	46	81.04298802
DS571154	57881	57934	110	159.8837209	169	297.7448908
DS571154	62054	62107	46	66.86046512	32	56.3777308
DS571154	79510	79556	265	385.1744186	321	565.5391121
DS571154	83621	83679	90	130.8139535	31	54.61592671
DS571154	83710	83761	82	119.1860465	26	45.80690627
DS571154	132380	132426	16	23.25581395	4	7.04721635
DS571155	22297	22371	512	744.1860465	332	584.918957
DS571155	22799	22854	249	361.9186047	319	562.0155039
DS571155	48241	48350	127	184.5930233	139	244.8907681
DS571155	54800	54908	92	133.7209302	159	280.1268499
DS571155	96980	97033	13	18.89534884	13	22.90345314
DS571155	107500	107552	29	42.15116279	54	95.13742072
DS571155	109032	109094	18	26.1627907	14	24.66525722
DS571155	109152	109278	16	23.25581395	12	21.14164905
DS571155	109503	109578	6	8.720930233	4	7.04721635
DS571155	109837	109888	8	11.62790698	9	15.85623679
DS571155	116120	116167	200	290.6976744	89	156.8005638
DS571155	127533	127589	38	55.23255814	49	86.32840028
DS571155	127682	127738	47	68.31395349	27	47.56871036
DS571155	127931	127975	121	175.872093	151	266.0324172
DS571155	128620	128668	6	8.720930233	19	33.47427766
DS571155	131842	131891	36	52.3255814	67	118.0408739
DS571155	152407	152461	55	79.94186047	57	100.422833
DS571155	153499	153621	83	120.6395349	77	135.6589147
DS571156	10920	10980	24	34.88372093	19	33.47427766
DS571156	11878	11933	21	30.52325581	5	8.809020437
DS571156	14969	15019	68	98.8372093	57	100.422833
DS571156	22436	22481	201	292.1511628	231	406.9767442
DS571156	50528	50577	108	156.9767442	15	26.42706131
DS571156	51017	51067	130	188.9534884	96	169.1331924
DS571156	57366	57409	15	21.80232558	16	28.1888654
DS571156	58715	58771	39	56.68604651	48	84.56659619
DS571156	62489	62540	37	53.77906977	8	14.0944327
DS571156	63068	63133	25	36.3372093	16	28.1888654
DS571156	73026	73072	6	8.720930233	5	8.809020437
DS571156	89786	89836	104	151.1627907	128	225.5109232
DS571156	90642	90696	206	299.4186047	62	109.2318534
DS571156	94678	94769	102	148.255814	68	119.8026779
DS571156	95138	95213	117	170.0581395	48	84.56659619
DS571156	95897	96018	38	55.23255814	28	49.33051445
DS571156	99665	99717	25	36.3372093	45	79.28118393
DS571156	99819	99876	26	37.79069767	31	54.61592671
DS571156	101909	101967	73	106.1046512	89	156.8005638
DS571156	116379	116453	11	15.98837209	11	19.37984496
DS571156	123622	123670	20	29.06976744	26	45.80690627
DS571156	124318	124372	5	7.26744186	5	8.809020437
DS571156	148162	148208	6	8.720930233	8	14.0944327
DS571157	24926	24988	100	145.3488372	107	188.5130374
DS571157	42546	42603	114	165.6976744	108	190.2748414
DS571157	53779	53835	25	36.3372093	19	33.47427766
DS571157	71186	71260	30	43.60465116	50	88.09020437
DS571157	81153	81206	38	55.23255814	46	81.04298802
DS571157	82160	82215	21	30.52325581	40	70.4721635
DS571157	86976	87067	292	424.4186047	374	658.9147287
DS571157	93030	93091	12	17.44186047	5	8.809020437
DS571157	95615	95673	5	7.26744186	14	24.66525722
DS571157	117078	117127	66	95.93023256	75	132.1353066
DS571157	117314	117360	28	40.69767442	41	72.23396758
DS571157	117436	117492	37	53.77906977	31	54.61592671
DS571157	131017	131152	215	312.5	14	24.66525722
DS571157	132107	132173	19	27.61627907	7	12.33262861
DS571158	23752	23804	51	74.12790698	26	45.80690627
DS571158	34538	34590	65	94.47674419	48	84.56659619
DS571158	34752	34795	136	197.6744186	118	207.8928823
DS571158	38251	38311	5	7.26744186	6	10.57082452
DS571158	38714	38759	40	58.13953488	30	52.85412262
DS571158	81915	82047	50	72.6744186	13	22.90345314
DS571158	93220	93277	22	31.97674419	38	66.94855532
DS571158	93689	93741	6	8.720930233	10	17.61804087
DS571158	94744	94787	82	119.1860465	36	63.42494715
DS571158	103582	103650	70	101.744186	19	33.47427766
DS571158	103902	104068	165	239.8255814	49	86.32840028
DS571158	124599	124678	355	515.9883721	129	227.2727273
DS571158	140425	140471	63	91.56976744	44	77.51937984
DS571158	141298	141344	38	55.23255814	57	100.422833
DS571159	12428	12504	360	523.255814	357	628.9640592
DS571159	19831	19878	5	7.26744186	7	12.33262861
DS571159	28142	28213	67	97.38372093	84	147.9915433
DS571159	28424	28467	129	187.5	120	211.4164905
DS571159	28623	28756	122	177.3255814	84	147.9915433
DS571159	29716	29786	57	82.84883721	51	89.85200846
DS571159	31767	31854	65	94.47674419	87	153.2769556
DS571159	46228	46273	7	10.1744186	6	10.57082452
DS571159	58754	58808	5	7.26744186	15	26.42706131
DS571159	65866	65912	39	56.68604651	60	105.7082452
DS571159	70183	70228	249	361.9186047	193	340.0281889
DS571159	72502	72550	89	129.3604651	168	295.9830867
DS571159	73264	73310	61	88.6627907	4	7.04721635
DS571159	100451	100503	19	27.61627907	28	49.33051445
DS571159	117321	117378	138	200.5813953	61	107.4700493
DS571159	118181	118297	196	284.8837209	267	470.4016913
DS571159	120156	120201	7	10.1744186	11	19.37984496
DS571159	129345	129395	28	40.69767442	20	35.23608175
DS571159	129707	129756	54	78.48837209	77	135.6589147
DS571160	18225	18281	35	50.87209302	26	45.80690627
DS571160	23240	23298	11	15.98837209	4	7.04721635
DS571160	26852	26950	59	85.75581395	47	82.80479211
DS571160	27254	27306	35	50.87209302	23	40.52149401
DS571160	27663	27754	66	95.93023256	88	155.0387597
DS571160	33159	33206	39	56.68604651	15	26.42706131
DS571160	42813	42859	93	135.1744186	12	21.14164905
DS571160	45667	45709	12	17.44186047	12	21.14164905
DS571160	46515	46566	64	93.02325581	64	112.7554616
DS571160	47029	47077	37	53.77906977	23	40.52149401
DS571160	49362	49419	10	14.53488372	21	36.99788584
DS571160	51334	51390	28	40.69767442	5	8.809020437
DS571160	61041	61088	23	33.43023256	15	26.42706131
DS571160	61149	61203	31	45.05813953	14	24.66525722
DS571160	61710	61781	26	37.79069767	16	28.1888654
DS571160	69454	69500	93	135.1744186	36	63.42494715
DS571160	70441	70487	10	14.53488372	5	8.809020437
DS571160	82502	82562	10	14.53488372	11	19.37984496
DS571160	83726	83786	49	71.22093023	44	77.51937984
DS571160	88196	88269	95	138.0813953	18	31.71247357
DS571160	107439	107484	18	26.1627907	20	35.23608175
DS571160	110295	110354	25	36.3372093	33	58.13953488
DS571160	125062	125108	14	20.34883721	4	7.04721635
DS571160	132972	133031	1145	1664.244186	475	836.8569415
DS571160	135356	135402	68	98.8372093	106	186.7512333
DS571160	136562	136607	59	85.75581395	73	128.6116984
DS571160	137658	137717	47	68.31395349	35	61.66314306
DS571161	11132	11178	26	37.79069767	9	15.85623679
DS571161	16816	16882	79	114.8255814	62	109.2318534
DS571161	45346	45430	34	49.41860465	46	81.04298802
DS571161	61868	61936	67	97.38372093	68	119.8026779
DS571161	73399	73450	15	21.80232558	5	8.809020437
DS571161	91429	91540	370	537.7906977	274	482.7343199
DS571161	92773	92964	33	47.96511628	12	21.14164905
DS571161	92879	92964	9	13.08139535	4	7.04721635
DS571161	100652	100708	21	30.52325581	28	49.33051445
DS571161	100798	100863	29	42.15116279	45	79.28118393
DS571161	108765	108826	38	55.23255814	68	119.8026779
DS571161	113810	113871	80	116.2790698	59	103.9464412
DS571161	114397	114508	2065	3001.453488	2266	3992.248062
DS571161	118583	118723	49	71.22093023	7	12.33262861
DS571161	118830	118897	35	50.87209302	7	12.33262861
DS571161	123520	123572	42	61.04651163	23	40.52149401
DS571162	5585	5639	15	21.80232558	6	10.57082452
DS571162	25262	25313	47	68.31395349	33	58.13953488
DS571162	26881	26926	226	328.4883721	189	332.9809725
DS571162	27048	27097	380	552.3255814	315	554.9682875
DS571162	29442	29495	172	250	165	290.6976744
DS571162	30372	30423	18	26.1627907	17	29.95066949
DS571162	36641	36692	64	93.02325581	67	118.0408739
DS571162	36768	36821	96	139.5348837	82	144.4679352
DS571162	36960	37030	68	98.8372093	44	77.51937984
DS571162	38150	38200	41	59.59302326	50	88.09020437
DS571162	38668	38719	68	98.8372093	86	151.5151515
DS571162	41925	41970	15	21.80232558	13	22.90345314
DS571162	42252	42303	38	55.23255814	19	33.47427766
DS571162	42416	42469	51	74.12790698	14	24.66525722
DS571162	63489	63547	87	126.4534884	96	169.1331924
DS571162	64849	64898	19	27.61627907	6	10.57082452
DS571162	83650	83705	38	55.23255814	70	123.3262861
DS571162	87222	87307	149	216.5697674	19	33.47427766
DS571162	107250	107300	533	774.7093023	402	708.2452431
DS571162	107408	107461	373	542.1511628	369	650.1057082
DS571162	107799	107870	25	36.3372093	11	19.37984496
DS571162	108637	108685	40	58.13953488	31	54.61592671
DS571162	117752	117808	67	97.38372093	52	91.61381254
DS571162	119414	119470	35	50.87209302	16	28.1888654
DS571162	120130	120207	33	47.96511628	19	33.47427766
DS571162	126946	126994	79	114.8255814	55	96.89922481
DS571163	7566	7644	23	33.43023256	11	19.37984496
DS571163	11084	11140	188	273.255814	216	380.5496829
DS571163	16815	16908	142	206.3953488	33	58.13953488
DS571163	18498	18547	144	209.3023256	103	181.465821
DS571163	30734	30783	9	13.08139535	5	8.809020437
DS571163	42149	42194	202	293.6046512	76	133.8971106
DS571163	59537	59589	32	46.51162791	26	45.80690627
DS571163	65073	65139	37	53.77906977	57	100.422833
DS571163	67039	67111	23	33.43023256	18	31.71247357
DS571163	102390	102483	25	36.3372093	7	12.33262861
DS571163	118937	119082	62	90.11627907	10	17.61804087
DS571164	9065	9115	168	244.1860465	119	209.6546864
DS571164	16435	16492	6	8.720930233	5	8.809020437
DS571164	26254	26324	11	15.98837209	17	29.95066949
DS571164	28014	28075	71	103.1976744	9	15.85623679
DS571164	69192	69252	57	82.84883721	74	130.3735025
DS571164	69751	69798	253	367.7325581	305	537.3502467
DS571164	69751	69818	9	13.08139535	21	36.99788584
DS571164	72515	72571	15	21.80232558	27	47.56871036
DS571164	89057	89107	105	152.6162791	135	237.8435518
DS571164	89184	89255	123	178.7790698	146	257.2233968
DS571164	104732	104845	103	149.7093023	64	112.7554616
DS571164	118804	118847	9	13.08139535	6	10.57082452
DS571164	119258	119312	136	197.6744186	166	292.4594785
DS571164	120577	120647	21	30.52325581	12	21.14164905
DS571164	125077	125132	77	111.9186047	16	28.1888654
DS571164	127291	127348	42	61.04651163	34	59.90133897
DS571165	979	1215	24	34.88372093	27	47.56871036
DS571165	1169	1215	118	171.5116279	104	183.2276251
DS571165	2388	2441	90	130.8139535	86	151.5151515
DS571165	2852	2896	30	43.60465116	30	52.85412262
DS571165	7966	8056	28	40.69767442	17	29.95066949
DS571165	29553	29638	79	114.8255814	100	176.1804087
DS571165	30025	30111	24	34.88372093	37	65.18675123
DS571165	31218	31267	22	31.97674419	43	75.75757576
DS571165	31399	31453	67	97.38372093	83	146.2297393
DS571165	46562	46634	53	77.03488372	37	65.18675123
DS571165	47314	47372	32	46.51162791	43	75.75757576
DS571165	57365	57413	15	21.80232558	6	10.57082452
DS571165	58019	58067	5	7.26744186	13	22.90345314
DS571165	77620	77669	38	55.23255814	22	38.75968992
DS571165	77760	77843	43	62.5	23	40.52149401
DS571165	79711	79791	33	47.96511628	53	93.37561663
DS571165	80253	80307	35	50.87209302	12	21.14164905
DS571165	102871	102919	167	242.7325581	158	278.3650458
DS571165	103329	103393	114	165.6976744	56	98.66102889
DS571165	104867	104923	14	20.34883721	6	10.57082452
DS571165	107060	107112	135	196.2209302	100	176.1804087
DS571165	108009	108056	10	14.53488372	4	7.04721635
DS571165	112423	112511	552	802.3255814	147	258.9852008
DS571165	113828	113886	320	465.1162791	540	951.3742072
DS571165	113828	113895	10	14.53488372	13	22.90345314
DS571165	119373	119427	39	56.68604651	25	44.04510218
DS571165	120071	120115	8	11.62790698	27	47.56871036
DS571166	1621	1675	7	10.1744186	4	7.04721635
DS571166	3366	3422	7464	10848.83721	8417	14829.105
DS571166	19668	19711	79	114.8255814	74	130.3735025
DS571166	32586	32640	64	93.02325581	58	102.1846371
DS571166	39511	39561	20	29.06976744	35	61.66314306
DS571166	44897	44947	47	68.31395349	71	125.0880902
DS571166	52535	52607	48	69.76744186	40	70.4721635
DS571166	68287	68328	10	14.53488372	13	22.90345314
DS571166	71692	71739	85	123.5465116	50	88.09020437
DS571166	71929	71984	86	125	59	103.9464412
DS571166	93062	93105	8	11.62790698	8	14.0944327
DS571166	93062	93115	162	235.4651163	160	281.888654
DS571166	100242	100428	71	103.1976744	33	58.13953488
DS571166	103058	103110	18	26.1627907	9	15.85623679
DS571166	104703	104769	37	53.77906977	40	70.4721635
DS571166	113397	113467	17	24.70930233	22	38.75968992
DS571167	27679	27753	6	8.720930233	5	8.809020437
DS571167	39722	39774	36	52.3255814	10	17.61804087
DS571167	41357	41414	33	47.96511628	26	45.80690627
DS571167	41752	41803	10	14.53488372	10	17.61804087
DS571167	42536	42685	7	10.1744186	7	12.33262861
DS571167	44665	44724	9	13.08139535	12	21.14164905
DS571167	46656	46709	35	50.87209302	7	12.33262861
DS571167	47661	47722	8	11.62790698	6	10.57082452
DS571167	54966	55027	41	59.59302326	36	63.42494715
DS571167	56457	56503	133	193.3139535	149	262.508809
DS571167	60658	60713	122	177.3255814	151	266.0324172
DS571167	61422	61474	7	10.1744186	14	24.66525722
DS571167	70795	70837	36	52.3255814	36	63.42494715
DS571167	92706	92759	68	98.8372093	36	63.42494715
DS571167	93221	93278	32	46.51162791	44	77.51937984
DS571167	93534	93589	15	21.80232558	25	44.04510218
DS571167	107016	107069	89	129.3604651	115	202.60747
DS571168	21918	21964	41	59.59302326	55	96.89922481
